GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL
ACTG2	0.0	265.7625
ACTL6A	1457.1648	3261.3768
ACTL6B	0.0	1051.5609
ACTL7A	0.0	78.1456
ACTL7B	0.0	78.1456
ACTN1	0.0	84.20580000000001
ACTN2	0.0	0.0
ACTN3	480.2625	1339.0183
ACTN4	682.2711999999999	3779.5685000000003
ACTR10	330.455	139.4205
ACTR1A	2304.4468	3133.156
ACTR1B	1086.0	367.9217
ACTR2	1595.8000000000002	1231.5122000000001
ACTR3	1943.2	3957.2382
ACTR3B	1122.1924	1320.1509999999998
ACTR3BP2	0.0	589.4544
ACTR3C	1931.0531	14721.021
ACTR5	729.393	3343.2267
ACTR6	1284.564	453.84520000000003
ACTR8	681.4899	967.8592
ACVR1	686.9469	2348.4925
ACVR1B	0.0	1861.1935999999998
ACVR1C	1073.4983000000002	825.0086000000001
ACVR2A	713.1942	220.395
ACVR2B	701.0666	62.6913
ACY1	959.6828999999999	534.4983000000001
ACY3	950.7800000000001	5400.0484
ACYP1	368.2668	7.904
ACYP2	1275.92	3067.4491
ADA	1328.0	7515.6331
ADAD2	0.0	4375.3286
ADAL	993.6473	444.7467
ADAM1	0.0	1990.4086000000002
ADAM10	1173.8	1275.3831
ADAM11	0.0	1931.1593
ADAM15	1354.8	21853.738500000003
ADAM17	1117.8	2967.8421
ADAM19	0.0	5093.0595
ADAM20	0.0	0.0
ADAM21	0.0	0.0
ADAM22	885.009	1827.0583000000004
ADAM23	0.0	3551.8363999999997
ADAM28	999.2668	5856.9809000000005
ADAM29	0.0	1136.3918999999999
ADAM33	0.0	804.2831
ADAM3A	0.0	475.6362
ADAM5P	0.0	1991.2968
ADAM7	0.0	4618.460500000001
ADAM8	716.6	2688.5849999999996
ADAM9	1323.9907	10914.014
ADAMDEC1	0.0	5856.9809000000005
ADAMTS10	0.0	1206.4432000000002
ADAMTS12	0.0	1182.8332
ADAMTS13	0.0	182.9217
ADAMTS14	0.0	5267.9374
ADAMTS15	585.1713	896.0625
ADAMTS16	0.0	566.3577
ADAMTS17	0.0	0.0
