GENE	TF	ENHANCER_LIST
ATF4	1	4_MACS_peak_18014_lociStitched
ATF5	1	3_MACS_peak_13815_lociStitched
ATG16L2	0	1_MACS_peak_5084_lociStitched
ATHL1	0	1_MACS_peak_4233_lociStitched
ATN1	0	7_MACS_peak_5805_lociStitched,3_MACS_peak_5802_lociStitched
ATP2A3	0	1_MACS_peak_10903_lociStitched
ATP2C1	0	2_MACS_peak_19446_lociStitched
ATP5B	0	1_MACS_peak_6424_lociStitched,4_MACS_peak_6419_lociStitched
ATP5D	0	4_MACS_peak_12866_lociStitched
ATP6V0D1	0	6_MACS_peak_10524_lociStitched
ATP6V1A	0	2_MACS_peak_19233_lociStitched
ATP6V1E2	0	3_MACS_peak_14442_lociStitched
ATP6V1G1	0	2_MACS_peak_28756_lociStitched
ATP8B2	0	2_MACS_peak_1697_lociStitched
ATP8B3	0	4_MACS_peak_12887_lociStitched
ATPIF1	0	3_MACS_peak_441_lociStitched
ATXN1L	0	2_MACS_peak_10624_lociStitched,3_MACS_peak_10626_lociStitched
AURKB	0	1_MACS_peak_11019_lociStitched
AURKC	0	1_MACS_peak_13917_lociStitched
AVPR1B	0	5_MACS_peak_2398_lociStitched
AVPR2	0	2_MACS_peak_30093_lociStitched
AXL	0	1_MACS_peak_13595_lociStitched
AZIN1	0	4_MACS_peak_27478_lociStitched
B2M	0	5_MACS_peak_9008_lociStitched
B3GALNT2	0	1_MACS_peak_2787_lociStitched
B3GALT4	0	3_MACS_peak_23735_lociStitched
B4GALT3	0	2_MACS_peak_1866_lociStitched,3_MACS_peak_1863_lociStitched
B9D1	0	3_MACS_peak_11144_lociStitched
BAD	0	5_MACS_peak_4856_lociStitched
BAG1	0	3_MACS_peak_28120_lociStitched
BAGE	0	1_MACS_peak_17214_lociStitched
BAK1	0	2_MACS_peak_23744_lociStitched
BARX2	1	3_MACS_peak_5652_lociStitched
BAT2	0	4_MACS_peak_23685_lociStitched
BAT3	0	4_MACS_peak_23685_lociStitched
BAT5	0	2_MACS_peak_23690_lociStitched,4_MACS_peak_23685_lociStitched
BAZ2A	0	1_MACS_peak_6424_lociStitched,4_MACS_peak_6419_lociStitched
BBC3	0	1_MACS_peak_13735_lociStitched
BCAS1	0	6_MACS_peak_17068_lociStitched
BCL2	0	1_MACS_peak_12726_lociStitched,1_MACS_peak_12725_lociStitched
BCL2L1	0	3_MACS_peak_16664_lociStitched
BCL2L11	0	1_MACS_peak_15132_lociStitched
BCL2L12	0	3_MACS_peak_13806_lociStitched
BCL6B	1	2_MACS_peak_10966_lociStitched
BCL8	0	5_MACS_peak_8691_lociStitched
BCL9L	0	2_MACS_peak_5512_lociStitched
BCLAF1	1	1_MACS_peak_24679_lociStitched
BCOR	0	3_MACS_peak_29387_lociStitched,2_MACS_peak_29391_lociStitched
BCR	0	2_MACS_peak_17698_lociStitched,1_MACS_peak_17701_lociStitched
BEST2	0	3_MACS_peak_13174_lociStitched
BFSP2	0	4_MACS_peak_19476_lociStitched
BHLHE41	1	2_MACS_peak_6025_lociStitched,1_MACS_peak_6027_lociStitched
BIN2	0	2_MACS_peak_6323_lociStitched
BIRC2	0	1_MACS_peak_5325_lociStitched
BIRC3	0	1_MACS_peak_5325_lociStitched
BIRC5	0	4_MACS_peak_12112_lociStitched
BMF	0	3_MACS_peak_8904_lociStitched,6_MACS_peak_8897_lociStitched
BMP6	0	1_MACS_peak_23316_lociStitched
BMP8A	0	1_MACS_peak_621_lociStitched
BNIPL	0	1_MACS_peak_1631_lociStitched
BOD1	0	1_MACS_peak_23083_lociStitched
BOLA1	0	4_MACS_peak_1588_lociStitched,1_MACS_peak_1592_lociStitched
