KB528_0	KB528_6	KB528_24	GNE781_0	GNE781_6	GNE781_24	CCS1477_0	CCS1477_6	CCS1477_24	JQ1_0	JQ1_6	JQ1_24	Lenalidomide_0	Lenalidomide_6	Lenalidomide_24
WASH7P	33.0696110135168	40.0858091276294	45.2238438209517	34.4344129481236	29.6632250485867	33.7517381238947	35.2881986478804	34.9252372121632	46.6977599742253	31.9145098738609	19.1781033106071	28.2556929539069	35.0583560044595	32.4121034288123	29.357709405279
LOC100133331	0.902304972804705	1.28167034745702	1.86492786030192	0.710462812232232	0.863692899513721	0.937802268944666	0.731086563764384	1.18377407195056	1.69717626185746	0.747742776670771	0.880195087551728	1.11791030253333	0.822181536834463	0.896999116768749	0.69996761650111
LOC100288069	6.41405156228677	10.2441702254238	13.8141634228435	5.36811805780707	6.01168318705064	7.46344088955806	6.35170462560157	8.35799783498041	11.5533437375275	5.93345025491116	5.56834325126363	8.10988662173871	6.53975427998785	5.29227469495395	4.02427947238298
LINC00115	3.24680450572929	2.49490626419651	4.51318343494413	3.0033722088186	1.92598752037513	3.34184790780963	2.93897376046328	2.26735175189871	4.42433791803569	2.87172230365375	2.04062626305102	3.17381994543858	3.24276478415904	2.71516838481796	3.43147682126425
LINC01128	4.87270788534556	6.06810737425211	4.32438696227211	4.63293866020875	6.44196085224119	4.95778973273526	5.06886577633135	7.7046503016475	6.02492430947761	4.87598312045849	8.19736758283838	6.36937737228349	5.03857350926163	6.13262031514956	5.21726489809434
NOC2L	93.1980079350242	110.195027398658	74.1988056815447	107.261958628848	112.670088086812	118.792966336049	102.067565807618	110.138011126109	110.40494430384	96.5380740320228	87.9890242704675	89.3219632755705	96.0408303654564	119.380876760585	118.164635725754
KLHL17	10.1635163329879	14.8396133804223	17.280612881957	10.7092433402195	10.0921369342699	11.9085158199661	10.5675784091031	12.7812872168345	18.4696234812167	9.26107410645057	5.77889850887919	9.03674074657857	9.96755867915277	9.24079789496896	8.55416506661223
PLEKHN1	4.02902643413473	2.49408206819119	5.63389657414523	4.42248049260808	3.12625802114239	5.38902004326252	4.49454773621316	5.3781469383447	15.4510627048316	4.31916088920105	5.11014909350632	11.3322411558066	4.48868667470003	5.68624353175232	3.94074606722679
ISG15	13.6982708120135	21.9693539672288	14.1467336087715	18.9875584098274	21.5656686281413	19.2473022686704	13.2211808765026	22.0637440610338	8.31509805423806	12.6659559084462	16.8334278543162	7.52438869699546	12.5734495816588	19.112462816584	8.91367225155455
AGRN	0.33118685645474	0.537330193013224	0.6409940041977	0.509241851737855	0.437301102455969	0.297654778412506	0.403236680424605	0.983561037698242	1.41091473445716	0.353765745952748	0.77413119668175	0.644148525380666	0.362884598128154	0.34523490274114	0.193280553581164
C1orf159	17.8178295865053	16.7012145420633	14.2018003013819	17.156131024785	14.9028012840867	20.4467129667347	20.4613721284083	12.5097618088852	17.1695267147884	18.0333827763431	6.77033376692969	6.50105429585425	15.8828084911355	16.9771188833965	18.8347500082685
SDF4	192.552139553325	238.687953054796	225.811789487161	219.501738282872	203.709203546846	208.100469439246	204.856571528676	210.599649659065	226.596366258197	194.683587489226	165.108519346675	186.028668226772	184.024212636233	206.027008475743	196.186354873144
B3GALT6	20.1057176109378	22.5543965852654	27.8159808658247	26.4506792816275	21.6620844898997	25.803407936395	22.1748160819421	18.0836622167178	27.0450552458265	20.9247349080994	7.54701485613576	12.6584218849611	18.2451912166106	17.6796840098691	18.8932984024894
UBE2J2	66.910583673123	80.0104061822672	72.565756823826	73.9324369529138	72.456655576884	81.6682182346856	66.3676240075756	80.7855106853429	84.4983408826182	68.0984207618832	61.834438952629	69.0821932913041	66.3951585168046	67.56884280673	67.0221554225317
SCNN1D	0.340265623968376	0.486588291171296	0.990132924071033	0.455419755481163	0.34263090306186	0.357719734752129	0.339641359594991	0.927218404305828	0.962693971554577	0.254724438756219	0.492121148382863	0.523064131944009	0.17710624357884	0.305979660445901	0.165970517859165
ACAP3	25.0016921325944	26.7900970280927	17.9385955922483	26.8449386469321	23.0872002364044	23.791388397119	27.4547251364211	31.6327429584024	36.2716818982646	22.2664431547207	25.2117282390978	31.725801314456	23.5608507334896	21.4649585049219	23.1621215823077
PUSL1	42.039481893297	42.8440483718013	26.4513620455426	51.6218552390626	49.410628753903	41.0007131560154	43.7000916480426	40.3242548275385	30.0261333098001	40.8351965987909	29.9052140021366	24.3333395900018	39.6116342867165	51.5091727973284	49.833960518137
CPSF3L	73.4889041171943	82.4569457517588	81.4791840009164	70.8517717197341	69.7979814227207	80.8317329388529	75.1947511591423	77.933319753924	89.9871482890059	73.533397367063	68.070552699658	70.5121071456881	73.6280614658132	68.5351432749473	74.1588614603761
CPTP	45.0832037028479	58.7528614958958	55.8606228230044	48.2568342839939	49.1382111300847	51.5972127561998	45.7391216552149	56.3145082472854	48.0951233777762	43.2422451947299	48.1051660609673	35.73909112058	40.4656171992164	50.2043816722425	45.3098991329355
TAS1R3	0.525580633811205	0.228150188347353	0.816043592337712	0.610530163877226	0.157572863793187	0.389684622914506	0.655345834010818	0.473167552439391	0.611438380288314	0.566520355069644	0.500914675430418	0.733709927246248	0.674836686827659	0.325632235602264	0.296601265311263
DVL1	30.1495131629851	29.3260092540236	29.253352488034	34.3873053694838	28.3212438023344	28.7259782634139	33.5262203661701	23.352810784283	30.4253017039442	32.2482984765221	14.5321470252321	17.2438528785349	31.724363698327	26.6542753894801	25.1499202825392
