GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
ACTG1	5267.8	12252.405900000002
ACTG2	0.0	917.4680999999999
ACTL6A	5257.1051	2774.3103
ACTL6B	0.0	3327.1885
ACTL7A	0.0	241.64139999999998
ACTL7B	0.0	241.64139999999998
ACTN1	0.0	209.7158
ACTN2	0.0	0.0
ACTN3	439.56	1796.4633000000001
ACTN4	2201.1736	18463.9325
ACTR10	1997.9463	675.5176
ACTR1A	4907.5964	12979.698399999997
ACTR1B	5749.0	734.1035999999999
ACTR2	5749.4	2464.2817999999997
ACTR3	10171.0	10060.313300000002
ACTR3B	2465.2311999999997	1999.0518000000002
ACTR3BP2	0.0	1110.7104
ACTR3C	9190.689100000001	97838.0212
ACTR5	2167.7826	10686.4561
ACTR6	2313.9459	1797.3464
ACTR8	3006.2988	1699.1190000000001
ACVR1	2229.0624000000003	5822.266100000001
ACVR1B	0.0	1396.5802999999999
ACVR1C	2754.829	988.6749
ACVR2A	2114.0928	278.88
ACVR2B	2199.3568	108.5529
ACY1	3649.7637	873.3982000000001
ACY3	848.068	15989.437999999998
ACYP1	1701.4751	4.1116
ACYP2	16469.536	6362.7789999999995
ADA	4557.0	33940.3653
ADAD2	0.0	11575.0201
ADAL	5564.7433	1859.2679
ADAM1	0.0	1860.5092
ADAM10	5694.200000000001	3795.5034
ADAM11	0.0	5280.211300000001
ADAM15	5107.0	123357.29380000003
ADAM17	5432.2	4851.8958
ADAM19	0.0	5099.5844
ADAM20	0.0	0.0
ADAM21	0.0	0.0
ADAM22	2491.119	10044.1376
ADAM23	0.0	2943.1636
ADAM28	1869.7518000000002	18182.017900000003
ADAM29	0.0	1877.3159999999998
ADAM33	0.0	1696.8490000000002
ADAM3A	0.0	1087.494
ADAM5P	0.0	1499.0696
ADAM7	0.0	13893.876900000001
ADAM8	5783.0	13137.889399999998
ADAM9	5135.734600000001	53719.6714
ADAMDEC1	0.0	18182.017900000003
ADAMTS10	0.0	2449.2153
ADAMTS12	0.0	1048.7107999999998
ADAMTS13	0.0	393.5848
ADAMTS14	0.0	14808.674400000002
ADAMTS15	906.9522	1294.9470000000001
ADAMTS16	0.0	1094.0091
ADAMTS17	0.0	0.0
ADAMTS19	868.5015	3697.6275000000005
ADAMTS3	2460.4919999999997	779.214
ADAMTS4	0.0	45514.3603
ADAMTS6	0.0	0.0
ADAMTS7	0.0	3620.3554999999997
ADAMTS8	0.0	1294.9470000000001
ADAMTSL2	0.0	125.63439999999999
ADAMTSL4	0.0	104330.1365
ADAMTSL5	0.0	6836.2015
ADAP1	0.0	7356.9984
ADAP2	0.0	4377.8076
ADAR	15883.228799999999	8023.6646
ADARB1	0.0	1834.5048
ADAT1	2078.3952	1128.3069
ADAT2	2035.199	8.293999999999999
ADAT3	2889.2026	28692.123800000005
ADC	820.8207	24369.4515
ADCK1	1748.9345	1448.8396
ADCK2	8989.2	4521.358
ADCK3	19996.425799999997	13707.263600000002
ADCK4	3565.9566000000004	1340.2131
ADCK5	3523.2695	12636.107999999997
ADCY1	1074.1093	0.0
ADCY10	0.0	1039.0383000000002
ADCY2	0.0	4079.1142000000004
ADCY3	2227.4987	3129.2582
ADCY4	0.0	5529.5573
ADCY5	0.0	3356.7556000000004
ADCY6	2165.6122	7175.5817
ADCY7	0.0	17570.8036
ADCY8	0.0	430.86060000000003
ADCY9	0.0	2703.2448
ADCYAP1	0.0	3209.1557000000003
ADCYAP1R1	0.0	771.4426000000001
ADD1	3674.4	10744.9381
ADD2	1107.3808	0.0
