GENE	H3k27ac_15_DMSO_compare_TSS_SIGNAL	H3k27ac_15_DMSO_compare_DISTAL_SIGNAL
ACTG1	6254.2	14191.204
ACTG2	0.0	847.6424999999999
ACTL6A	5876.364	2750.5281999999997
ACTL6B	0.0	3875.2772
ACTL7A	0.0	277.134
ACTL7B	0.0	277.134
ACTN1	0.0	202.29930000000002
ACTN2	0.0	0.0
ACTN3	692.8199999999999	1948.9282999999998
ACTN4	2413.8271999999997	19670.865299999998
ACTR10	2430.6117999999997	885.8648000000001
ACTR1A	5113.3514	14574.411800000002
ACTR1B	7333.2	851.8283
ACTR2	6074.2	2597.534
ACTR3	11167.6	10541.9505
ACTR3B	2963.466	1983.9697999999996
ACTR3BP2	0.0	999.7103999999999
ACTR3C	10991.1475	100543.734
ACTR5	2086.6403999999998	11063.0635
ACTR6	3047.955	1922.592
ACTR8	3146.0445000000004	2009.7853
ACVR1	2569.4685999999997	6536.0401
ACVR1B	0.0	1547.3452
ACVR1C	3558.87	976.3537
ACVR2A	2440.605	357.6825
ACVR2B	3129.0009999999997	126.0504
ACY1	4512.5839000000005	1034.3411
ACY3	1059.5991999999999	16004.682
ACYP1	2253.6327	16.2868
ACYP2	17991.456	6516.0793
ADA	5397.400000000001	35544.7249
ADAD2	0.0	12288.864399999999
ADAL	6460.7418	1830.9838
ADAM1	0.0	1986.9969999999998
ADAM10	7053.4	3937.5187000000005
ADAM11	0.0	5088.2106
ADAM15	5297.2	130097.5961
ADAM17	6119.799999999999	5118.9868
ADAM19	0.0	5234.9005
ADAM20	0.0	0.0
ADAM21	0.0	0.0
ADAM22	3061.186	10453.113900000002
ADAM23	0.0	2883.8462
ADAM28	1836.9316000000001	17665.922899999998
ADAM29	0.0	1806.7559999999999
ADAM33	0.0	1691.9162999999999
ADAM3A	0.0	1270.0512
ADAM5P	0.0	1838.4408
ADAM7	0.0	13480.5781
ADAM8	7361.799999999999	14503.8393
ADAM9	5906.6415	55013.345799999996
ADAMDEC1	0.0	17665.922899999998
ADAMTS10	0.0	2208.2282999999998
ADAMTS12	0.0	1106.7252
ADAMTS13	0.0	523.3847000000001
ADAMTS14	0.0	15276.9118
ADAMTS15	1241.3961	1518.507
ADAMTS16	0.0	1333.217
ADAMTS17	0.0	0.0
ADAMTS19	970.3168	3687.8266
ADAMTS3	2884.842	858.3432
ADAMTS4	0.0	46695.186200000004
ADAMTS6	0.0	0.0
ADAMTS7	0.0	3947.1673
ADAMTS8	0.0	1518.507
ADAMTSL2	0.0	189.4216
ADAMTSL4	0.0	109940.2215
ADAMTSL5	0.0	6346.197500000001
ADAP1	0.0	7829.6296999999995
ADAP2	0.0	3609.8547
ADAR	18563.6688	7924.3831
ADARB1	0.0	1786.5539999999999
ADAT1	2419.4856	1096.248
ADAT2	2424.4244	4.5045
ADAT3	3542.1209999999996	32361.981799999994
ADC	1164.7606	26172.8952
ADCK1	1977.9397999999999	1458.0726
ADCK2	10295.400000000001	4925.4785999999995
ADCK3	22352.98	13820.1243
ADCK4	4590.808399999999	1517.3482
ADCK5	3879.2019999999998	13475.786800000002
ADCY1	1239.6307	0.0
ADCY10	0.0	860.5998000000001
ADCY2	0.0	3760.6609
ADCY3	3049.7963999999997	3678.4375999999997
ADCY4	0.0	5911.2141
ADCY5	0.0	2774.6111
ADCY6	2566.5620000000004	8048.0283
ADCY7	0.0	19894.9483
ADCY8	0.0	472.9086
ADCY9	0.0	3066.2016
ADCYAP1	0.0	3502.8966
ADCYAP1R1	0.0	990.0237000000001
ADD1	4705.4	12011.4821
ADD2	1317.0622	0.0
ADD3	2189.2	5114.5767
ADH1B	0.0	1458.0137
ADH1C	0.0	1458.0137
ADH4	0.0	0.0
ADH5	1132.3201999999999	0.0
ADH7	0.0	1458.0137
ADHFE1	0.0	1433.712
ADI1	9367.800000000001	7475.955399999999
ADIPOQ	0.0	8778.9071
ADIPOR1	4499.794500000001	4287.6541
ADIPOR2	3055.2081	5381.8876
ADK	16062.059599999999	7912.058599999999
ADM	9477.800000000001	67480.80290000001
ADM2	787.9060000000001	20605.6812
ADNP	5969.8	3002.9249999999997
ADNP2	484.12	37.6422
ADO	7072.7643	6450.1306
ADORA1	0.0	4822.348999999999
ADORA2A	24949.8348	31329.730799999998
ADORA2B	0.0	1850.3281
ADORA3	0.0	40179.211899999995
ADPGK	8199.400000000001	6624.163500000001
ADPRH	0.0	32289.352300000006
ADPRHL1	0.0	2096.4492
ADPRHL2	4602.0234	11362.524500000001
ADRA1A	0.0	1924.1017000000002
ADRA1B	0.0	7246.9794
ADRA1D	0.0	3858.6641
ADRA2A	0.0	745.7715000000001
ADRA2B	0.0	3195.6238000000003
ADRB1	0.0	5285.3696
ADRB2	6065.599999999999	45547.28279999999
ADRB3	0.0	9346.858800000002
ADRBK1	5433.280500000001	46215.543000000005
ADRM1	8556.6	31224.626299999996
ADSL	7594.2	5197.223599999999
ADSS	7607.106	3817.9564
ADSSL1	0.0	2783.5496000000003
AEBP1	0.0	4308.8686
AEBP2	2667.4641	337.1024
AEN	8031.4965	28339.255500000003
AES	0.0	752.0424999999999
