To,From,type
AGAP6,ARF6,PPI
IKBKB,VPS35,PPI
RNF4,VPS35,PPI
RAB6A,VPS35,PPI
TFRC,VPS35,PPI
UPF1,VPS35,PPI
NRAS,VPS35,PPI
PCID2,VPS35,PPI
IRF4,VPS35,PPI
TTC4,VPS35,PPI
DNM2,VPS35,PPI
KIF14,VPS35,PPI
GRB2,COPS2,PPI
GPS1,COPS2,PPI
HDAC1,COPS2,PPI
IRS2,COPS2,PPI
RPL9,COPS2,PPI
PSMD13,COPS2,PPI
CLTC,COPS2,PPI
HSP90B1,COPS2,PPI
COPS8,COPS2,PPI
EIF3F,COPS2,PPI
CUL1,COPS2,PPI
GLRX5,COPS2,PPI
PSMD4,COPS2,PPI
SIN3A,COPS2,PPI
MED23,COPS2,PPI
TAF1,TAF10,PPI
GTF2F2,TAF10,PPI
GTF2E2,TAF10,PPI
BPTF,TAF10,PPI
SMG1,TAF10,PPI
GTF2A1,TAF10,PPI
TBP,TAF10,PPI
ATR,TAF10,PPI
KPNA2,TAF10,PPI
TADA2B,TAF10,PPI
TAF8,TAF10,PPI
ING3,TAF10,PPI
MYC,TAF10,PPI
TAF13,TAF10,PPI
MAX,TAF10,PPI
MTOR,TAF10,PPI
GTF2H3,TAF10,PPI
DR1,TAF10,PPI
AK6,TAF10,PPI
TAF5,TAF10,PPI
BRD2,TAF10,PPI
TPT1,HSP90B1,PPI
KDM5C,HSP90B1,PPI
PPIAL4G,HSP90B1,PPI
DDX42,HSP90B1,PPI
CTR9,HSP90B1,PPI
RPL30,HSP90B1,PPI
DDX46,HSP90B1,PPI
PPP2CA,HSP90B1,PPI
HSF1,HSP90B1,PPI
PPIH,HSP90B1,PPI
RNF4,HSP90B1,PPI
PPIL2,HSP90B1,PPI
DDX6,HSP90B1,PPI
DDX3X,HSP90B1,PPI
DDX23,HSP90B1,PPI
XRCC3,HSP90B1,PPI
EIF3F,HSP90B1,PPI
DDX21,HSP90B1,PPI
HUWE1,HSP90B1,PPI
GSPT1,HSP90B1,PPI
RAD51,HSP90B1,PPI
PPP6C,HSP90B1,PPI
RAD51D,HSP90B1,PPI
DNAJB11,HSP90B1,PPI
PPIL1,HSP90B1,PPI
KIF14,HSP90B1,PPI
PPP1CA,HSP90B1,PPI
TMED10,HSP90B1,PPI
CIT,HSP90B1,PPI
PPP1CB,HSP90B1,PPI
OGT,HSP90B1,PPI
DDX24,HSP90B1,PPI
GPS1,HSP90B1,PPI
IKBKB,HSP90B1,PPI
HNRNPH1,HSP90B1,PPI
RAD51C,HSP90B1,PPI
YWHAZ,HSP90B1,PPI
SMG1,HSP90B1,PPI
DDX51,HSP90B1,PPI
PSMD4,HSP90B1,PPI
DDX27,HSP90B1,PPI
TTC4,HSP90B1,PPI
DNAJC11,HSP90B1,PPI
SYVN1,HSP90B1,PPI
PRMT5,HSP90B1,PPI
PPIA,HSP90B1,PPI
HYOU1,HSP90B1,PPI
HSPA8,HSP90B1,PPI
TFIP11,HSP90B1,PPI
DDX20,HSP90B1,PPI
MYC,HSP90B1,PPI
DNAJA1,HSP90B1,PPI
CLTC,HSP90B1,PPI
DDX59,HSP90B1,PPI
TBP,POLR3E,PPI
GTF3C2,POLR3E,PPI
GTF3A,POLR3E,PPI
SUMO2,POLR3E,PPI
POLR3C,POLR3E,PPI
BDP1,POLR3E,PPI
POU2F1,POLR3E,PPI
RBPJ,POLR3E,PPI
SNAPC5,POLR3E,PPI
BRD2,POLR3E,PPI
GTF3C1,POLR3E,PPI
SNAPC3,POLR3E,PPI
POLR1B,POLR3E,PPI
MAF1,POLR3E,PPI
POLR3F,POLR3E,PPI
UXT,POLR3E,PPI
PPP1CA,POLR3E,PPI
MED23,MED1,PPI
GABPA,MED1,PPI
BCLAF1,MED1,PPI
KAT5,MED1,PPI
MED14,MED1,PPI
MED12,MED1,PPI
SREBF2,MED1,PPI
MED16,MED1,PPI
CIT,MED1,PPI
HNRNPH1,MED1,PPI
HDAC1,MED1,PPI
MYC,MED1,PPI
CCNC,MED1,PPI
RUNX2,MED1,PPI
SP1,MED1,PPI
HNRNPC,MED1,PPI
UXT,CHAF1A,PPI
HDAC1,CHAF1A,PPI
COPS8,CHAF1A,PPI
GPS1,CHAF1A,PPI
CENPA,CHAF1A,PPI
CHD4,CHAF1A,PPI
HMGA1,CHAF1A,PPI
IPO7,CHAF1A,PPI
XRCC5,CHAF1A,PPI
CIT,CHAF1A,PPI
PPP1R12A,CHAF1A,PPI
WDR73,CHAF1A,PPI
CBX1,CHAF1A,PPI
KIF14,CHAF1A,PPI
ALDOA,CHAF1A,PPI
PELP1,CHAF1A,PPI
DMAP1,CHAF1A,PPI
EIF3F,CHAF1A,PPI
DDX20,CHAF1A,PPI
HDAC3,CHAF1A,PPI
PPP1CA,CHAF1A,PPI
PABPC1,CHAF1A,PPI
SUMO2,CHAF1A,PPI
RBBP4,CHAF1A,PPI
YWHAZ,CHAF1A,PPI
GTF2E2,CHAF1A,PPI
SMARCE1,CHAF1A,PPI
PPP6C,CHAF1A,PPI
HSPA8,CHAF1A,PPI
MYC,CHAF1A,PPI
SIN3A,CHAF1A,PPI
RFC5,CHAF1A,PPI
DNAJC9,CHAF1A,PPI
UBR5,CHAF1A,PPI
USP9X,CHAF1A,PPI
SMARCD1,CHAF1A,PPI
HUWE1,CHAF1A,PPI
SUMO2,PELP1,PPI
TAF1,PELP1,PPI
KIF20A,PELP1,PPI
RNF4,PELP1,PPI
BCAS2,PELP1,PPI
MAX,PELP1,PPI
CIT,PELP1,PPI
GRB2,PELP1,PPI
PES1,PELP1,PPI
MCRS1,PELP1,PPI
AK6,PELP1,PPI
CARM1,PELP1,PPI
MIS12,BUB1,PPI
PMF1,BUB1,PPI
HSF1,BUB1,PPI
BPTF,BUB1,PPI
UBR5,BUB1,PPI
TAF5,BUB1,PPI
SKA2,BUB1,PPI
NKAP,BUB1,PPI
KIF20A,BUB1,PPI
CENPA,BUB1,PPI
HDAC1,BUB1,PPI
NUP98,BUB1,PPI
YWHAZ,BCL2L1,PPI
RNF4,BCL2L1,PPI
CFLAR,BCL2L1,PPI
CHCHD2,BCL2L1,PPI
PDS5A,BCL2L1,PPI
IRS1,BCL2L1,PPI
NFKB2,BCL2L1,PPI
BCL2,BCL2L1,PPI
MTOR,BCL2L1,PPI
BCLAF1,BCL2L1,PPI
RAD9A,BCL2L1,PPI
HSPA8,BCL2L1,PPI
TPT1,BCL2L1,PPI
PPP1CA,BCL2L1,PPI
HDAC1,BCL2L1,PPI
DNM2,BCL2L1,PPI
LARP1,BCL2L1,PPI
PDPK1,BCL2L1,PPI
RELA,BCL2L1,PPI
DDX21,PA2G4,PPI
NUP62,PA2G4,PPI
DHX9,PA2G4,PPI
TOP1,PA2G4,PPI
RPL30,PA2G4,PPI
GNL3,PA2G4,PPI
PTBP1,PA2G4,PPI
MTOR,PA2G4,PPI
SIN3A,PA2G4,PPI
PES1,PA2G4,PPI
ATR,PA2G4,PPI
PDPK1,PA2G4,PPI
NMD3,PA2G4,PPI
MRTO4,PA2G4,PPI
KIF14,PA2G4,PPI
RNF20,PA2G4,PPI
RPL36A,PA2G4,PPI
E2F1,PA2G4,PPI
RPS21,PA2G4,PPI
CIT,PA2G4,PPI
RPL9,PA2G4,PPI
RBBP4,PA2G4,PPI
YBX1,PA2G4,PPI
ILF3,PA2G4,PPI
HMGA1,PA2G4,PPI
GNL3L,PA2G4,PPI
TPT1,PA2G4,PPI
RPL10,PA2G4,PPI
RPL38,PA2G4,PPI
SERBP1,PA2G4,PPI
RPS25,PA2G4,PPI
HDAC1,PA2G4,PPI
RPL26L1,PA2G4,PPI
RPL28,PA2G4,PPI
SDAD1,PA2G4,PPI
NUP98,PA2G4,PPI
RSL1D1,PA2G4,PPI
CHD4,HDAC3,PPI
HDAC1,HDAC3,PPI
NFKB2,HDAC3,PPI
RBBP4,HDAC3,PPI
SREBF2,HDAC3,PPI
RELA,HDAC3,PPI
KDM5C,HDAC3,PPI
WDR73,HDAC3,PPI
OGT,HDAC3,PPI
BRD2,HDAC3,PPI
HSPA8,HDAC3,PPI
ACTG1,HDAC3,PPI
PPP1CB,HDAC3,PPI
SMARCD1,HDAC3,PPI
PPP1CA,HDAC3,PPI
CENPA,HDAC3,PPI
THAP11,HDAC3,PPI
PHF12,HDAC3,PPI
GLRX5,HDAC3,PPI
PPIAL4G,HDAC3,PPI
MYC,HDAC3,PPI
PRMT5,HDAC3,PPI
RUNX2,HDAC3,PPI
RBPJ,HDAC3,PPI
TAF5,HDAC3,PPI
PPP6C,HDAC3,PPI
MAX,HDAC3,PPI
TFDP1,HDAC3,PPI
CBX1,HDAC3,PPI
PGK1,HDAC3,PPI
SP1,HDAC3,PPI
EP400,HDAC3,PPI
INO80,HDAC3,PPI
TLE3,HDAC3,PPI
POU5F1B,HDAC3,PPI
SIN3A,HDAC3,PPI
KAT5,HDAC3,PPI
PPIA,HDAC3,PPI
CSNK2B,HDAC3,PPI
NKAP,HDAC3,PPI
CBFB,HDAC3,PPI
SMC3,HDAC3,PPI
E2F1,HDAC3,PPI
TOP1,HDAC3,PPI
MEF2C,HDAC3,PPI
PKM,HDAC3,PPI
NCBP1,HDAC3,PPI
SUDS3,HDAC3,PPI
GABPA,HDAC3,PPI
ING3,HDAC3,PPI
SUZ12,HDAC3,PPI
DRG1,TMED10,PPI
COG4,TMED10,PPI
GBF1,TMED10,PPI
HYOU1,TMED10,PPI
COPG1,TMED10,PPI
SEC13,TMED10,PPI
RNF4,TMED10,PPI
ARF4,TMED10,PPI
GART,TMED10,PPI
KIF14,TMED10,PPI
TPT1,TMED10,PPI
SENP6,PDS5A,PPI
SMC3,PDS5A,PPI
PES1,PDS5A,PPI
TPT1,PDS5A,PPI
DDX21,PDS5A,PPI
CIT,PDS5A,PPI
RNF4,PDS5A,PPI
OGT,THAP11,PPI
HDAC1,THAP11,PPI
SIN3A,THAP11,PPI
PCBP1,THAP11,PPI
POU5F1B,THAP11,PPI
WTAP,THAP11,PPI
RAD51,IRS1,PPI
YWHAZ,IRS1,PPI
BCL2,IRS1,PPI
CSNK2B,IRS1,PPI
PPP1R12A,IRS1,PPI
AP1M1,IRS1,PPI
RNF4,IRS1,PPI
CUL1,IRS1,PPI
IRS2,IRS1,PPI
USP9X,IRS1,PPI
RAB6A,IRS1,PPI
PTPN11,IRS1,PPI
RPTOR,IRS1,PPI
USP7,IRS1,PPI
PABPC1,IRS1,PPI
MTOR,IRS1,PPI
CIT,IRS1,PPI
PPP2R1A,IRS1,PPI
HSPA8,IRS1,PPI
IPO7,IRS1,PPI
EIF4E,IRS1,PPI
PPP2CA,IRS1,PPI
SNAPC3,IRS1,PPI
GRB2,IRS1,PPI
YBX1,IRS1,PPI
HDAC1,IRS1,PPI
IKBKB,IRS1,PPI
CIT,PCBP1,PPI
HNRNPH1,PCBP1,PPI
EIF4E,PCBP1,PPI
PABPC1,PCBP1,PPI
RPL28,PCBP1,PPI
POT1,PCBP1,PPI
HUWE1,PCBP1,PPI
GTF2F2,PCBP1,PPI
DDX6,PCBP1,PPI
DHX36,PCBP1,PPI
KIF20A,PCBP1,PPI
SF3B2,PCBP1,PPI
HNRNPM,PCBP1,PPI
RBM14,PCBP1,PPI
DDX3X,PCBP1,PPI
HNRNPC,PCBP1,PPI
DHX9,PCBP1,PPI
RPF1,PCBP1,PPI
CDC42,PCBP1,PPI
PCBP2,PCBP1,PPI
PTBP1,PCBP1,PPI
ZBTB17,PCBP1,PPI
UBR5,PCBP1,PPI
HMGA1,PCBP1,PPI
PAICS,PCBP1,PPI
NUP62,PCBP1,PPI
PKM,PCBP1,PPI
KIF14,PCBP1,PPI
RBMX,PCBP1,PPI
NCBP1,PCBP1,PPI
CFL1,PCBP1,PPI
DDX24,PCBP1,PPI
HNRNPR,PCBP1,PPI
AP1M1,ARF4,PPI
EEF1B2,ARF4,PPI
RPS25,ARF4,PPI
CDC42,ARF4,PPI
ITSN2,ARF4,PPI
RBPJ,ARF4,PPI
SMC3,ARF4,PPI
COPG1,ARF4,PPI
RPS21,ARF4,PPI
CFL1,ARF4,PPI
KIF14,ARF4,PPI
RHOA,ARF4,PPI
SEC13,ARF4,PPI
RABGGTB,ARF4,PPI
DNM2,ARF4,PPI
PCBP2,ARF4,PPI
UBE2N,ARF4,PPI
CIT,ARF4,PPI
GSPT1,ARF4,PPI
GBF1,ARF4,PPI
SUMO2,ARF4,PPI
PSMD4,ARF4,PPI
TPT1,ARF4,PPI
EEF1G,ARF4,PPI
AK2,ARF4,PPI
DNAJA1,ARF4,PPI
PABPC1,ARF4,PPI
GART,ARF4,PPI
HUWE1,PPIH,PPI
PRPF18,PPIH,PPI
DAP3,PPIH,PPI
ALYREF,PPIH,PPI
BCAS2,PPIH,PPI
SF3B2,PPIH,PPI
RNF113A,PPIH,PPI
NRAS,PPIH,PPI
RPL26L1,PPIH,PPI
CIT,PPIH,PPI
SOD2,PPIH,PPI
RBMX2,PPIH,PPI
GNL3,PPIH,PPI
CWC22,PPIH,PPI
SART1,PPIH,PPI
PPIAL4G,PPIH,PPI
BRD2,PPIH,PPI
SRSF10,PPIH,PPI
LSM5,PPIH,PPI
TRA2B,PPIH,PPI
HNRNPC,PPIH,PPI
PPIA,PPIH,PPI
DDX23,PPIH,PPI
CDC40,PPIH,PPI
GNL3L,PPIH,PPI
PLRG1,PPIH,PPI
MCRS1,BPTF,PPI
ACTR2,BPTF,PPI
CBX1,BPTF,PPI
CHD4,BPTF,PPI
SEC13,BPTF,PPI
SMARCD1,BPTF,PPI
TAF5,BPTF,PPI
E2F1,BPTF,PPI
TAF8,BPTF,PPI
NUP98,BPTF,PPI
ATR,BPTF,PPI
WDR73,BPTF,PPI
DR1,BPTF,PPI
MED14,BPTF,PPI
MEF2C,BPTF,PPI
KANSL3,BPTF,PPI
TADA2B,BPTF,PPI
INO80,BPTF,PPI
KAT5,BPTF,PPI
HSF1,BPTF,PPI
NFYC,BPTF,PPI
TBP,BPTF,PPI
CIT,BPTF,PPI
MTOR,BPTF,PPI
RBPJ,BPTF,PPI
RBBP4,BPTF,PPI
ACTR8,BPTF,PPI
ACTG1,BPTF,PPI
TAF1,BPTF,PPI
EP400,BPTF,PPI
CENPA,BPTF,PPI
ITSN2,BPTF,PPI
SMG1,BPTF,PPI
SUMO2,BPTF,PPI
AK6,BPTF,PPI
EIF2B1,BPTF,PPI
XRCC5,BPTF,PPI
TPT1,RPTOR,PPI
YWHAZ,RPTOR,PPI
EIF3F,RPTOR,PPI
USP9X,RPTOR,PPI
DDX6,RPTOR,PPI
DDX23,RPTOR,PPI
RHOA,RPTOR,PPI
MYC,RPTOR,PPI
EIF4E,RPTOR,PPI
SMG1,RPTOR,PPI
YBX1,RPTOR,PPI
GTF3C1,RPTOR,PPI
GTF3C2,RPTOR,PPI
ATR,RPTOR,PPI
RNF4,RPTOR,PPI
MLST8,RPTOR,PPI
LARP1,RPTOR,PPI
DDX46,RPTOR,PPI
DDX24,RPTOR,PPI
DDX51,RPTOR,PPI
PABPC1,RPTOR,PPI
HNRNPM,RPTOR,PPI
DDX20,RPTOR,PPI
DDX27,RPTOR,PPI
DDX21,RPTOR,PPI
NRAS,RPTOR,PPI
DDX42,RPTOR,PPI
MTOR,RPTOR,PPI
DDX59,RPTOR,PPI
DDX3X,RPTOR,PPI
IRS2,RPTOR,PPI
DNM2,RPTOR,PPI
CSTF2,RPTOR,PPI
IKBKB,RPTOR,PPI
DR1,TADA2B,PPI
MTOR,TADA2B,PPI
SMG1,TADA2B,PPI
GABPA,TADA2B,PPI
TAF5,TADA2B,PPI
ATR,TADA2B,PPI
HNRNPM,TADA2B,PPI
BRD2,TADA2B,PPI
DPF2,TADA2B,PPI
AK6,TADA2B,PPI
MYC,TADA2B,PPI
TBP,TADA2B,PPI
HSF1,TADA2B,PPI
TFDP1,TADA2B,PPI
TAF1,TADA2B,PPI
PCID2,TADA2B,PPI
PHF12,TADA2B,PPI
KIF14,TADA2B,PPI
TFIP11,TADA2B,PPI
MED14,TADA2B,PPI
TAF13,TADA2B,PPI
MEF2C,TADA2B,PPI
RBPJ,TADA2B,PPI
SUMO2,GMPPB,PPI
PSMD4,GMPPB,PPI
EIF3F,GMPPB,PPI
EIF2B1,GMPPB,PPI
IPO7,RPL38,PPI
EEF1G,RPL38,PPI
TAF5,RPL38,PPI
RPL30,RPL38,PPI
SRP19,RPL38,PPI
SRP68,RPL38,PPI
RPL26L1,RPL38,PPI
HMGB1,RPL38,PPI
EIF5A,RPL38,PPI
RPL28,RPL38,PPI
ABCF1,RPL38,PPI
KIF14,RPL38,PPI
DHX9,RPL38,PPI
SERBP1,RPL38,PPI
RPL36A,RPL38,PPI
NOP2,RPL38,PPI
RPL10,RPL38,PPI
GNL3,RPL38,PPI
RSL1D1,RPL38,PPI
RPF1,RPL38,PPI
MRTO4,RPL38,PPI
GNL3L,RPL38,PPI
PES1,RPL38,PPI
NMD3,RPL38,PPI
KIF20A,RPL38,PPI
EEF1B2,RPL38,PPI
SEC61G,RPL38,PPI
TFAM,RPL38,PPI
SDAD1,RPL38,PPI
GSPT1,RPL38,PPI
RPS21,RPL38,PPI
RPL9,RPL38,PPI
TPT1,RPL38,PPI
RPS25,RPL38,PPI
RBMX2,SART1,PPI
SF3B2,SART1,PPI
KIF14,SART1,PPI
CIT,SART1,PPI
TFIP11,SART1,PPI
RNF113A,SART1,PPI
KIF20A,SART1,PPI
PRPF40A,SART1,PPI
PABPC1,SART1,PPI
DHX9,SART1,PPI
SRSF10,SART1,PPI
TRA2B,SART1,PPI
CSTF2,SART1,PPI
PES1,SART1,PPI
LSM5,SART1,PPI
RNF4,SART1,PPI
HNRNPC,SART1,PPI
ILF3,SART1,PPI
CHD4,SART1,PPI
WAC,SART1,PPI
DHX36,SART1,PPI
HNRNPM,SART1,PPI
HNRNPH1,SART1,PPI
SUMO2,SART1,PPI
PRPF18,SART1,PPI
CWC22,SART1,PPI
DDX23,SART1,PPI
HNRNPR,SART1,PPI
NCBP1,SART1,PPI
CNOT1,DDX23,PPI
LSM5,DDX23,PPI
DDX21,DDX23,PPI
EWSR1,DDX23,PPI
KIF14,DDX23,PPI
TRA2B,DDX23,PPI
GNL3L,DDX23,PPI
RPL9,DDX23,PPI
NCBP1,DDX23,PPI
POLR1B,DDX23,PPI
GNL3,DDX23,PPI
YWHAZ,DDX23,PPI
CIT,DDX23,PPI
SF3B2,DDX23,PPI
HNRNPC,DDX23,PPI
HNRNPR,DDX23,PPI
SRSF10,DDX23,PPI
CHD4,DDX23,PPI
EEF1G,DDX23,PPI
NOP2,DDX23,PPI
PABPC1,DDX23,PPI
RPF1,DDX23,PPI
TFIP11,DDX23,PPI
EIF4E,DDX23,PPI
UBR5,DDX23,PPI
YBX1,DDX23,PPI
KPNA2,DDX23,PPI
IPO7,DDX23,PPI
DHX36,DDX23,PPI
CWC22,DDX23,PPI
DDX59,DDX23,PPI
RPL26L1,DDX23,PPI
RPL30,DDX23,PPI
ALYREF,DDX23,PPI
DHX9,DDX23,PPI
TOP1,DDX23,PPI
PRPF18,DDX23,PPI
MRTO4,DDX23,PPI
BCAS2,DDX23,PPI
RSL1D1,DDX23,PPI
PES1,DDX23,PPI
RRP12,DDX23,PPI
BCL2,RAD9A,PPI
TOP3A,RAD9A,PPI
RFC4,RAD9A,PPI
HDAC1,RAD9A,PPI
RFC5,RAD9A,PPI
KAT5,RAD9A,PPI
CSNK2B,RAD9A,PPI
ATR,RAD9A,PPI
RAD51,RAD9A,PPI
POLR1B,RAD9A,PPI
RAD17,RAD9A,PPI
KIF20A,RAB6A,PPI
MTOR,RAB6A,PPI
COG4,RAB6A,PPI
ZNF131,RAB6A,PPI
CIT,RAB6A,PPI
ATL2,RAB6A,PPI
USP9X,RAB6A,PPI
GBF1,RAB6A,PPI
NRAS,RAB6A,PPI
MLST8,RAB6A,PPI
PPP1CA,PPP1R8,PPI
PPIL1,PPP1R8,PPI
DNAJA1,PPP1R8,PPI
HMGA1,PPP1R8,PPI
SUZ12,PPP1R8,PPI
PPP6C,PPP1R8,PPI
CSNK2B,PPP1R8,PPI
RBBP4,PPP1R8,PPI
HNRNPH1,PPP1R8,PPI
PPP1CB,PPP1R8,PPI
PPP1R10,PPP1R8,PPI
RNF4,PPP1R8,PPI
PPP2CA,PPP1R8,PPI
DDX20,RBM14,PPI
XRCC5,RBM14,PPI
SRRM1,RBM14,PPI
POU5F1B,RBM14,PPI
HNRNPH1,RBM14,PPI
POT1,RBM14,PPI
KIF20A,RBM14,PPI
EIF4E,RBM14,PPI
ILF2,RBM14,PPI
DDX6,RBM14,PPI
RBMX,RBM14,PPI
HNRNPR,RBM14,PPI
KIF14,RBM14,PPI
YBX1,RBM14,PPI
CHD4,RBM14,PPI
NCBP1,RBM14,PPI
PLRG1,RBM14,PPI
CIT,RBM14,PPI
TOP1,RBM14,PPI
RCC1,RBM14,PPI
HNRNPM,RBM14,PPI
CBFB,RBM14,PPI
RUNX2,RBM14,PPI
RPL28,SRP68,PPI
KPNA2,SRP68,PPI
DDX27,SRP68,PPI
KIF14,SRP68,PPI
RPL36A,SRP68,PPI
CHD4,SRP68,PPI
RPS21,SRP68,PPI
RPS25,SRP68,PPI
RPL9,SRP68,PPI
POU5F1B,SRP68,PPI
HNRNPC,SRP68,PPI
CIT,SRP68,PPI
TRA2B,SRP68,PPI
RPL10,SRP68,PPI
SRP19,SRP68,PPI
RPL26L1,SRP68,PPI
SRSF10,SRP68,PPI
PCID2,SRP68,PPI
NOP2,SRP68,PPI
RPL30,SRP68,PPI
IRF4,CFLAR,PPI
MYC,CFLAR,PPI
PRMT5,CFLAR,PPI
HSPA8,CFLAR,PPI
PRMT1,CFLAR,PPI
SRSF10,PABPC1,PPI
HSPA8,PABPC1,PPI
DDX46,PABPC1,PPI
PCBP2,PABPC1,PPI
LARP1,PABPC1,PPI
HNRNPC,PABPC1,PPI
PRMT5,PABPC1,PPI
TRA2B,PABPC1,PPI
RPS21,PABPC1,PPI
CARM1,PABPC1,PPI
SMG7,PABPC1,PPI
DDX51,PABPC1,PPI
CSTF2,PABPC1,PPI
ALYREF,PABPC1,PPI
NCBP1,PABPC1,PPI
ATL2,PABPC1,PPI
UBR5,PABPC1,PPI
PRMT1,PABPC1,PPI
CNOT1,PABPC1,PPI
TPT1,PABPC1,PPI
PLRG1,PABPC1,PPI
GSPT1,PABPC1,PPI
PPP2CA,PABPC1,PPI
DDX21,PABPC1,PPI
SERBP1,PABPC1,PPI
RBMX,PABPC1,PPI
CTR9,PABPC1,PPI
UPF1,PABPC1,PPI
HNRNPR,PABPC1,PPI
DDX20,PABPC1,PPI
DHX9,PABPC1,PPI
DDX24,PABPC1,PPI
KIF14,PABPC1,PPI
KIF20A,PABPC1,PPI
DDX6,PABPC1,PPI
IPO7,PABPC1,PPI
SENP6,PABPC1,PPI
TFIP11,PABPC1,PPI
SMG1,PABPC1,PPI
DDX27,PABPC1,PPI
PPP1CA,PABPC1,PPI
NFKB2,PABPC1,PPI
PPP1CB,PABPC1,PPI
PPP2R1A,PABPC1,PPI
DDX42,PABPC1,PPI
EIF4E,PABPC1,PPI
PPIL1,PABPC1,PPI
CHD4,PABPC1,PPI
CIT,PABPC1,PPI
EEF1G,PABPC1,PPI
YBX1,PABPC1,PPI
DDX3X,PABPC1,PPI
ILF3,PABPC1,PPI
DDX59,PABPC1,PPI
RPL30,ABCF1,PPI
SDAD1,ABCF1,PPI
DHX9,ABCF1,PPI
RPL9,ABCF1,PPI
GNL3,ABCF1,PPI
EEF1G,ABCF1,PPI
GSPT1,ABCF1,PPI
CHD4,ABCF1,PPI
RPS21,ABCF1,PPI
MRTO4,ABCF1,PPI
CIT,ABCF1,PPI
RFC4,ABCF1,PPI
RPL10,ABCF1,PPI
KIF20A,ABCF1,PPI
RPS25,ABCF1,PPI
KIF14,ABCF1,PPI
ILF2,ABCF1,PPI
RPL26L1,ABCF1,PPI
RPL36A,ABCF1,PPI
GNL3L,ABCF1,PPI
HNRNPM,ABCF1,PPI
CDC42,COG4,PPI
GBF1,COG4,PPI
COPG1,COG4,PPI
NCBP1,NUP98,PPI
RCC1,NUP98,PPI
HDAC1,NUP98,PPI
KIF14,NUP98,PPI
CLTC,NUP98,PPI
DDX3X,NUP98,PPI
DHX9,NUP98,PPI
CIT,NUP98,PPI
HSPA8,NUP98,PPI
PCID2,NUP98,PPI
SMC3,NUP98,PPI
SEC13,NUP98,PPI
EIF5A,NUP98,PPI
WTAP,NUP98,PPI
KIF20A,NUP98,PPI
SRRM1,NUP98,PPI
KPNA2,NUP98,PPI
TOP1,NUP98,PPI
ALYREF,NUP98,PPI
RBPJ,NUP98,PPI
NUP62,NUP98,PPI
MEN1,NUP98,PPI
UPF1,NUP98,PPI
GSPT1,NUP98,PPI
UBE2L3,UBE2N,PPI
RNF40,UBE2N,PPI
CUL1,UBE2N,PPI
NAE1,UBE2N,PPI
ARIH1,UBE2N,PPI
RTF1,UBE2N,PPI
GTF2F2,UBE2N,PPI
UBR5,UBE2N,PPI
RNF4,UBE2N,PPI
PAXIP1,UBE2N,PPI
KIF20A,UBE2N,PPI
HNRNPH1,UBE2N,PPI
PPIA,UBE2N,PPI
ACTR2,UBE2N,PPI
HUWE1,UBE2N,PPI
IPO13,UBE2N,PPI
SUMO2,UBE2N,PPI
TPT1,UBE2N,PPI
HMGB1,UBE2N,PPI
RNF20,UBE2N,PPI
KAT5,UBE2N,PPI
KANSL3,UBE2N,PPI
DDX3X,USP9X,PPI
HUWE1,USP9X,PPI
USP7,USP9X,PPI
KIF14,USP9X,PPI
MTOR,USP9X,PPI
NFKB2,USP9X,PPI
UBE2L3,USP9X,PPI
GRB2,USP9X,PPI
DDX20,USP9X,PPI
UBR5,USP9X,PPI
IRS2,USP9X,PPI
TPT1,USP9X,PPI
DNAJC9,SUZ12,PPI
TFDP1,SUZ12,PPI
MYC,SUZ12,PPI
UXT,SUZ12,PPI
HDAC1,SUZ12,PPI
KDM5C,SUZ12,PPI
KIF14,SUZ12,PPI
GTF3C2,SUZ12,PPI
RELA,SUZ12,PPI
CBX1,SUZ12,PPI
CIT,SUZ12,PPI
GTF3C1,SUZ12,PPI
USP7,SUZ12,PPI
RBBP4,SUZ12,PPI
WDR73,SUZ12,PPI
NRAS,RABGGTB,PPI
RNF4,RABGGTB,PPI
CIT,RBBP6,PPI
HNRNPM,RBBP6,PPI
PPP1CA,RBBP6,PPI
GRB2,RBBP6,PPI
RNF4,RBBP6,PPI
PPP6C,RBBP6,PPI
KIF20A,RBBP6,PPI
DDX27,RBBP6,PPI
PPP2CA,RBBP6,PPI
YBX1,RBBP6,PPI
SREBF2,RBBP6,PPI
CSTF2,RBBP6,PPI
TAF5,RBBP6,PPI
PPP1CB,RBBP6,PPI
DDX24,RBBP6,PPI
HNRNPC,RBBP6,PPI
RBBP4,RBBP6,PPI
POLR1B,MAF1,PPI
KAT5,MAF1,PPI
BDP1,MAF1,PPI
MTOR,MAF1,PPI
POLR3F,MAF1,PPI
POLR3C,MAF1,PPI
RAD51,SF3B2,PPI
PRPF40A,SF3B2,PPI
RNF113A,SF3B2,PPI
HNRNPC,SF3B2,PPI
COPG1,SF3B2,PPI
PLRG1,SF3B2,PPI
TRA2B,SF3B2,PPI
PCBP2,SF3B2,PPI
PPIA,SF3B2,PPI
KIF14,SF3B2,PPI
PPIL2,SF3B2,PPI
RBMX2,SF3B2,PPI
KIF20A,SF3B2,PPI
SRRM1,SF3B2,PPI
PPIL1,SF3B2,PPI
DHX9,SF3B2,PPI
BCAS2,SF3B2,PPI
PPP4R2,SF3B2,PPI
PPP1CB,SF3B2,PPI
DDX46,SF3B2,PPI
PPIAL4G,SF3B2,PPI
CWC22,SF3B2,PPI
