CTRL KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.8205327466667	94.95747591	0.0963883621938411	0.0202609705987674
AACS	19.8569772866667	20.8714581533333	0.071885369339199	0.406937296288333
AAED1	36.1571269	4.23181200933333	-3.09493259873152	0.00464684923907327
AAGAB	47.99331283	44.4561567066667	-0.110450170401163	0.113287885524875
AAK1	3.12431085633333	5.89608099833333	0.916218340856415	0.000101049067089708
AAMDC	45.92878887	27.35954837	-0.747354325033895	0.0241926568010581
AAMP	211.3309447	189.031290233333	-0.16087897059181	0.00274593420050389
AAR2	38.7926999633333	39.7137803033333	0.0338545050526754	0.627272909233178
AARS	163.7371283	203.974194433333	0.317005144802185	0.00946695374841819
AARS2	33.3579259833333	29.73413848	-0.165909317017753	0.0585168552193351
AASDH	8.517299501	7.072427097	-0.268190681068599	0.0456603249430701
AASDHPPT	89.6434874766667	55.2098874566667	-0.699272116077726	6.6288012587533e-05
AASS	3.51235252966667	23.5485684733333	2.7451298020729	0.00367613520002591
AATF	167.3355416	125.574995566667	-0.414194678229123	0.00025576755256831
ABAT	1.600523034	0.946831094666667	-0.757364448458183	0.0257023631033424
ABCA1	0.0330799386666667	0.972849956333333	4.87818884906649	0.00392309866254276
ABCA11P	9.604324995	3.042639005	-1.65836104795409	0.000347983250744951
ABCA2	38.58922547	0.952616139	-5.34015928668967	0.00211093802205935
ABCA3	51.71719839	0.323670225	-7.31997565818956	0.000705783493452708
ABCA7	12.6495190233333	61.61599865	2.28422246672607	0.000901401346342063
ABCB10	89.36046376	74.67571458	-0.258997535184793	0.00125133837521159
ABCB6	3.65873902533333	32.6457297133333	3.15747587136945	2.95822072283545e-07
ABCB7	44.5188693766667	29.21095688	-0.60790733561813	0.000334613855647663
ABCB8	38.6164394166667	47.8208365633333	0.308424219920478	0.00176083531972409
ABCB9	8.852328738	3.93043288833333	-1.17136881155487	0.00207380127693926
ABCC1	56.5553501366667	15.9701290666667	-1.82428753733192	1.66145741494031e-05
ABCC10	12.21438896	17.50209759	0.518946143623521	0.00969346552328231
ABCC2	0.194538177666667	1.41896053766667	2.86670925388061	0.0256875249693408
ABCC5	18.24373319	17.7928067733333	-0.0361068661115403	0.708244238247875
ABCD1	40.4703683033333	4.671469508	-3.1149176222039	0.00200453721511569
ABCD2	1.416251724	1.787824833	0.336127679239163	0.069201400545978
ABCD3	36.3136808466667	15.4518167833333	-1.23273669644247	0.00115499158435421
ABCD4	28.33653671	6.90890099233333	-2.03613530027746	0.000172927149276598
ABCE1	97.2393873066667	117.447123433333	0.272398670395384	0.0123470730410708
ABCF1	26.43444737	15.8953379166667	-0.733815479673569	0.000106375899871608
ABCF2	127.726140266667	86.5718195733333	-0.561084427767446	4.85721753968576e-06
ABCF3	66.8923082133333	78.6475457166667	0.233561417106141	0.0181682226887533
ABCG2	1.82740262166667	14.30656873	2.96881126409206	0.00139387646504069
ABHD1	11.84182812	1.40814859466667	-3.07202033151428	0.000996866039694112
ABHD10	15.8520626666667	27.77124578	0.808921320210912	0.000324630447669054
ABHD11	25.9721075466667	35.84694049	0.46488690274364	0.0116614912467667
ABHD12	56.6350454566667	303.3327707	2.42113440232542	1.17144886011388e-05
ABHD13	17.18566991	10.0378763103333	-0.77575201610904	0.00209628468431388
ABHD14A	45.5832528066667	18.31002975	-1.31586974332632	2.90841560931833e-05
ABHD14B	83.38047477	53.9047367666667	-0.629297534527311	0.000127028835206543
ABHD15	54.94406649	17.7290554866667	-1.63184801144012	3.1284074869613e-05
ABHD16A	3.665506334	4.900759433	0.418992831385367	0.00498043351987244
ABHD16B	36.6523415366667	8.74352183266667	-2.06761895804036	2.41790232492236e-05
