siIRF4 KMS12BM	siIRF4 MM1R	LOG2_FOLD_CHANGE	P_VALUE
AAAS	91.8672052633333	97.6448184166667	0.0879935482007688	0.00161233806172328
AACS	22.9685070933333	18.9715002766667	-0.275823315116057	0.0245371585973459
AAED1	34.4322687966667	3.92929262133333	-3.13141972855106	0.00275405652810408
AAGAB	47.6976030966667	49.36294734	0.0495117671876063	0.100045780758864
AAK1	3.387100254	5.21116648133333	0.621555655876762	0.005613437923076
AAMDC	48.0783607	25.8010105366667	-0.897960134003007	0.010200153675745
AAMP	191.950389	181.9801092	-0.0769527143957754	0.30850328252182
AAR2	39.8111017266667	40.97518598	0.0415797005926857	0.545019212786032
AARS	141.9750372	140.2814876	-0.0173126550853217	0.679095599268919
AARS2	33.33875706	23.8933247233333	-0.480592701780607	0.0117836127013531
AASDH	9.14086035133333	7.952069535	-0.200999588008502	0.0609036392418128
AASDHPPT	92.34137944	56.8417842266667	-0.700025443670411	0.00412662205213214
AASS	4.60447519866667	24.0463149333333	2.38470718211859	0.000995003219845644
AATF	152.606361066667	109.025787133333	-0.485145692773002	0.00310024903074251
ABAT	3.535179651	2.184106072	-0.694740608841516	0.0780871852938947
ABCA1	0.0758069393333333	2.81874016633333	5.21657676695799	0.0006373697122442
ABCA11P	9.591519331	4.05071574266667	-1.24358251336709	0.00923514098710552
ABCA2	50.11076114	0.783489164	-5.99906331929543	0.00443709144010025
ABCA3	51.7923641066667	0.479173276	-6.75604815304982	0.000860556183640892
ABCA7	12.6417585933333	67.55471202	2.41785923213526	0.00048765347378741
ABCB10	83.3866155166667	59.22592972	-0.493586892722246	0.0165429736894366
ABCB6	4.01687403766667	20.2727519733333	2.3353968174524	0.000182413614274415
ABCB7	48.0079622166667	29.6771169933333	-0.693922752508079	0.000511573306205774
ABCB8	37.90462051	46.4346911366667	0.29282931753636	0.00219549151875458
ABCB9	9.767991988	3.125837036	-1.64381945089317	0.000360358876344936
ABCC1	48.2660667766667	16.7685703	-1.52524957674919	0.000105870878862483
ABCC10	14.1431015633333	22.0038112366667	0.637654895806919	0.0023075577767593
ABCC2	0.143266941	1.61712149833333	3.49665042643572	0.00804946097994815
ABCC5	17.21773695	24.0729794733333	0.483519181377218	0.0148872846530269
ABCD1	47.86544355	7.08776064333333	-2.7555826888725	0.00178811313077788
ABCD2	0.964514822666667	2.58290943333333	1.42112174304714	0.0108786214202965
ABCD3	37.2937276733333	14.9448258	-1.31928692732066	0.00121526925882361
ABCD4	29.7786709833333	9.27733008566667	-1.68249778982701	0.00178268196513612
ABCE1	91.36408835	107.151915533333	0.229958526201224	0.00281244678734761
ABCF1	25.1338990466667	14.1473392433333	-0.829103751167345	3.99057853176613e-06
ABCF2	101.710460313333	75.6877929066667	-0.426335516330227	0.0172755021178431
ABCF3	68.46466417	78.3428270666667	0.19444161048314	0.00116035569495666
ABCG2	1.63268761466667	27.75979512	4.08767623146992	0.000557176714444315
ABHD1	12.7225415333333	1.91317194766667	-2.73334845321893	0.00127433788333222
ABHD10	17.0384471533333	24.6570625033333	0.533207078322985	0.000116291379782412
ABHD11	27.60744731	25.4136151833333	-0.119455878158401	0.255748864807111
ABHD12	61.1463087966667	259.809083666667	2.08711455670423	0.00347766468335179
ABHD13	17.41519219	10.0738454916667	-0.789731885419577	0.00352864792152086
ABHD14A	37.6959880166667	15.65439109	-1.26784359270383	0.00114788798104252
ABHD14B	90.1236557533333	63.9371027	-0.495252465784351	0.00239941254990296
ABHD15	60.1484455166667	18.7771202566667	-1.67955163092883	0.000263094531957032
ABHD16A	3.84814107366667	5.28634280133333	0.458108292291529	0.00428481710002685
ABHD16B	35.9127867033333	7.844522558	-2.19474005722429	0.0018587672255512
ABHD17A	111.876264133333	185.066531166667	0.726140026858396	0.00575601661960495
ABHD17B	34.2393449766667	26.3023009766667	-0.380466087389013	0.0181316773708463
ABHD17C	25.76037189	6.64659941033333	-1.95446511050248	2.75129967962898e-05
ABHD2	94.58664109	149.916136066667	0.664447330063366	5.79037100880008e-05
ABHD3	71.3370248133333	69.07647131	-0.0464566615488313	0.527566681141438
ABHD4	15.42945388	81.6074769266667	2.40301433971193	0.000114536270130365
ABHD5	7.67683927966667	9.30569867166667	0.277602027342901	0.00353370673929108
ABHD6	15.10119849	6.941835228	-1.12127402524678	0.000559490706078517
ABHD8	11.5246360466667	17.5498696733333	0.606739126608766	0.00117672924725253
ABI1	43.8911538933333	87.6680266433333	0.998120575117665	5.50752844999469e-05
ABI2	18.4197311833333	12.0427769033333	-0.613083910316921	0.0065599142523537
ABL1	46.4406773433333	14.63894878	-1.66557705655458	0.000145955301207619
ABL2	8.21872706366667	11.73026812	0.513249121355725	0.00480329939865
ABLIM1	18.2904954866667	34.1735097566667	0.90178426795063	0.00457885655663933
ABR	26.1318653666667	120.510403233333	2.20527567743873	6.72761714494745e-06
ABRACL	105.427570333333	92.7058500833333	-0.185519908826912	0.00211862863421069
ABT1	125.436596866667	70.98308137	-0.821411216188361	8.24337242428356e-05
ABTB1	31.77935632	48.6085846833333	0.613121224677659	0.00239432539602075
ABTB2	0.335656391	0.877369466333333	1.38619938742644	0.0234011116193607
ACAA1	118.0211366	46.92185648	-1.33071325700794	2.50316426517622e-05
ACAA2	172.876921566667	72.6674422133333	-1.25036425575811	0.000251400357312384
ACACA	22.8072783166667	13.6470344	-0.740906817317124	0.0052005926723592
ACACB	2.61769966166667	7.77912208933333	1.57130776839211	0.00262276130664739
ACAD10	12.4291451666667	5.083455474	-1.28984567011875	3.12693969368008e-05
ACAD11	4.016365857	3.12225495633333	-0.363302343239512	0.0704533588661767
ACAD8	52.2209907233333	39.2778465933333	-0.410913992241326	0.0057458173864849
ACAD9	70.7491050566667	79.86857211	0.174916022781361	0.0345660146251546
ACADM	108.919941166667	63.6325801866667	-0.775430581642678	0.000306668247096723
ACADS	26.98328634	4.72886056866667	-2.51250155784785	0.00145032444205121
ACADSB	16.0164709266667	12.4405241633333	-0.364509026365927	0.00109442061037773
ACADVL	164.0550469	219.045943233333	0.41705351913782	0.000314210730999075
ACAP1	108.364355433333	68.3269533233333	-0.665363581268858	0.0242136966293955
ACAP2	45.1981185433333	34.8774921233333	-0.373966412577619	0.00203183598699414
ACAP3	76.24411866	29.6733774666667	-1.36145690904743	0.00427114359743993
ACAT1	256.632069066667	92.9046822933333	-1.46587824889363	0.00113503555011547
ACAT2	150.765880233333	57.2554548966667	-1.39682491510478	0.000997065097807356
ACBD3	41.4781554833333	75.8883969866667	0.871527581045302	2.38830223280657e-06
ACBD4	32.0041700433333	15.78140964	-1.02003381931983	0.00802013049152555
ACBD5	10.1954339133333	18.85830252	0.887276644347121	0.0016226838852812
ACBD6	91.8944848333333	122.337203066667	0.412813013949942	0.0027453397315892
ACCS	2.03249685866667	15.28059001	2.91037522174723	3.51373568209414e-05
ACD	28.7443494566667	36.7125187433333	0.352993717123041	0.0208176059928989
ACER2	1.442080825	0.551806214	-1.38591841789772	0.0434571829334041
ACER3	5.25389182966667	7.523221924	0.517964150687533	0.00812573037609793
ACIN1	112.160026533333	64.5000274666667	-0.798186915749539	0.00160498004074227
ACKR4	0.577600961666667	1.05159387466667	0.864432594340477	0.0152574831384038
ACLY	185.155639533333	119.916576633333	-0.626707389204363	0.00336420400871713
ACN9	60.8221773033333	20.1994053466667	-1.5902846407916	0.0005842051648343
ACO1	38.5549275266667	19.8660038666667	-0.956613558722198	2.03277314687707e-06
ACO2	92.15611144	146.088245866667	0.664688356676227	2.71280586426126e-05
ACOT11	1.11816117933333	1.10419608733333	-0.018131768885506	0.967107219905455
ACOT13	29.9698206733333	18.93137004	-0.662731630515491	0.000343746284569435
ACOT2	18.5456625466667	1.139081765	-4.02513859457274	0.00200675977365658
ACOT7	109.059125866667	41.7243821033333	-1.38614790711437	0.000597546227282997
ACOT8	66.6060980033333	46.7576177666667	-0.510452838226587	0.000365544926520883
ACOT9	58.7373252433333	25.87756431	-1.18257573825021	0.000102582650678741
ACOX1	5.46092856433333	10.4603957933333	0.937719250508688	0.00025462232666653
ACOX3	5.15787648233333	12.1381525133333	1.23469972312734	3.94732785931382e-05
ACOXL	0.936565156333333	20.5488113266667	4.45553176600462	8.03064589236088e-07
ACP1	163.339366433333	168.656263633333	0.0462133619684255	0.355942373659946
ACP2	35.7927461566667	39.9601219266667	0.158893748006865	0.0321770259397588
ACP5	39.86423451	11.51961546	-1.7910024076099	0.000361972372027711
ACP6	24.01260945	83.5095158766667	1.7981484117479	6.21812594633167e-07
ACPT	2.69548886133333	0.992004041	-1.44212904522109	0.000321132839066214
ACRC	2.49234349266667	5.142117087	1.04485954791885	0.00425104762627982
ACRV1	1.749481319	0.978337859333333	-0.838522582685474	0.0615293891113292
ACSBG2	1.250005331	0.453003972666667	-1.46433864037235	0.0141127791308675
ACSF2	25.30398113	8.14813060566667	-1.63482337467052	0.00691074277007199
ACSF3	9.063202038	14.731405	0.700802282225027	0.000375484025577874
ACSL1	7.35030883233333	5.601966569	-0.391871494012459	0.00468907327512191
ACSL3	48.97212314	34.35357822	-0.511500368139363	0.021092330710222
ACSL4	33.1844984333333	25.6997282466667	-0.368756364605173	0.03347247192038
ACSL5	8.271243075	45.2140451333333	2.45059492434271	0.000309261368881069
ACSM3	8.64711146333333	3.76533658066667	-1.19943945399469	0.0135316125608671
ACSS1	285.765304	253.1854242	-0.174636411542531	0.114246508359952
ACSS2	17.43403984	26.6801787966667	0.613861423238921	0.0148155260046926
ACTA1	0.410571946	0.705707693333333	0.781435684940188	0.131945527134547
ACTA2	1.567829723	0.573700218333333	-1.45039990929129	0.0724216733615825
ACTB	2755.90288166667	4730.96611033333	0.779609778126953	0.00200480324630345
ACTG1	1539.19813433333	2627.72085366667	0.771633068831844	0.00522129778763471
ACTL10	12.4513554066667	4.525535072	-1.46014251411342	0.00282812064485511
ACTL6A	129.448256433333	156.7018079	0.275646291170631	0.00330740516095226
ACTL8	326.502457333333	3.509700066	-6.53960229452382	5.85082941375723e-05
ACTN1	0.978762153	2.01279024366667	1.04016661321602	0.0041537649309354
ACTN4	128.1699848	175.7516626	0.455479889956709	0.00963096550602731
ACTR10	36.6973388566667	24.2753958066667	-0.596180629661761	0.00136994051226786
ACTR1A	60.2602605033333	63.13512779	0.0672360208466272	0.079043352694198
ACTR1B	112.405799833333	106.725018833333	-0.0748180594446741	0.2426365345426
ACTR2	340.977508433333	361.8851364	0.0858552742426051	0.18975667742029
ACTR3	143.143426966667	173.875036433333	0.280589392627037	0.000690388113019995
ACTR3B	31.6799997033333	12.0689092066667	-1.39227703133609	2.90279588701014e-05
ACTR3C	5.895518856	7.27553448266667	0.30343444836009	0.131518265082036
ACTR5	16.32229866	18.60862322	0.189127074387943	0.0109357810661917
ACTR6	49.89768156	22.7332143266667	-1.13417109775925	1.55102664772298e-05
ACTR8	32.9269725366667	26.4606810433333	-0.315419675661009	0.0013077430878618
ACVR1	0.574284412666667	4.60680715033333	3.00392989578779	0.00436344907876857
ACVR1B	9.43565042666667	3.626132071	-1.37969049850936	0.00206832370552198
ACVR1C	1.732424215	1.44874210933333	-0.257991439440516	0.157038470874288
ACVR2A	3.613481698	3.85816911166667	0.0945267939514967	0.644433988550339
ACVR2B	9.68927226333333	1.750109733	-2.46894292974795	0.000119001913564135
ACVR2B-AS1	0.706465419	0.113302092333333	-2.64044443990527	0.000894815124903559
ACY1	3.98303859733333	2.58889332166667	-0.621533941545914	0.083599331778006
ACY3	134.0158945	11.75609848	-3.51092286215719	0.000238835743215141
ACYP1	83.18222109	32.4102977933333	-1.35982293108558	0.000274730869590587
ACYP2	2.093144908	30.5644642866667	3.86811118308738	0.000822862423139759
ADA	43.7083219066667	287.748953133333	2.71883078474446	0.000526448346621152
ADAL	4.781374974	7.939974811	0.731708878657069	0.00112584637361836
ADAM10	91.7766078266667	186.5485153	1.02335248898524	3.15515847825164e-05
ADAM11	4.518164489	1.570644305	-1.5243802960941	0.00108164939937383
ADAM15	135.9538706	148.6024843	0.128341009296956	0.0777666627798138
ADAM17	32.62567942	27.76108051	-0.232944224454141	0.00494234947404716
ADAM19	9.760482453	0.567140014333333	-4.10517560706765	0.000753349612629667
ADAM1A	3.94998429766667	3.90234632933333	-0.0175050967991954	0.928920424506718
ADAM22	13.2084551	4.54932999333333	-1.53773574271167	8.44534329138097e-06
ADAM8	15.16573254	242.125610466667	3.99686859600351	3.39895154107395e-06
ADAM9	31.23472965	48.1684935233333	0.624938761320169	0.000167126950460655
ADAMTS13	4.12499442166667	0.202895475333333	-4.34558357059434	0.0105063989541477
ADAMTS17	0.116309954	0.479139204	2.04247029176383	0.000197631116870345
