CTRL KMS12BM	siIRF4 MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.8205327466667	88.4251762366667	-0.00643603532729079	0.923657981217716
AACS	19.8569772866667	23.1651021833333	0.222307019822304	0.00613817218928611
AAED1	36.1571269	3.74151235266667	-3.27258660025844	0.00477772821263072
AAGAB	47.99331283	60.2291721066667	0.327629026905717	0.00298888318282843
AAK1	3.12431085633333	3.792106215	0.279461371008129	0.0483431309766212
AAMDC	45.92878887	21.7181284633333	-1.08049895478934	0.00653227824822959
AAMP	211.3309447	164.055194866667	-0.365322755192726	0.000497941493337377
AAR2	38.7926999633333	47.6698816033333	0.297292851601792	0.0337361345360791
AARS	163.7371283	105.562467766667	-0.633284515490624	0.00124395829738317
AARS2	33.3579259833333	17.70969249	-0.913490431102008	4.90960417924807e-07
AASDH	8.517299501	10.44569157	0.294440024493294	0.0213050891775544
AASDHPPT	89.6434874766667	68.07560019	-0.397060979452435	0.00103512358211684
AASS	3.51235252966667	10.1116013633333	1.52550193494629	0.00303807557077607
AATF	167.3355416	88.5790465966667	-0.91770652805351	5.16854713772648e-05
ABAT	1.600523034	2.62643517366667	0.71456253632617	0.000905439186302845
ABCA1	0.0330799386666667	1.17504199866667	5.15061195306144	0.00661667177634114
ABCA11P	9.604324995	8.62667673966667	-0.154879326816895	0.360358059857269
ABCA2	38.58922547	1.05324241966667	-5.19528864985442	0.00224792423811649
ABCA3	51.71719839	0.435197704	-6.89282936846541	0.000724883582984593
ABCA7	12.6495190233333	22.9260812333333	0.857907245486525	0.00196480983049312
ABCB10	89.36046376	79.19936542	-0.174147802245279	0.001721159093183
ABCB6	3.65873902533333	21.6309721666667	2.5636800879133	0.00439040129646435
ABCB7	44.5188693766667	31.8415202033333	-0.483507737918068	0.000548395916897037
ABCB8	38.6164394166667	42.17737853	0.127254281006904	0.238220334416537
ABCB9	8.852328738	2.58868731066667	-1.77383631608915	0.00288247900272879
ABCC1	56.5553501366667	21.0648056566667	-1.42482890393997	2.541020543763e-05
ABCC10	12.21438896	16.5653545633333	0.439587390265524	0.022835481479346
ABCC2	0.194538177666667	1.229205512	2.65960092771869	0.0167600859856234
ABCC5	18.24373319	18.3833642866667	0.0109998378510838	0.831519694080114
ABCD1	40.4703683033333	7.13596792966667	-2.5036849417588	0.0020380889320249
ABCD2	1.416251724	3.094046951	1.12741737707201	0.0299195114808636
ABCD3	36.3136808466667	14.56722365	-1.31778723072086	0.000620130864371891
ABCD4	28.33653671	7.90630560766667	-1.84158781612485	0.00112166414225478
ABCE1	97.2393873066667	140.865677533333	0.534707427978193	0.00239558596836909
ABCF1	26.43444737	12.40614604	-1.09136415358932	1.14416172016934e-05
ABCF2	127.726140266667	68.79331659	-0.892713499256012	6.94419043540229e-05
ABCF3	66.8923082133333	73.34897743	0.132936524844451	0.108258058727743
ABCG2	1.82740262166667	16.9865627933333	3.21652751953704	6.45973008736206e-07
ABHD1	11.84182812	0.913257809	-3.69672582388242	0.00362130351248493
ABHD10	15.8520626666667	23.86171415	0.590027109681653	0.0134057376409089
ABHD11	25.9721075466667	24.1694960966667	-0.103775693421903	0.355163557164654
ABHD12	56.6350454566667	136.235876866667	1.26633971180522	0.00217565846577482
ABHD13	17.18566991	14.4631734066667	-0.248821957207017	0.0160808513959711
ABHD14A	45.5832528066667	14.7200823433333	-1.63071813676919	2.25136040820278e-05
ABHD14B	83.38047477	49.1462512766667	-0.762628210434748	2.95077684244031e-05
ABHD15	54.94406649	23.8939309833333	-1.20131946759678	0.00075413824394885
ABHD16A	3.665506334	5.076302848	0.469765643209468	0.0112676704980523
ABHD16B	36.6523415366667	5.43596659533333	-2.75329687223674	6.46324267648224e-07
ABHD17A	109.8037795	129.383842133333	0.236729746754249	0.158648794451015
ABHD17B	31.7468843066667	39.55985191	0.317422015180265	0.000707536269316515
ABHD17C	28.6048493466667	16.6712823033333	-0.778894669920512	0.000436973928910319
ABHD2	78.95659923	180.527640366667	1.19308798592789	0.00486112188478122
ABHD3	78.9352410666667	95.18685708	0.270092844155469	0.0017170860508386
ABHD4	15.5692394166667	68.34340438	2.13410364623654	9.25753763816889e-06
ABHD5	7.940653183	11.6753616633333	0.556137649747431	9.33095115871867e-05
ABHD6	15.6264830366667	9.942226013	-0.652352310707516	0.000170050192877085
ABHD8	9.678977378	17.6057987233333	0.863124145255683	0.00124626098661199
ABI1	37.6460777666667	121.978908533333	1.69606024412966	8.14727466696218e-06
ABI2	16.7862094633333	17.5080187566667	0.0607393462623541	0.39309864802622
ABL1	42.8238235633333	15.0746403933333	-1.50629002685109	1.10382214771328e-05
ABL2	8.78288062566667	11.10961023	0.339042101732105	0.0286183230291258
ABLIM1	14.67982703	65.95776819	2.16770761395317	0.00293579026221807
ABR	24.0192008733333	87.1460955	1.85924787427916	0.00176228058446103
ABRACL	118.715525766667	132.8166261	0.16192713099961	0.0209351660384816
ABT1	135.516212333333	64.0198559866667	-1.0818741204997	1.68737486112117e-05
ABTB1	23.2821345766667	46.3145385766667	0.992241805390154	4.17790524490364e-05
ABTB2	0.515041247666667	0.673802694	0.387638219855885	0.350443809268531
ACAA1	115.014273566667	40.6271038433333	-1.50129848551039	1.0810169321434e-07
ACAA2	140.0604109	103.1057971	-0.441923774893045	0.00131545412224477
ACACA	25.4430267633333	10.5586621866667	-1.2688432546843	0.000219712723482734
ACACB	2.16212126566667	5.51729508566667	1.35151370232607	0.00915709598946091
ACAD10	11.2237823733333	5.48653485133333	-1.03259176644702	0.00240154559363817
ACAD11	4.30541921566667	1.36799528733333	-1.65409045844231	0.00397811089304382
ACAD8	47.6777142033333	35.2962606766667	-0.433799719865938	0.00869722968835675
ACAD9	66.7227910133333	64.2353215333333	-0.0548128174307351	0.324503256262556
ACADM	95.5023533666667	82.8349304833333	-0.205297021448433	0.0162387027706977
ACADS	22.1983305033333	6.16698864033333	-1.84781308417649	0.00521601777131195
ACADSB	14.1657028633333	14.8535398033333	0.0684046000563076	0.179335229154196
ACADVL	156.1941832	226.002176133333	0.53299593682322	0.000856557264175486
ACAP1	88.5421951833333	94.48210097	0.0936759039549137	0.0318671735546831
ACAP2	43.0808565766667	49.5838819533333	0.202824290076661	0.029644616364046
ACAP3	73.03620799	22.47001773	-1.70061060025215	0.000933736248250792
