CTRL KMS12BM	CTRL KMS12PE	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.8205327466667	68.5372160533333	-0.374005633121423	0.000136118877830491
AACS	19.8569772866667	31.1574468166667	0.649930990810326	0.00517908672032532
AAED1	36.1571269	56.2239651833333	0.636905159493746	0.00351934735339332
AAGAB	47.99331283	93.9941821266667	0.969738061087187	3.44242518739887e-05
AAK1	3.12431085633333	2.50623991533333	-0.318013476531832	0.102384819644678
AAMDC	45.92878887	65.2645465133333	0.506900752582863	0.0249387745466709
AAMP	211.3309447	181.678880433333	-0.218113312418612	0.00295877905607521
AAR2	38.7926999633333	53.5248244633333	0.464422968626728	0.00186105367010977
AARS	163.7371283	129.8887585	-0.334104922927415	0.00685380810425418
AARS2	33.3579259833333	25.4616042033333	-0.389706273723915	0.0122063319216397
AASDH	8.517299501	12.6508446933333	0.570765729983804	0.00138382479222251
AASDHPPT	89.6434874766667	162.255941666667	0.856000627944497	9.20663879806941e-05
AASS	3.51235252966667	7.872664695	1.1644143803231	0.000130091975869931
AATF	167.3355416	120.979132166667	-0.467985685516593	7.63606527793325e-05
ABAT	1.600523034	16.8208976466667	3.39363935226546	0.00252752836424016
ABCA1	0.0330799386666667	6.68441051333333	7.65869996729002	0.00710328206026896
ABCA11P	9.604324995	9.250975854	-0.0540786642349671	0.528729704084918
ABCA2	38.58922547	11.1842906603333	-1.78672432816886	0.000895697424031797
ABCA3	51.71719839	21.4440549866667	-1.2700663844172	0.000137351287750771
ABCA7	12.6495190233333	7.24855836733333	-0.803316532169866	0.00503763379467568
ABCB10	89.36046376	95.63564426	0.0979117506882185	0.0762990085435422
ABCB6	3.65873902533333	2.49338261866667	-0.553242226527694	0.0466205121983039
ABCB7	44.5188693766667	53.0408720666667	0.252687541839781	0.00583431355639184
ABCB8	38.6164394166667	14.8088868733333	-1.38275194551906	2.25957827670192e-05
ABCB9	8.852328738	25.6287534133333	1.533634374588	0.0012866636387236
ABCC1	56.5553501366667	51.4392993833333	-0.136792516718555	0.190235525044876
ABCC10	12.21438896	9.147497647	-0.417132648222216	0.0206427521594844
ABCC2	0.194538177666667	0.184007439333333	-0.0802892136195088	0.835464920688662
ABCC5	18.24373319	10.3346811576667	-0.819907096535014	0.000306458817800119
ABCD1	40.4703683033333	16.8114548333333	-1.26742140017764	0.000654196223033225
ABCD2	1.416251724	12.83199374	3.17959572574789	0.0019524840987
ABCD3	36.3136808466667	26.9457779266667	-0.430453934728526	0.00636551309002698
ABCD4	28.33653671	13.67699478	-1.0509121785061	0.00136508367928354
ABCE1	97.2393873066667	140.861298333333	0.53466257710721	0.000119620222322691
ABCF1	26.43444737	31.5198062466667	0.253839500006915	0.000578613868820208
ABCF2	127.726140266667	124.381473566667	-0.0382822011446806	0.264574183187731
ABCF3	66.8923082133333	68.6876268966667	0.0382099130165253	0.503058166165775
ABCG2	1.82740262166667	21.55256811	3.55999334956452	9.09430208535651e-05
ABHD1	11.84182812	5.379452806	-1.1383604833358	0.011680727841294
ABHD10	15.8520626666667	21.02579899	0.407490048876526	0.0034276901102829
ABHD11	25.9721075466667	43.8849773333333	0.756764073701371	0.00067242367301102
ABHD12	56.6350454566667	45.8558127	-0.304590439212129	0.00159093424853597
ABHD13	17.18566991	24.9565026266667	0.538209680755468	0.00337960604818374
ABHD14A	45.5832528066667	42.8201581	-0.090213756111546	0.157547450374409
ABHD14B	83.38047477	44.5619923366667	-0.903895850858945	0.00015841594823899
ABHD15	54.94406649	19.3189233533333	-1.50794899552614	8.30747800485286e-05
ABHD16A	3.665506334	4.59035059066667	0.324591845989004	0.0137095823845639
ABHD16B	36.6523415366667	9.993668256	-1.87481913483221	1.29830894410272e-06
ABHD17A	109.8037795	56.1185882566667	-0.968377091999144	0.00238475587135605
