FEATURE_ID,GENE_SYMBOL,MS9_S9_L002_R1_001.fastq.gz,MS6_S6_L002_R1_001.fastq.gz,MS5_S5_L002_R1_001.fastq.gz,MS4_S4_L002_R1_001.fastq.gz,MS3_S3_L002_R1_001.fastq.gz,MS10_S10_L002_R1_001.fastq.gz
DDX11L1,DDX11L1,0.03252349743563996,0,0,0.11351840014948224,0,0
WASH7P,WASH7P,16.70483310911389,33.79212527456567,12.977339253838485,20.44233873971311,30.403518734175293,40.101359171585244
MIR6859-2,MIR6859-2,0,0,0,0,0,0
MIR6859-1,MIR6859-1,0,0,0,0,0,0
FAM138A,FAM138A,0,0,0,0,0,0
FAM138F,FAM138F,0,0,0,0,0,0
OR4F5,OR4F5,0,0,0,0,0,0
LOC729737,LOC729737,0.6085470773379591,26.658623534186493,10.047807470853893,2.974801451146577,1.8168262769979917,1.020841765411882
LOC100132287,LOC100132287,0,0,0,0,0,0
LOC100133331,LOC100133331,0.8131204186093596,1.0572331241979902,0.7431033264229472,1.0533062319510114,0.7333673847994333,1.615206797476077
LOC100132062,LOC100132062,0,0,0,0,0,0
OR4F16,OR4F16,0,0,0,0,0,0
OR4F29,OR4F29,0,0,0,0,0,0
OR4F3,OR4F3,0,0,0,0,0,0
MIR6723,MIR6723,0.6036945816143507,0,0,0,0.5559453876844432,1.3218421818721802
LOC100288069,LOC100288069,1.5283908773037285,6.768276117591203,5.936497016009554,4.422718821676059,1.3353232397117956,7.293753541840295
FAM87B,FAM87B,0,0,0,0,0,0
LINC00115,LINC00115,3.2637095072848727,0.3522895427948952,1.939881094846069,0.023732269937603728,3.1934144706399494,4.3323703705780305
LINC01128,LINC01128,10.171988893199153,1.7455529444622482,2.221551193505744,4.221323858578648,6.211017295032818,7.230904798105615
FAM41C,FAM41C,0,0,0,0,0,0
LOC100130417,LOC100130417,0,0,0,0,0,0
SAMD11,SAMD11,0,0.16253988735183011,1.557644875312886,0,1.3367504407870658,0
NOC2L,NOC2L,71.42094989871663,72.28963538794754,104.48706321290194,58.89410278688572,95.93651727384179,70.01916059000321
KLHL17,KLHL17,21.667549753370608,4.714320496164178,11.729298435344958,14.810963495322268,11.71366524137156,33.33398311879187
PLEKHN1,PLEKHN1,39.237917406232256,0,0.8240399196878666,10.675078978041732,25.694216532205683,10.552218386608109
PERM1,PERM1,0.3733328391222505,0,0,0,0,0
HES4,HES4,0,0,0,0.27047941881770865,2.6642613579031402,0
ISG15,ISG15,258.55985125012836,27.462464878125243,54.36260863785874,115.1193618508897,78.97346140039359,184.8564535379911
AGRN,AGRN,0,5.229834615096311,9.430756795405664,0.5972912818858006,1.3035044941653948,0
RNF223,RNF223,0,0,1.0734552108875097,0,0,0
C1orf159,C1orf159,12.793791682320478,13.010434574045505,11.795762583516739,12.938903503476615,13.992437264652896,18.004445460120223
LINC01342,LINC01342,0,0,0,0,0,0
MIR200B,MIR200B,0,0,0,0,0,0
MIR200A,MIR200A,0,0,0,0,0,0
MIR429,MIR429,0,0,0,0,0,0
TTLL10,TTLL10,0,0,0,0.059933651980487265,0,0
TNFRSF18,TNFRSF18,0,6.532143431725505,18.157494892162227,5.756202742690941,6.555985984268798,0
TNFRSF4,TNFRSF4,1.7520266662068658,0.5087339121281546,0,0.8776425586436117,2.913173974415312,2.7706003703371604
SDF4,SDF4,267.5886115751333,139.42259753822373,140.62966179976817,251.85595075808874,235.84747927240522,318.54109017135954
B3GALT6,B3GALT6,17.184754392178995,11.457445700078209,8.889070370959608,11.508076896147273,9.250756024729178,22.142513583478127
FAM132A,FAM132A,0,2.6924364285210096,0.8048341082588998,3.8057869007609413,1.3282990470849787,5.808881726376931
UBE2J2,UBE2J2,62.43742794695687,55.67223207124878,55.53247654780882,53.89215787110255,39.632039520575695,60.752940641717835
SCNN1D,SCNN1D,1.0027971881236417,0.007995817872348205,2.1391776075512063,0.5424152501357818,1.9441705109593497,1.733457085264598
ACAP3,ACAP3,46.73935463879343,12.342786056421307,36.584861393248374,29.80862123850743,49.9793276659662,57.36668476299065
MIR6726,MIR6726,0,0,0,0,0,0
PUSL1,PUSL1,17.07189854749099,13.745662090275557,16.247264030594177,22.735782545207538,19.67194820599219,31.118723365494102
CPSF3L,CPSF3L,85.89662269331889,62.59458958688415,48.797501807975,80.55784977748807,91.29832854069755,94.66557059026366
MIR6727,MIR6727,0,0,0,0.9617046002407418,0,0
GLTPD1,GLTPD1,40.400738938578996,16.825104048714454,16.958928060377865,23.815673769983622,11.732399699970832,57.34673370975883
TAS1R3,TAS1R3,1.3857373866364582,0.8683664432105429,0.9270558874800299,2.0275093076587742,6.129303330496756,0
DVL1,DVL1,69.84378807104552,26.84945872763913,35.67366270600584,57.91441673508586,41.373630672733675,100.22267095720947
MIR6808,MIR6808,0,0,0,0,0,0
MXRA8,MXRA8,0,0,0.023448427349935966,0,0,0
AURKAIP1,AURKAIP1,178.04990088904717,232.07846735242597,255.64143991733968,146.24910998996685,170.13576826804058,216.2105103970388
CCNL2,CCNL2,195.59006147074786,39.147431814900415,56.32934785504339,185.5697886504192,174.08317465230513,280.24273801630534
LOC148413,LOC148413,28.98528326724692,44.605603151264,34.68095513710596,52.354582241938786,32.75020847026898,37.419930507873545
MRPL20,MRPL20,265.0523943157665,253.58685112924502,271.71450602680324,221.85790400983473,272.1690183898869,194.20079749770136
ANKRD65,ANKRD65,0,0,0.01665030892799969,0,0,0
TMEM88B,TMEM88B,0,0,0,0,0,0
VWA1,VWA1,0.8649197965820545,0,0,0.2280926343133762,0,0
