GENE	TF	ENHANCER_LIST
C16ORF53	0	3_MACS_peak_10047_lociStitched
C16ORF72	0	2_MACS_peak_9797_lociStitched
C16ORF92	0	1_MACS_peak_10061_lociStitched
C17ORF37	0	2_MACS_peak_11405_lociStitched
C17ORF46	0	1_MACS_peak_11610_lociStitched,1_MACS_peak_11603_lociStitched,1_MACS_peak_11606_lociStitched
C17ORF65	0	1_MACS_peak_11575_lociStitched
C17ORF70	0	2_MACS_peak_12371_lociStitched
C17ORF96	0	3_MACS_peak_11365_lociStitched
C19ORF35	0	2_MACS_peak_13078_lociStitched
C19ORF42	0	2_MACS_peak_13629_lociStitched
C19ORF44	0	3_MACS_peak_13613_lociStitched
C1ORF220	0	2_MACS_peak_2226_lociStitched
C1ORF38	0	1_MACS_peak_571_lociStitched,1_MACS_peak_572_lociStitched
C2	0	1_MACS_peak_24178_lociStitched
C20ORF106	0	3_MACS_peak_17684_lociStitched
C20ORF107	0	3_MACS_peak_17684_lociStitched
C20ORF72	0	4_MACS_peak_17157_lociStitched
C21ORF125	0	4_MACS_peak_18104_lociStitched
C2ORF48	0	1_MACS_peak_14791_lociStitched
C2ORF52	0	2_MACS_peak_16873_lociStitched
C2ORF57	0	2_MACS_peak_16879_lociStitched
C2ORF62	0	2_MACS_peak_16776_lociStitched
C3ORF37	0	2_MACS_peak_19978_lociStitched
C3ORF47	0	2_MACS_peak_19978_lociStitched
C3ORF58	0	2_MACS_peak_20127_lociStitched
C4B	0	1_MACS_peak_24178_lociStitched
C5ORF39	0	3_MACS_peak_22211_lociStitched,1_MACS_peak_22214_lociStitched,2_MACS_peak_22206_lociStitched
C5ORF45	0	1_MACS_peak_23559_lociStitched
C6ORF1	0	2_MACS_peak_24246_lociStitched
C6ORF105	0	3_MACS_peak_23799_lociStitched,3_MACS_peak_23792_lociStitched
C6ORF106	0	2_MACS_peak_24255_lociStitched
C6ORF114	0	1_MACS_peak_23825_lociStitched
C6ORF126	0	1_MACS_peak_24296_lociStitched
C6ORF136	0	2_MACS_peak_24100_lociStitched,1_MACS_peak_24105_lociStitched
C6ORF25	0	1_MACS_peak_24153_lociStitched
C6ORF26	0	1_MACS_peak_24153_lociStitched,4_MACS_peak_24156_lociStitched
C6ORF27	0	1_MACS_peak_24153_lociStitched,4_MACS_peak_24156_lociStitched
C6ORF47	0	2_MACS_peak_24147_lociStitched
C6ORF48	0	4_MACS_peak_24156_lociStitched
C6ORF62	0	1_MACS_peak_23908_lociStitched
C6ORF81	0	1_MACS_peak_24296_lociStitched
C7ORF29	0	1_MACS_peak_26810_lociStitched,1_MACS_peak_26809_lociStitched
C7ORF47	0	2_MACS_peak_26288_lociStitched
C7ORF55	0	2_MACS_peak_26687_lociStitched,1_MACS_peak_26686_lociStitched
C7ORF61	0	2_MACS_peak_26288_lociStitched
C7ORF65	0	1_MACS_peak_25877_lociStitched
C8G	0	2_MACS_peak_29407_lociStitched
C8ORF38	0	4_MACS_peak_27614_lociStitched
C8ORF73	0	1_MACS_peak_28069_lociStitched
C9ORF129	0	2_MACS_peak_28807_lociStitched
C9ORF53	0	1_MACS_peak_28312_lociStitched
C9ORF64	0	1_MACS_peak_28656_lociStitched
C9ORF78	0	3_MACS_peak_29267_lociStitched
C9ORF95	0	2_MACS_peak_28612_lociStitched
CABP1	0	2_MACS_peak_6777_lociStitched
CADM1	0	1_MACS_peak_5218_lociStitched
CALM1	0	1_MACS_peak_8225_lociStitched
CALR3	0	3_MACS_peak_13613_lociStitched
CAPN1	0	1_MACS_peak_4660_lociStitched
CAPN14	0	1_MACS_peak_15056_lociStitched
CASP10	0	6_MACS_peak_16622_lociStitched
CBLL1	0	1_MACS_peak_26436_lociStitched
CCDC85B	0	2_MACS_peak_4714_lociStitched
CCDC86	0	1_MACS_peak_4495_lociStitched
CCDC88C	0	6_MACS_peak_8252_lociStitched,1_MACS_peak_8262_lociStitched,1_MACS_peak_8259_lociStitched,2_MACS_peak_8260_lociStitched,1_MACS_peak_8247_lociStitched
CCDC97	0	3_MACS_peak_14135_lociStitched
CCL1	0	2_MACS_peak_11270_lociStitched,1_MACS_peak_11263_lociStitched,5_MACS_peak_11264_lociStitched
CCL13	0	2_MACS_peak_11270_lociStitched,1_MACS_peak_11263_lociStitched,5_MACS_peak_11264_lociStitched
CCL8	0	1_MACS_peak_11263_lociStitched
CCND2	0	6_MACS_peak_5508_lociStitched,2_MACS_peak_5494_lociStitched
CCNE2	0	4_MACS_peak_27607_lociStitched,4_MACS_peak_27603_lociStitched
CCNL1	0	3_MACS_peak_20242_lociStitched
CCR1	0	1_MACS_peak_19284_lociStitched
CCR3	0	1_MACS_peak_19284_lociStitched
CD19	0	1_MACS_peak_10031_lociStitched
CD28	0	4_MACS_peak_16673_lociStitched
CD86	0	3_MACS_peak_19856_lociStitched
CDCA5	0	1_MACS_peak_4660_lociStitched
CDK2	0	1_MACS_peak_6119_lociStitched
CDK6	0	2_MACS_peak_26189_lociStitched,4_MACS_peak_26185_lociStitched
CDK9	0	2_MACS_peak_29166_lociStitched
CDKN1A	0	1_MACS_peak_24328_lociStitched
CDKN1B	0	3_MACS_peak_5693_lociStitched
CDKN2A	0	1_MACS_peak_28312_lociStitched
CDKN2B	0	1_MACS_peak_28312_lociStitched
CDKN2B-AS1	0	1_MACS_peak_28312_lociStitched
CDKN2C	0	2_MACS_peak_975_lociStitched,4_MACS_peak_970_lociStitched
CEACAM21	0	5_MACS_peak_14150_lociStitched
CECR1	0	2_MACS_peak_18201_lociStitched
CEP135	0	2_MACS_peak_21078_lociStitched
CFB	0	1_MACS_peak_24178_lociStitched
CFL1	0	2_MACS_peak_4714_lociStitched
CFLAR	0	6_MACS_peak_16622_lociStitched
CHCHD4	0	1_MACS_peak_19001_lociStitched
CHERP	0	2_MACS_peak_13625_lociStitched
CHMP4B	0	1_MACS_peak_17310_lociStitched
CISD3	0	3_MACS_peak_11365_lociStitched
CKS1B	0	2_MACS_peak_1880_lociStitched,2_MACS_peak_1883_lociStitched
CLIC1	0	1_MACS_peak_24153_lociStitched
CLIC4	0	4_MACS_peak_453_lociStitched
CLINT1	0	1_MACS_peak_23288_lociStitched
CLPTM1L	0	3_MACS_peak_21907_lociStitched
CMBL	0	1_MACS_peak_21971_lociStitched
CNBP	0	2_MACS_peak_19961_lociStitched
CNTF	0	4_MACS_peak_4468_lociStitched
COQ5	0	1_MACS_peak_6773_lociStitched
CORO1A	0	1_MACS_peak_10074_lociStitched
CPEB4	0	8_MACS_peak_23429_lociStitched,4_MACS_peak_23422_lociStitched
CPNE5	0	1_MACS_peak_24328_lociStitched
CPSF2	0	1_MACS_peak_8270_lociStitched
CROCCP3	0	1_MACS_peak_313_lociStitched
CSAD	0	6_MACS_peak_6061_lociStitched
CSNK1E	0	2_MACS_peak_18633_lociStitched
CSNK2B	0	2_MACS_peak_24147_lociStitched
CTDSP1	0	2_MACS_peak_16776_lociStitched
CTDSP2	0	2_MACS_peak_6214_lociStitched
CTSW	0	2_MACS_peak_4714_lociStitched
CUL1	0	1_MACS_peak_26775_lociStitched
CXCR5	0	3_MACS_peak_5270_lociStitched
CXXC5	0	4_MACS_peak_23006_lociStitched
CYP21A2	0	1_MACS_peak_24178_lociStitched
CYS1	0	1_MACS_peak_14791_lociStitched
CYTH1	0	4_MACS_peak_12281_lociStitched
CYTIP	0	2_MACS_peak_16214_lociStitched
DALRD3	0	2_MACS_peak_19360_lociStitched
DBN1	0	2_MACS_peak_23504_lociStitched,1_MACS_peak_23514_lociStitched
DDAH2	0	1_MACS_peak_24153_lociStitched
DDX17	0	1_MACS_peak_18646_lociStitched
DDX41	0	1_MACS_peak_23514_lociStitched
DDX6	0	1_MACS_peak_5265_lociStitched
DEPDC6	0	3_MACS_peak_27824_lociStitched,4_MACS_peak_27835_lociStitched
DERL1	0	5_MACS_peak_27851_lociStitched
DFNB31	0	3_MACS_peak_29017_lociStitched,2_MACS_peak_29024_lociStitched
DGKA	0	1_MACS_peak_6119_lociStitched
DHX16	0	2_MACS_peak_24108_lociStitched,1_MACS_peak_24105_lociStitched
DICER1	0	1_MACS_peak_8318_lociStitched
DNAJB13	0	1_MACS_peak_4955_lociStitched
DNAJB9	0	1_MACS_peak_26453_lociStitched
DNAJC18	0	1_MACS_peak_22993_lociStitched
DNAL4	0	2_MACS_peak_18657_lociStitched
DOK3	0	1_MACS_peak_23514_lociStitched
DOM3Z	0	1_MACS_peak_24178_lociStitched
DSCC1	0	3_MACS_peak_27824_lociStitched
DUSP22	0	1_MACS_peak_23605_lociStitched,3_MACS_peak_23600_lociStitched,2_MACS_peak_23603_lociStitched
DYNLL1	0	1_MACS_peak_6773_lociStitched
E2F2	1	2_MACS_peak_407_lociStitched
E2F3	1	2_MACS_peak_23887_lociStitched
ECH1	0	2_MACS_peak_14047_lociStitched
EDF1	0	2_MACS_peak_29407_lociStitched
EEF1A1	0	2_MACS_peak_24619_lociStitched
EEF1G	0	1_MACS_peak_4540_lociStitched,4_MACS_peak_4541_lociStitched
EEF2K	0	2_MACS_peak_9963_lociStitched
EFEMP2	0	2_MACS_peak_4714_lociStitched
EGFL8	0	1_MACS_peak_24188_lociStitched
EHD3	0	1_MACS_peak_15056_lociStitched
EIF2AK3	0	3_MACS_peak_15681_lociStitched
ENPP6	0	2_MACS_peak_21778_lociStitched,2_MACS_peak_21776_lociStitched
EPB41L1	0	2_MACS_peak_17389_lociStitched
EPS15L1	0	2_MACS_peak_13609_lociStitched,3_MACS_peak_13613_lociStitched
ERBB3	0	3_MACS_peak_6131_lociStitched,1_MACS_peak_6130_lociStitched
