GENE	TF	ENHANCER_LIST
ARMC2	0	5_MACS_peak_27223_lociStitched,4_MACS_peak_27228_lociStitched
ARPC5L	0	1_MACS_peak_31866_lociStitched
ARPM1	0	2_MACS_peak_22269_lociStitched
ARRDC3	0	2_MACS_peak_24889_lociStitched
ARRDC5	0	1_MACS_peak_14525_lociStitched
ARSG	0	1_MACS_peak_13230_lociStitched,2_MACS_peak_13225_lociStitched
ARSI	0	2_MACS_peak_25456_lociStitched
ARTN	0	4_MACS_peak_898_lociStitched
ASAP3	0	1_MACS_peak_398_lociStitched
ASB16	0	1_MACS_peak_12751_lociStitched
ASCC1	0	4_MACS_peak_3948_lociStitched
ASH1L	0	2_MACS_peak_1978_lociStitched
ATAT1	0	3_MACS_peak_26359_lociStitched
ATF3	1	1_MACS_peak_2872_lociStitched
ATF4	1	1_MACS_peak_20393_lociStitched
ATF6	1	1_MACS_peak_2178_lociStitched
ATG16L2	0	1_MACS_peak_5669_lociStitched
ATG4D	0	1_MACS_peak_14661_lociStitched
ATHL1	0	2_MACS_peak_4670_lociStitched
ATN1	0	1_MACS_peak_6479_lociStitched,2_MACS_peak_6477_lociStitched
ATP11B	0	1_MACS_peak_22429_lociStitched
ATP2B2	0	1_MACS_peak_20716_lociStitched
ATP5B	0	4_MACS_peak_7123_lociStitched
ATP5D	0	1_MACS_peak_14371_lociStitched
ATP6V1A	0	3_MACS_peak_21704_lociStitched
ATP6V1G1	0	1_MACS_peak_31776_lociStitched
ATP8B2	0	1_MACS_peak_1910_lociStitched
ATP8B3	0	1_MACS_peak_14395_lociStitched
ATPIF1	0	4_MACS_peak_560_lociStitched
ATXN1	0	3_MACS_peak_26118_lociStitched
ATXN2L	0	1_MACS_peak_11109_lociStitched
ATXN7L3	0	1_MACS_peak_12751_lociStitched
AURKB	0	1_MACS_peak_12086_lociStitched
AVIL	0	1_MACS_peak_7166_lociStitched
AXL	0	2_MACS_peak_15239_lociStitched
B3GALNT2	0	1_MACS_peak_3169_lociStitched
B4GALT3	0	2_MACS_peak_2145_lociStitched,2_MACS_peak_2143_lociStitched
BAAT	0	2_MACS_peak_31637_lociStitched
BACH2	1	1_MACS_peak_27035_lociStitched
BAG1	0	1_MACS_peak_31055_lociStitched
BAGE	0	1_MACS_peak_19404_lociStitched
BARX2	1	2_MACS_peak_6297_lociStitched,3_MACS_peak_6300_lociStitched
BAT5	0	5_MACS_peak_26406_lociStitched
BAZ2A	0	4_MACS_peak_7123_lociStitched
BBC3	0	1_MACS_peak_15405_lociStitched
BCL2	0	1_MACS_peak_14195_lociStitched,3_MACS_peak_14204_lociStitched
BCL2L1	0	2_MACS_peak_18716_lociStitched,1_MACS_peak_18713_lociStitched
BCL2L11	0	2_MACS_peak_17027_lociStitched,2_MACS_peak_17022_lociStitched
BCL6B	1	1_MACS_peak_12021_lociStitched
BCL9L	0	4_MACS_peak_6113_lociStitched
BCOR	0	5_MACS_peak_32454_lociStitched,2_MACS_peak_32465_lociStitched,3_MACS_peak_32444_lociStitched
BCR	0	4_MACS_peak_19958_lociStitched,6_MACS_peak_19964_lociStitched
BDH1	0	1_MACS_peak_22671_lociStitched
BFSP2	0	4_MACS_peak_21967_lociStitched
BGLAP	0	3_MACS_peak_2022_lociStitched
BHLHE41	1	2_MACS_peak_6687_lociStitched
BICD2	0	3_MACS_peak_31507_lociStitched
BIN2	0	2_MACS_peak_7010_lociStitched
BIRC5	0	2_MACS_peak_13488_lociStitched
