ARF1	0.0003295622233152976
ARID3A	0.1255238563698967
ARID5A	0.20154943433349728
ATF3	0.2892228234136744
ATF4	0.40800787014264633
BACH1	0.15749631087063454
BHLHE40	0.1710624692572553
BHLHE41	0.01780127889818003
CEBPB	0.11606984751598623
CEBPG	0.03757993113625185
CHD2	0.43814067879980323
CREB3L2	0.3368175110673881
CTCFL	0.9621741269060502
DDIT3	0.1444515494343335
ESRRG	0.2215494343334973
ETS1	0.3153418593212002
FLI1	0.8920560747663552
FOS	0.08846040334481063
FOXD4L5	0.022813575996064928
FOXN3	0.06390063944909001
FOXO1	0.21501229709788489
FOXO3	0.9996704377766847
FOXP2	0.10168716182980816
HBP1	0.10076733890801771
HES5	0.01925725528775209
HINFP	0.2624938514510575
IKZF1	0.8097786522380718
IKZF3	1.0
IRF1	0.9113526807673389
IRF2	0.27273979340875554
IRF4	0.7263059517953763
JUN	0.0717314313821938
JUNB	0.3809837678307919
JUND	0.1785587801278898
KLF13	0.0964141662567634
KLF15	0.08864731923266109
KLF2	0.7723954746679783
KLF3	0.6631382193802262
KLF6	0.35812592228234136
KLF7	0.18485489424495818
KLF9	0.6036301032956223
MEF2A	0.28682734874569604
MEF2C	0.8951942941465814
MEF2D	0.3190605017215937
MXI1	0.05611411706837186
MYBL2	0.03749631087063453
MZF1	0.16387112641416626
NFATC1	0.9727594687653713
NFE2L2	0.12653713723561238
NFE2L3	0.4589178553861289
NOBOX	0.013344810624692572
NR1D1	0.5939990162321692
NR3C1	0.043507132316773243
NR4A2	0.44396950319724543
PAX5	0.08566650270536154
POU5F1	0.2538514510575504
POU5F1B	0.18301524840137728
PRDM1	1.0
RARA	0.524146581406788
RERE	0.14375307427447123
RFX1	0.27793408755533694
RFX3	0.49923757993113627
RUNX1	0.4586227250368913
RXRB	0.20851451057550419
SMAD7	0.32965568125922284
SP3	0.0400737825873094
TBX6	0.043910477127397936
TCF3	0.516955238563699
THRA	0.7390998524348253
USF2	0.2392326610919823
XBP1	0.05828332513526808
ZBTB1	0.09004426955238563
ZBTB20	0.04715199212985735
ZBTB32	0.03103787506148549
ZBTB38	0.19869158878504672
ZBTB42	0.010870634530250861
ZBTB7A	0.4735022134776193
ZBTB7B	0.2780373831775701
ZFP62	0.719867191342843
ZFP91	0.18472700442695525
ZNF114	0.02691096901131333
ZNF217	0.00572552877520905
ZNF283	0.26944417117560254
ZNF460	0.9821987211018199
ZNF48	0.23555828824397443
ZNF526	0.08908509591736351
ZNF543	0.9821987211018199
ZNF643	0.28344318740777175
ZNF775	0.24501721593703885
ZNF805	0.5328676832267585
ZNF860	0.9996704377766847
