From	To
BCL6B	KLF13
BCL6B	KLF2
BCL6B	KLF6
BCL6B	KLF7
BCL6B	KLF9
BCL6B	MEF2A
BCL6B	MEF2C
BCL6B	MXI1
BCL6B	MYC
BCL6B	MYNN
BCL6B	NFE2L2
BCL6B	NFKB1
BCL6B	NFKB2
BCL6B	NR1D2
BCL6B	NR3C1
BCL6B	NR4A2
BCL6B	NR4A3
BCL6B	PAX4
BCL6B	PAX5
BCL6B	POU2F2
BCL6B	PRDM1
BCL6B	PRDM10
BCL6B	RARA
BCL6B	RAX2
BCL6B	RELA
BCL6B	RELB
BCL6B	RFX1
BCL6B	RFX3
BCL6B	RFX7
BCL6B	RORA
BCL6B	RUNX1
BCL6B	SF1
BCL6B	SIN3A
BCL6B	SP3
BCL6B	SPI1
BCL6B	SREBF2
BCL6B	TBX6
BCL6B	TCF12
BCL6B	TCF4
BCL6B	TEAD1
BCL6B	TGIF2
BCL6B	TP53
BCL6B	XBP1
BCL6B	ZBTB1
BCL6B	ZBTB20
BCL6B	ZBTB32
BCL6B	ZBTB38
BCL6B	ZBTB5
BCL6B	ZFP62
BCL6B	ZFP91
BCL6B	ZFX
BCL6B	ZNF143
BCL6B	ZNF16
BCL6B	ZNF250
BCL6B	ZNF460
BCL6B	ZNF48
BCL6B	ZNF483
BCL6B	ZNF490
BCL6B	ZNF526
BCL6B	ZNF543
BCL6B	ZNF574
BCL6B	ZNF580
BCL6B	ZNF581
BCL6B	ZNF592
BCL6B	ZNF655
BCL6B	ZNF689
BCL6B	ZNF771
BCL6B	ZNF775
BCL6B	ZNF784
BCL6B	ZNF791
BCL6B	ZNF805
BCLAF1	AIRE
BCLAF1	ARF1
BCLAF1	ARF4
BCLAF1	BACH1
BCLAF1	BBX
BCLAF1	BCL6B
BCLAF1	BCLAF1
BCLAF1	BHLHE41
BCLAF1	CEBPG
BCLAF1	CHD2
BCLAF1	CREB1
BCLAF1	CREB3L2
BCLAF1	CREM
BCLAF1	ERF
BCLAF1	ESRRA
BCLAF1	FIZ1
BCLAF1	FOSB
BCLAF1	FOSL1
BCLAF1	FOXN3
BCLAF1	FOXO3
BCLAF1	GABPA
BCLAF1	GMEB2
BCLAF1	HAP1
BCLAF1	HBP1
BCLAF1	HES7
BCLAF1	HIVEP2
BCLAF1	IRF2
