From	To
ARNT	GFI1
ARNT	GMEB2
ARNT	HES1
ARNT	HES5
ARNT	HES7
ARNT	IKZF3
ARNT	IRF1
ARNT	IRF2
ARNT	IRF4
ARNT	JUNB
ARNT	JUND
ARNT	KLF1
ARNT	KLF13
ARNT	KLF16
ARNT	KLF2
ARNT	KLF6
ARNT	KLF9
ARNT	MAFF
ARNT	MAZ
ARNT	MEF2D
ARNT	MNT
ARNT	MYBL2
ARNT	NFATC2
ARNT	NFE2L2
ARNT	NFE2L3
ARNT	NFIX
ARNT	NR1I3
ARNT	NR3C1
ARNT	PBX4
ARNT	PRDM1
ARNT	RARA
ARNT	RUNX1
ARNT	RUNX2
ARNT	RUNX3
ARNT	SMAD2
ARNT	SMAD7
ARNT	SOX11
ARNT	SREBF1
ARNT	TBX6
ARNT	TCF3
ARNT	TCFL5
ARNT	TEF
ARNT	TFAP4
ARNT	XBP1
ARNT	ZBTB38
ARNT	ZBTB7B
ARNT	ZFP91
ARNT	ZNF114
ARNT	ZNF132
ARNT	ZNF217
ARNT	ZNF236
ARNT	ZNF335
ARNT	ZNF367
ARNT	ZNF436
ARNT	ZNF48
ARNT	ZNF497
ARNT	ZNF524
ARNT	ZNF580
ARNT	ZNF581
ARNT	ZNF584
ARNT	ZNF775
ARNT	ZNF784
ARNT	ZNF837
ATF4	ARF1
ATF4	ARID5A
ATF4	ARNT
ATF4	ATF4
ATF4	ATF5
ATF4	ATF6
ATF4	CAMTA2
ATF4	CEBPB
ATF4	CHD2
ATF4	CREB3L4
ATF4	CTCF
ATF4	CTCFL
ATF4	CUX1
ATF4	DEAF1
ATF4	DMRTC2
ATF4	E2F2
ATF4	E2F3
ATF4	ETV3
ATF4	FIZ1
ATF4	FLI1
ATF4	FOSB
ATF4	FOSL2
ATF4	FOXO3
ATF4	FOXP2
ATF4	FOXR1
ATF4	GFI1
ATF4	GMEB2
ATF4	HES1
ATF4	HES5
ATF4	HES7
ATF4	HINFP
ATF4	IKZF3
ATF4	IRF1
ATF4	IRF2
ATF4	IRF4
ATF4	JUNB
ATF4	JUND
ATF4	KLF1
ATF4	KLF10
ATF4	KLF13
ATF4	KLF16
ATF4	KLF2
ATF4	KLF6
ATF4	KLF9
ATF4	MAF
ATF4	MAFF
ATF4	MAZ
ATF4	MEF2C
ATF4	MEF2D
ATF4	MNT
ATF4	MYBL2
ATF4	NFATC2
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	NFIC
ATF4	NFIX
ATF4	NR1I3
ATF4	NR3C1
ATF4	PBX4
ATF4	POU2F1
ATF4	PRDM1
ATF4	PRDM10
ATF4	RARA
ATF4	RARG
ATF4	RUNX1
ATF4	RUNX2
ATF4	RUNX3
ATF4	RXRB
ATF4	SF1
ATF4	SIN3A
ATF4	SMAD2
ATF4	SMAD7
ATF4	SOX11
ATF4	SOX15
ATF4	SREBF1
ATF4	TBX6
ATF4	TCF3
ATF4	TCFL5
ATF4	TEF
ATF4	TFAP2A
ATF4	THAP1
ATF4	XBP1
ATF4	ZBTB1
ATF4	ZBTB38
ATF4	ZBTB7B
ATF4	ZEB1
ATF4	ZFP62
ATF4	ZFP91
ATF4	ZNF114
ATF4	ZNF132
ATF4	ZNF143
ATF4	ZNF217
ATF4	ZNF219
ATF4	ZNF236
ATF4	ZNF334
ATF4	ZNF335
ATF4	ZNF367
ATF4	ZNF48
ATF4	ZNF490
ATF4	ZNF497
ATF4	ZNF524
ATF4	ZNF580
ATF4	ZNF581
ATF4	ZNF584
ATF4	ZNF652
ATF4	ZNF681
ATF4	ZNF687
ATF4	ZNF740
ATF4	ZNF775
ATF4	ZNF784
ATF4	ZNF791
ATF4	ZNF837
ATF5	ARF1
ATF5	ARID3A
ATF5	ARID5A
ATF5	ARNT
ATF5	ATF4
ATF5	ATF5
ATF5	ATF6
ATF5	CAMTA2
ATF5	CEBPB
ATF5	CHD2
ATF5	CREB3L4
ATF5	CTCF
ATF5	CTCFL
ATF5	CUX1
ATF5	DMRTC2
ATF5	E2F2
ATF5	E2F3
ATF5	ETV3
ATF5	FIZ1
ATF5	FLI1
ATF5	FOSB
ATF5	FOSL1
ATF5	FOSL2
ATF5	FOXO3
ATF5	FOXP2
ATF5	FOXR1
ATF5	GFI1
ATF5	GMEB2
ATF5	HES1
ATF5	HES5
ATF5	HES7
ATF5	HINFP
ATF5	IKZF3
ATF5	IRF1
ATF5	IRF2
ATF5	IRF4
ATF5	JUNB
ATF5	JUND
ATF5	KLF1
ATF5	KLF10
ATF5	KLF13
ATF5	KLF16
