GENE	TF	ENHANCER_LIST
BHLHE41	1	3_MACS_peak_7877_lociStitched
BMI1	0	4_MACS_peak_4303_lociStitched,1_MACS_peak_4307_lociStitched
BMP6	0	4_MACS_peak_30617_lociStitched
BOD1	0	2_MACS_peak_30247_lociStitched,3_MACS_peak_30244_lociStitched
BOLA1	0	1_MACS_peak_2299_lociStitched
BRCA2	0	1_MACS_peak_9664_lociStitched
BRD2	0	2_MACS_peak_31228_lociStitched
BTBD2	0	2_MACS_peak_17043_lociStitched
BTG1	0	4_MACS_peak_8757_lociStitched
BTG2	0	2_MACS_peak_3206_lociStitched,3_MACS_peak_3215_lociStitched,1_MACS_peak_3213_lociStitched
BZRAP1	0	5_MACS_peak_15619_lociStitched
C10ORF105	0	1_MACS_peak_4743_lociStitched
C10ORF54	0	1_MACS_peak_4743_lociStitched
C10ORF91	0	1_MACS_peak_5515_lociStitched
C11ORF16	0	1_MACS_peak_5718_lociStitched
C11ORF2	0	2_MACS_peak_6293_lociStitched
C11ORF20	0	1_MACS_peak_6259_lociStitched
C11ORF24	0	1_MACS_peak_6556_lociStitched
C11ORF71	0	1_MACS_peak_7181_lociStitched
C11ORF96	0	3_MACS_peak_6016_lociStitched
C12ORF56	0	1_MACS_peak_8523_lociStitched
C12ORF57	0	2_MACS_peak_7623_lociStitched
C14ORF145	0	1_MACS_peak_11017_lociStitched
C14ORF181	0	2_MACS_peak_10808_lociStitched
C14ORF50	0	2_MACS_peak_10751_lociStitched
C15ORF28	0	1_MACS_peak_12321_lociStitched
C15ORF39	0	1_MACS_peak_12502_lociStitched
C15ORF55	0	1_MACS_peak_11679_lociStitched
C15ORF63	0	1_MACS_peak_11864_lociStitched
C16ORF3	0	2_MACS_peak_14393_lociStitched
C17ORF101	0	2_MACS_peak_16254_lociStitched
C17ORF103	0	3_MACS_peak_14894_lociStitched
C17ORF37	0	4_MACS_peak_15180_lociStitched,1_MACS_peak_15176_lociStitched
C17ORF46	0	5_MACS_peak_15346_lociStitched
C17ORF60	0	1_MACS_peak_15759_lociStitched
C17ORF62	0	2_MACS_peak_16254_lociStitched
C17ORF91	0	2_MACS_peak_14442_lociStitched
C17ORF96	0	1_MACS_peak_15150_lociStitched
C19ORF22	0	1_MACS_peak_16945_lociStitched,3_MACS_peak_16946_lociStitched,1_MACS_peak_16951_lociStitched
C19ORF23	0	3_MACS_peak_16991_lociStitched
C19ORF24	0	3_MACS_peak_16991_lociStitched
C19ORF26	0	3_MACS_peak_16991_lociStitched
C19ORF38	0	1_MACS_peak_17373_lociStitched
C19ORF50	0	2_MACS_peak_17751_lociStitched
C19ORF52	0	1_MACS_peak_17373_lociStitched
C19ORF60	0	2_MACS_peak_17751_lociStitched
C1ORF220	0	2_MACS_peak_2938_lociStitched,1_MACS_peak_2940_lociStitched
C1ORF35	0	1_MACS_peak_3670_lociStitched
C1QTNF6	0	1_MACS_peak_23813_lociStitched,1_MACS_peak_23814_lociStitched
C2	0	1_MACS_peak_31194_lociStitched
C21ORF125	0	3_MACS_peak_23164_lociStitched,1_MACS_peak_23161_lociStitched
C21ORF33	0	2_MACS_peak_23211_lociStitched
C21ORF84	0	3_MACS_peak_23164_lociStitched
C21ORF96	0	1_MACS_peak_22984_lociStitched,3_MACS_peak_22988_lociStitched
C22ORF41	0	3_MACS_peak_24280_lociStitched,2_MACS_peak_24283_lociStitched
C22ORF45	0	1_MACS_peak_23543_lociStitched
C2ORF42	0	2_MACS_peak_19633_lociStitched
C3ORF18	0	2_MACS_peak_25087_lociStitched
C3ORF43	0	3_MACS_peak_26743_lociStitched
C4B	0	1_MACS_peak_31194_lociStitched
C4ORF36	0	3_MACS_peak_27510_lociStitched
C5ORF24	0	1_MACS_peak_29702_lociStitched
C5ORF27	0	1_MACS_peak_29187_lociStitched,1_MACS_peak_29190_lociStitched,3_MACS_peak_29191_lociStitched
C5ORF33	0	1_MACS_peak_28576_lociStitched
C5ORF39	0	1_MACS_peak_28620_lociStitched,2_MACS_peak_28617_lociStitched
C5ORF45	0	1_MACS_peak_30397_lociStitched
C5ORF56	0	1_MACS_peak_29631_lociStitched,4_MACS_peak_29638_lociStitched,1_MACS_peak_29630_lociStitched
C6ORF105	0	3_MACS_peak_30751_lociStitched
C6ORF106	0	1_MACS_peak_31298_lociStitched
C6ORF136	0	2_MACS_peak_31108_lociStitched
C6ORF62	0	1_MACS_peak_30928_lociStitched
C7ORF29	0	1_MACS_peak_34836_lociStitched
C7ORF47	0	1_MACS_peak_34095_lociStitched
C7ORF49	0	1_MACS_peak_34593_lociStitched,2_MACS_peak_34596_lociStitched,2_MACS_peak_34594_lociStitched
C7ORF50	0	1_MACS_peak_32868_lociStitched
C7ORF55	0	1_MACS_peak_34695_lociStitched,1_MACS_peak_34696_lociStitched
C7ORF61	0	1_MACS_peak_34095_lociStitched
