From	To
HIVEP2	ZBTB38
HIVEP2	ZBTB7B
HIVEP2	ZNF687
IRF2	ARF1
IRF2	BACH2
IRF2	E2F2
IRF2	E2F3
IRF2	FOSB
IRF2	FOSL1
IRF2	FOXO1
IRF2	FOXO3
IRF2	HIVEP2
IRF2	IRF2
IRF2	IRF4
IRF2	ISX
IRF2	JUNB
IRF2	KLF2
IRF2	KLF6
IRF2	KLF9
IRF2	MEF2D
IRF2	MNT
IRF2	NR3C1
IRF2	POU2F1
IRF2	PRDM1
IRF2	RFX3
IRF2	RUNX2
IRF2	SRF
IRF2	XBP1
IRF2	ZBTB1
IRF2	ZBTB38
IRF2	ZBTB7B
IRF4	ARF1
IRF4	BACH2
IRF4	E2F2
IRF4	E2F3
IRF4	ESR1
IRF4	FOSB
IRF4	FOSL1
IRF4	FOXO1
IRF4	HIVEP2
IRF4	IRF2
IRF4	IRF4
IRF4	ISX
IRF4	JUNB
IRF4	KLF2
IRF4	KLF6
IRF4	KLF9
IRF4	MEF2D
IRF4	NR3C1
IRF4	POU2F1
IRF4	PRDM1
IRF4	RUNX2
IRF4	SP3
IRF4	SRF
IRF4	TCFL5
IRF4	XBP1
IRF4	ZBTB1
IRF4	ZBTB38
IRF4	ZBTB7B
ISX	ARF1
ISX	BACH2
ISX	E2F2
ISX	E2F3
ISX	ESR1
ISX	FOSB
ISX	FOSL1
ISX	FOXO1
ISX	FOXO3
ISX	HIVEP2
ISX	IRF2
ISX	IRF4
ISX	ISX
ISX	JUNB
ISX	KLF2
ISX	KLF6
ISX	MEF2D
ISX	MNT
ISX	NR3C1
ISX	POU2F1
ISX	PRDM1
ISX	RFX3
ISX	RUNX2
ISX	SP3
ISX	SRF
ISX	TCFL5
ISX	XBP1
ISX	ZBTB1
ISX	ZBTB38
ISX	ZBTB7B
ISX	ZNF687
JUNB	ARF1
JUNB	ATF4
JUNB	BACH2
JUNB	E2F2
JUNB	E2F3
JUNB	ESR1
JUNB	FOSB
JUNB	FOSL1
JUNB	FOXO3
JUNB	HIVEP2
JUNB	IRF2
JUNB	IRF4
JUNB	JUNB
JUNB	KLF2
JUNB	KLF6
JUNB	KLF9
JUNB	MEF2D
JUNB	MNT
JUNB	NR3C1
JUNB	POU2F1
JUNB	PRDM1
JUNB	SRF
JUNB	TCFL5
JUNB	XBP1
JUNB	ZBTB1
JUNB	ZBTB38
JUNB	ZBTB7B
JUNB	ZNF687
JUND	ARF1
JUND	ATF4
JUND	BACH2
JUND	E2F2
JUND	E2F3
JUND	ESR1
JUND	FOSB
JUND	FOSL1
JUND	FOXO1
JUND	FOXO3
JUND	HIVEP2
JUND	IRF2
JUND	IRF4
JUND	ISX
JUND	JUNB
JUND	JUND
JUND	KLF2
JUND	KLF6
JUND	KLF9
JUND	MEF2D
JUND	MNT
JUND	NR3C1
JUND	POU2F1
JUND	PRDM1
JUND	RFX3
JUND	RUNX2
JUND	SP3
JUND	SRF
JUND	TCFL5
JUND	XBP1
JUND	ZBTB1
JUND	ZBTB38
JUND	ZBTB7B
JUND	ZNF687
KLF2	ARF1
KLF2	ATF4
KLF2	BACH2
KLF2	E2F2
KLF2	E2F3
KLF2	ESR1
KLF2	FOSB
KLF2	FOSL1
KLF2	FOXO1
KLF2	FOXO3
KLF2	IRF2
KLF2	IRF4
KLF2	ISX
KLF2	JUNB
KLF2	JUND
KLF2	KLF2
KLF2	KLF9
KLF2	MEF2D
KLF2	MNT
KLF2	NR3C1
KLF2	PRDM1
KLF2	RFX3
KLF2	RUNX2
KLF2	SP3
KLF2	SRF
KLF2	TCFL5
KLF2	XBP1
KLF2	ZBTB1
KLF2	ZBTB38
KLF2	ZBTB7B
KLF2	ZNF687
KLF6	ATF4
KLF6	BACH2
KLF6	E2F2
KLF6	E2F3
KLF6	FOSB
KLF6	FOSL1
KLF6	FOXO1
KLF6	FOXO3
KLF6	HIVEP2
KLF6	IRF4
KLF6	JUNB
KLF6	JUND
KLF6	KLF2
KLF6	KLF6
KLF6	KLF9
KLF6	MEF2D
KLF6	MNT
KLF6	NR3C1
KLF6	RFX3
KLF6	RUNX2
KLF6	TCFL5
KLF6	XBP1
KLF6	ZBTB7B
KLF6	ZNF687
KLF9	ARF1
KLF9	ATF4
KLF9	BACH2
KLF9	E2F2
KLF9	E2F3
KLF9	ESR1
KLF9	FOSB
KLF9	FOSL1
KLF9	FOXO1
KLF9	FOXO3
KLF9	HIVEP2
KLF9	IRF2
KLF9	IRF4
KLF9	JUNB
KLF9	JUND
KLF9	KLF2
KLF9	KLF6
KLF9	KLF9
KLF9	MEF2D
KLF9	MNT
KLF9	NR3C1
KLF9	POU2F1
KLF9	PRDM1
KLF9	RFX3
KLF9	RUNX2
KLF9	SP3
KLF9	SRF
KLF9	TCFL5
KLF9	XBP1
KLF9	ZBTB1
KLF9	ZBTB38
KLF9	ZBTB7B
KLF9	ZNF687
MEF2D	ATF4
MEF2D	BACH2
MEF2D	E2F2
MEF2D	E2F3
MEF2D	ESR1
MEF2D	FOSB
MEF2D	FOSL1
MEF2D	FOXO1
MEF2D	FOXO3
MEF2D	HIVEP2
MEF2D	IRF2
MEF2D	IRF4
MEF2D	ISX
MEF2D	JUNB
MEF2D	KLF2
MEF2D	KLF6
MEF2D	KLF9
MEF2D	MEF2D
MEF2D	NR3C1
MEF2D	POU2F1
MEF2D	PRDM1
MEF2D	RFX3
MEF2D	RUNX2
MEF2D	SP3
MEF2D	XBP1
MEF2D	ZBTB38
MEF2D	ZBTB7B
MEF2D	ZNF687
MNT	ARF1
MNT	ATF4
MNT	BACH2
MNT	FOSB
MNT	FOSL1
MNT	FOXO3
MNT	HIVEP2
MNT	ISX
MNT	JUNB
MNT	JUND
MNT	KLF6
MNT	KLF9
MNT	MEF2D
MNT	MNT
MNT	RUNX2
MNT	TCFL5
MNT	XBP1
MNT	ZBTB1
MNT	ZBTB7B
NR3C1	ARF1
NR3C1	ATF4
NR3C1	BACH2
NR3C1	E2F2
NR3C1	ESR1
NR3C1	FOSB
NR3C1	FOSL1
NR3C1	FOXO1
NR3C1	FOXO3
NR3C1	IRF2
NR3C1	IRF4
NR3C1	ISX
NR3C1	JUNB
NR3C1	JUND
NR3C1	KLF2
NR3C1	KLF6
NR3C1	KLF9
NR3C1	MEF2D
NR3C1	MNT
NR3C1	NR3C1
NR3C1	POU2F1
NR3C1	PRDM1
NR3C1	RFX3
NR3C1	RUNX2
NR3C1	SRF
NR3C1	TCFL5
NR3C1	XBP1
NR3C1	ZBTB38
NR3C1	ZBTB7B
POU2F1	ARF1
POU2F1	ATF4
POU2F1	BACH2
POU2F1	E2F2
POU2F1	E2F3
POU2F1	ESR1
POU2F1	FOSB
POU2F1	FOSL1
POU2F1	FOXO1
POU2F1	FOXO3
POU2F1	HIVEP2
POU2F1	IRF2
POU2F1	IRF4
POU2F1	ISX
POU2F1	JUNB
POU2F1	JUND
POU2F1	KLF2
POU2F1	KLF6
POU2F1	KLF9
POU2F1	MEF2D
POU2F1	MNT
POU2F1	NR3C1
POU2F1	POU2F1
POU2F1	PRDM1
POU2F1	RFX3
POU2F1	RUNX2
POU2F1	SP3
POU2F1	SRF
POU2F1	TCFL5
POU2F1	XBP1
POU2F1	ZBTB1
POU2F1	ZBTB38
POU2F1	ZBTB7B
POU2F1	ZNF687
PRDM1	ARF1
PRDM1	BACH2
PRDM1	E2F2
PRDM1	E2F3
PRDM1	ESR1
PRDM1	FOSB
PRDM1	FOSL1
PRDM1	FOXO1
PRDM1	FOXO3
PRDM1	HIVEP2
PRDM1	IRF2
PRDM1	IRF4
PRDM1	ISX
PRDM1	JUNB
PRDM1	JUND
PRDM1	KLF2
PRDM1	KLF6
PRDM1	KLF9
PRDM1	MEF2D
PRDM1	MNT
PRDM1	NR3C1
PRDM1	POU2F1
PRDM1	PRDM1
PRDM1	RFX3
PRDM1	RUNX2
PRDM1	SP3
PRDM1	SRF
PRDM1	TCFL5
PRDM1	XBP1
PRDM1	ZBTB1
PRDM1	ZBTB38
PRDM1	ZBTB7B
PRDM1	ZNF687
RFX3	ATF4
RFX3	BACH2
RFX3	E2F2
RFX3	ESR1
RFX3	FOSB
RFX3	FOSL1
RFX3	FOXO1
RFX3	FOXO3
RFX3	HIVEP2
RFX3	IRF2
RFX3	IRF4
RFX3	ISX
RFX3	JUNB
RFX3	JUND
RFX3	KLF2
RFX3	KLF6
RFX3	KLF9
RFX3	MEF2D
RFX3	NR3C1
RFX3	POU2F1
RFX3	PRDM1
RFX3	RFX3
RFX3	RUNX2
RFX3	SRF
RFX3	TCFL5
RFX3	XBP1
RFX3	ZBTB1
RFX3	ZBTB38
RFX3	ZBTB7B
RUNX2	ATF4
RUNX2	BACH2
RUNX2	E2F2
RUNX2	ESR1
RUNX2	FOSB
RUNX2	FOSL1
RUNX2	FOXO1
RUNX2	FOXO3
RUNX2	HIVEP2
RUNX2	IRF2
RUNX2	IRF4
RUNX2	ISX
RUNX2	JUNB
RUNX2	KLF2
RUNX2	KLF6
RUNX2	KLF9
RUNX2	MEF2D
RUNX2	MNT
RUNX2	NR3C1
RUNX2	POU2F1
RUNX2	PRDM1
RUNX2	RFX3
RUNX2	RUNX2
RUNX2	SP3
RUNX2	SRF
RUNX2	TCFL5
RUNX2	XBP1
RUNX2	ZBTB1
RUNX2	ZBTB38
RUNX2	ZBTB7B
RUNX2	ZNF687
SP3	ARF1
SP3	ATF4
SP3	BACH2
SP3	E2F2
SP3	E2F3
SP3	ESR1
SP3	FOSB
SP3	FOSL1
SP3	FOXO1
SP3	FOXO3
SP3	HIVEP2
SP3	IRF2
SP3	IRF4
SP3	JUNB
SP3	JUND
SP3	KLF2
SP3	KLF6
SP3	KLF9
SP3	MEF2D
SP3	MNT
SP3	NR3C1
SP3	POU2F1
SP3	PRDM1
SP3	RFX3
SP3	RUNX2
SP3	SP3
SP3	SRF
SP3	TCFL5
SP3	XBP1
SP3	ZBTB1
SP3	ZBTB38
SP3	ZBTB7B
SP3	ZNF687
SRF	ARF1
SRF	ATF4
SRF	BACH2
SRF	E2F2
SRF	E2F3
SRF	ESR1
SRF	FOSB
SRF	FOSL1
SRF	FOXO1
SRF	FOXO3
SRF	HIVEP2
SRF	IRF2
SRF	IRF4
SRF	ISX
SRF	JUNB
SRF	JUND
SRF	KLF2
SRF	KLF6
SRF	KLF9
SRF	MEF2D
SRF	MNT
SRF	NR3C1
SRF	POU2F1
SRF	PRDM1
SRF	RFX3
SRF	RUNX2
SRF	SP3
SRF	SRF
SRF	TCFL5
SRF	XBP1
SRF	ZBTB1
SRF	ZBTB38
SRF	ZBTB7B
SRF	ZNF687
TCFL5	ARF1
TCFL5	BACH2
TCFL5	ESR1
TCFL5	FOSB
TCFL5	FOSL1
TCFL5	FOXO3
TCFL5	HIVEP2
TCFL5	IRF4
TCFL5	JUND
TCFL5	KLF2
TCFL5	KLF6
TCFL5	KLF9
TCFL5	MEF2D
TCFL5	MNT
TCFL5	NR3C1
TCFL5	POU2F1
TCFL5	RUNX2
TCFL5	SP3
TCFL5	SRF
TCFL5	XBP1
TCFL5	ZBTB38
TCFL5	ZBTB7B
XBP1	ARF1
XBP1	ATF4
XBP1	BACH2
XBP1	E2F3
XBP1	FOSB
XBP1	FOSL1
XBP1	FOXO1
XBP1	FOXO3
XBP1	HIVEP2
XBP1	IRF2
XBP1	JUNB
XBP1	JUND
XBP1	MEF2D
XBP1	MNT
XBP1	NR3C1
XBP1	PRDM1
XBP1	RUNX2
XBP1	TCFL5
XBP1	XBP1
XBP1	ZBTB7B
XBP1	ZNF687
ZBTB1	ARF1
ZBTB1	ATF4
ZBTB1	E2F3
ZBTB1	FOSB
ZBTB1	FOSL1
ZBTB1	FOXO1
ZBTB1	IRF2
ZBTB1	IRF4
ZBTB1	ISX
ZBTB1	JUNB
ZBTB1	KLF6
ZBTB1	KLF9
ZBTB1	MNT
ZBTB1	POU2F1
ZBTB1	PRDM1
ZBTB1	RUNX2
ZBTB1	SRF
ZBTB1	XBP1
ZBTB1	ZBTB38
ZBTB1	ZBTB7B
ZBTB1	ZNF687
ZBTB38	ARF1
ZBTB38	E2F2
ZBTB38	E2F3
ZBTB38	ESR1
ZBTB38	FOSB
ZBTB38	FOSL1
ZBTB38	FOXO3
ZBTB38	HIVEP2
ZBTB38	IRF2
ZBTB38	ISX
ZBTB38	JUNB
ZBTB38	KLF2
ZBTB38	KLF6
ZBTB38	MEF2D
ZBTB38	MNT
ZBTB38	POU2F1
ZBTB38	PRDM1
ZBTB38	RUNX2
ZBTB38	SRF
ZBTB38	TCFL5
ZBTB38	XBP1
ZBTB38	ZBTB38
ZBTB38	ZBTB7B
ZBTB38	ZNF687
ZBTB7B	ARF1
ZBTB7B	BACH2
ZBTB7B	E2F2
ZBTB7B	E2F3
ZBTB7B	ESR1
ZBTB7B	FOSB
ZBTB7B	FOXO1
ZBTB7B	HIVEP2
ZBTB7B	IRF2
ZBTB7B	IRF4
ZBTB7B	ISX
ZBTB7B	JUNB
ZBTB7B	KLF2
ZBTB7B	KLF6
ZBTB7B	KLF9
ZBTB7B	MEF2D
ZBTB7B	MNT
ZBTB7B	NR3C1
ZBTB7B	PRDM1
ZBTB7B	RFX3
ZBTB7B	RUNX2
ZBTB7B	SRF
ZBTB7B	XBP1
ZBTB7B	ZBTB1
ZBTB7B	ZBTB38
ZBTB7B	ZBTB7B
ZBTB7B	ZNF687
ZNF687	BACH2
ZNF687	E2F2
ZNF687	FOSL1
ZNF687	FOXO1
ZNF687	FOXO3
ZNF687	HIVEP2
ZNF687	IRF2
ZNF687	IRF4
ZNF687	ISX
ZNF687	JUNB
ZNF687	KLF6
ZNF687	MEF2D
ZNF687	NR3C1
ZNF687	POU2F1
ZNF687	RFX3
ZNF687	SRF
ZNF687	XBP1
ZNF687	ZBTB38
ZNF687	ZBTB7B
