From	To
CEBPB	ZNF581
CEBPB	ZNF689
CEBPB	ZNF775
CEBPB	ZNF784
CTCF	AIRE
CTCF	ARF1
CTCF	ARID3A
CTCF	ARID5A
CTCF	ATF3
CTCF	BCL11A
CTCF	CAD
CTCF	CAMTA1
CTCF	CEBPB
CTCF	CTCF
CTCF	DDIT3
CTCF	E2F3
CTCF	FOSL1
CTCF	FOXH1
CTCF	FOXO3
CTCF	FOXP2
CTCF	HBP1
CTCF	JUNB
CTCF	JUND
CTCF	KLF13
CTCF	KLF6
CTCF	LTF
CTCF	MAF
CTCF	MAZ
CTCF	MEF2D
CTCF	MYC
CTCF	NFE2L2
CTCF	NFE2L3
CTCF	NOTCH1
CTCF	SF1
CTCF	SIN3A
CTCF	SP3
CTCF	SREBF2
CTCF	TBX10
CTCF	TFAP4
CTCF	TGIF1
CTCF	XBP1
CTCF	ZBTB38
CTCF	ZBTB7B
CTCF	ZFP91
CTCF	ZNF423
CTCF	ZNF580
CTCF	ZNF581
CTCF	ZNF689
CTCF	ZNF775
CTCF	ZNF784
DDIT3	ARID3A
DDIT3	ARID5A
DDIT3	ATF3
DDIT3	BCL11A
DDIT3	CAD
DDIT3	CEBPB
DDIT3	CTCF
DDIT3	DDIT3
DDIT3	E2F3
DDIT3	FOXO3
DDIT3	FOXP2
DDIT3	JUND
DDIT3	KLF6
DDIT3	LTF
DDIT3	MAF
DDIT3	MEF2D
DDIT3	MYC
DDIT3	NFE2L3
DDIT3	SF1
DDIT3	SIN3A
DDIT3	SP3
DDIT3	TFAP4
DDIT3	TGIF1
DDIT3	XBP1
DDIT3	ZBTB38
DDIT3	ZBTB7B
DDIT3	ZFP91
DDIT3	ZNF775
E2F3	AIRE
E2F3	ARF1
E2F3	ARID3A
E2F3	ARID5A
E2F3	ATF3
E2F3	BCL11A
E2F3	CAD
E2F3	CAMTA1
E2F3	CEBPB
E2F3	CTCF
E2F3	DDIT3
E2F3	E2F3
E2F3	FOSL1
E2F3	FOXH1
E2F3	FOXO3
E2F3	FOXP2
E2F3	HBP1
E2F3	JUNB
E2F3	JUND
E2F3	KLF13
E2F3	KLF6
E2F3	MAF
E2F3	MAZ
E2F3	MEF2D
E2F3	MYC
E2F3	NFE2L2
E2F3	NFE2L3
E2F3	NOTCH1
E2F3	SF1
E2F3	SIN3A
E2F3	SP3
E2F3	SREBF2
E2F3	TBX10
E2F3	TFAP4
E2F3	TGIF1
E2F3	XBP1
E2F3	ZBTB38
E2F3	ZBTB7B
E2F3	ZFP91
E2F3	ZNF423
E2F3	ZNF775
FOSL1	AIRE
FOSL1	ARID5A
FOSL1	CAD
FOSL1	CAMTA1
FOSL1	CEBPB
FOSL1	CTCF
FOSL1	DDIT3
FOSL1	E2F3
FOSL1	FOSL1
FOSL1	FOXP2
FOSL1	HBP1
FOSL1	JUNB
FOSL1	KLF13
FOSL1	KLF6
FOSL1	LTF
FOSL1	MAF
FOSL1	MAZ
FOSL1	MEF2D
FOSL1	MYC
FOSL1	NFE2L3
FOSL1	TFAP4
FOSL1	TGIF1
FOSL1	XBP1
FOSL1	ZBTB38
FOSL1	ZBTB7B
FOSL1	ZFP91
FOSL1	ZNF689
FOSL1	ZNF775
FOXH1	AIRE
FOXH1	ARID5A
FOXH1	ATF3
FOXH1	BCL11A
FOXH1	CAD
FOXH1	CAMTA1
FOXH1	CEBPB
FOXH1	CTCF
FOXH1	FOSL1
FOXH1	FOXO3
FOXH1	FOXP2
FOXH1	JUNB
FOXH1	JUND
FOXH1	KLF13
FOXH1	KLF6
FOXH1	LTF
FOXH1	MAF
FOXH1	MEF2D
FOXH1	MYC
FOXH1	NFE2L2
FOXH1	NFE2L3
FOXH1	NOTCH1
FOXH1	SF1
FOXH1	SIN3A
FOXH1	TBX10
FOXH1	TGIF1
FOXH1	XBP1
FOXH1	ZBTB38
FOXH1	ZBTB7B
FOXH1	ZFP91
FOXH1	ZNF580
FOXH1	ZNF581
FOXH1	ZNF775
FOXH1	ZNF784
FOXO3	AIRE
FOXO3	ARF1
FOXO3	ARID3A
FOXO3	ARID5A
FOXO3	ATF3
FOXO3	BCL11A
FOXO3	CAD
FOXO3	CAMTA1
FOXO3	CEBPB
FOXO3	CTCF
FOXO3	DDIT3
FOXO3	E2F3
FOXO3	FOSL1
FOXO3	FOXH1
FOXO3	FOXO3
FOXO3	FOXP2
FOXO3	HBP1
FOXO3	JUNB
FOXO3	JUND
FOXO3	KLF13
FOXO3	KLF6
FOXO3	LTF
FOXO3	MAF
FOXO3	MAZ
FOXO3	MEF2D
FOXO3	MYC
FOXO3	NFE2L3
FOXO3	NOTCH1
FOXO3	SF1
FOXO3	SIN3A
FOXO3	SP3
FOXO3	SREBF2
FOXO3	TBX10
FOXO3	TFAP4
FOXO3	TGIF1
FOXO3	XBP1
FOXO3	ZBTB38
FOXO3	ZBTB7B
FOXO3	ZFP91
FOXO3	ZNF423
FOXO3	ZNF580
FOXO3	ZNF581
FOXO3	ZNF689
FOXO3	ZNF775
FOXO3	ZNF784
FOXP2	ARID5A
FOXP2	BCL11A
FOXP2	CAD
FOXP2	CAMTA1
FOXP2	CEBPB
FOXP2	CTCF
FOXP2	DDIT3
FOXP2	E2F3
FOXP2	FOSL1
FOXP2	FOXO3
