GENE	TF	ENHANCER_LIST
ATP1A3	0	3_MACS_peak_10463_lociStitched
ATP5B	0	2_MACS_peak_4683_lociStitched,2_MACS_peak_4679_lociStitched
ATP5D	0	4_MACS_peak_9639_lociStitched,4_MACS_peak_9635_lociStitched
ATP5J2	0	2_MACS_peak_19481_lociStitched
ATP5J2-PTCD1	0	2_MACS_peak_19481_lociStitched
ATP6V1A	0	3_MACS_peak_14711_lociStitched
ATP8B2	0	1_MACS_peak_1283_lociStitched
ATXN1L	0	1_MACS_peak_7927_lociStitched
AURKB	0	5_MACS_peak_8274_lociStitched,2_MACS_peak_8289_lociStitched
AURKC	0	3_MACS_peak_10799_lociStitched
AXL	0	2_MACS_peak_10432_lociStitched
AZI2	0	1_MACS_peak_14048_lociStitched
AZIN1	0	4_MACS_peak_20584_lociStitched
AZU1	0	3_MACS_peak_9601_lociStitched
B2M	0	3_MACS_peak_6611_lociStitched,2_MACS_peak_6614_lociStitched,2_MACS_peak_6607_lociStitched
B3GALT4	0	3_MACS_peak_17935_lociStitched
B4GALT3	0	1_MACS_peak_1481_lociStitched
BAD	0	3_MACS_peak_3599_lociStitched
BAG1	0	1_MACS_peak_21003_lociStitched
BANP	0	2_MACS_peak_8058_lociStitched
BAP1	0	1_MACS_peak_14365_lociStitched
BAT5	0	3_MACS_peak_17880_lociStitched
BAZ2A	0	2_MACS_peak_4683_lociStitched,2_MACS_peak_4679_lociStitched
BBC3	0	2_MACS_peak_10595_lociStitched
BCHE	0	3_MACS_peak_15071_lociStitched
BCL2	0	2_MACS_peak_9542_lociStitched
BCL2L1	0	10_MACS_peak_12663_lociStitched
BCL2L12	0	4_MACS_peak_10677_lociStitched,2_MACS_peak_10674_lociStitched
BCL3	0	3_MACS_peak_10516_lociStitched
BCL6	1	1_MACS_peak_15266_lociStitched
BCLAF1	1	2_MACS_peak_18554_lociStitched
BCOR	0	5_MACS_peak_21907_lociStitched
BCR	0	4_MACS_peak_13419_lociStitched
BEST2	0	1_MACS_peak_9981_lociStitched,2_MACS_peak_9977_lociStitched
BGLAP	0	2_MACS_peak_1375_lociStitched
BHLHE40	1	3_MACS_peak_13884_lociStitched
BHLHE41	1	6_MACS_peak_4372_lociStitched
BLVRB	0	2_MACS_peak_10412_lociStitched,2_MACS_peak_10409_lociStitched
BMI1	0	4_MACS_peak_2386_lociStitched,2_MACS_peak_2390_lociStitched
BMPR1B	0	3_MACS_peak_15832_lociStitched
BNIP2	0	2_MACS_peak_6749_lociStitched
BNIPL	0	1_MACS_peak_1216_lociStitched
BOD1	0	1_MACS_peak_17415_lociStitched
BOLA1	0	1_MACS_peak_1184_lociStitched,1_MACS_peak_1182_lociStitched
BRAF	0	1_MACS_peak_19869_lociStitched
BRCA1	1	1_MACS_peak_8670_lociStitched
BRD2	0	1_MACS_peak_17926_lociStitched
BRD4	0	6_MACS_peak_10058_lociStitched
BRF2	0	1_MACS_peak_20234_lociStitched
BRP44	0	1_MACS_peak_1563_lociStitched
BRSK1	0	3_MACS_peak_10760_lociStitched
BTBD2	0	3_MACS_peak_9675_lociStitched
BTBD3	0	1_MACS_peak_12584_lociStitched
BTG1	0	3_MACS_peak_4852_lociStitched
BTG2	0	1_MACS_peak_1827_lociStitched,5_MACS_peak_1828_lociStitched,1_MACS_peak_1833_lociStitched
BZRAP1	0	5_MACS_peak_8859_lociStitched
BZW1	0	2_MACS_peak_12147_lociStitched
C10ORF78	0	2_MACS_peak_2989_lociStitched
C11ORF2	0	1_MACS_peak_3624_lociStitched
C11ORF24	0	4_MACS_peak_3762_lociStitched
C12ORF40	0	3_MACS_peak_4462_lociStitched
C12ORF5	0	9_MACS_peak_4205_lociStitched
C12ORF57	0	8_MACS_peak_4257_lociStitched
C12ORF61	0	1_MACS_peak_4728_lociStitched
C12ORF73	0	2_MACS_peak_4941_lociStitched
C14ORF145	0	2_MACS_peak_6117_lociStitched
C14ORF181	0	1_MACS_peak_5984_lociStitched
C14ORF182	0	1_MACS_peak_5843_lociStitched
C14ORF4	0	3_MACS_peak_6100_lociStitched
C14ORF49	0	5_MACS_peak_6239_lociStitched
C14ORF50	0	2_MACS_peak_5945_lociStitched
C14ORF80	0	1_MACS_peak_6326_lociStitched,2_MACS_peak_6327_lociStitched
C15ORF28	0	1_MACS_peak_6867_lociStitched
C15ORF55	0	3_MACS_peak_6461_lociStitched
C15ORF57	0	2_MACS_peak_6538_lociStitched
C16ORF55	0	1_MACS_peak_8109_lociStitched
C16ORF61	0	2_MACS_peak_7975_lociStitched
C16ORF7	0	1_MACS_peak_8109_lociStitched
C17ORF107	0	3_MACS_peak_8211_lociStitched
C17ORF44	0	2_MACS_peak_8289_lociStitched
C17ORF46	0	3_MACS_peak_8701_lociStitched
C17ORF59	0	5_MACS_peak_8274_lociStitched
C17ORF60	0	1_MACS_peak_8950_lociStitched
C17ORF68	0	2_MACS_peak_8289_lociStitched
C17ORF81	0	3_MACS_peak_8239_lociStitched,1_MACS_peak_8242_lociStitched
C19ORF20	0	2_MACS_peak_9594_lociStitched
C19ORF21	0	3_MACS_peak_9601_lociStitched
C19ORF22	0	1_MACS_peak_9605_lociStitched,2_MACS_peak_9606_lociStitched,1_MACS_peak_9608_lociStitched
C19ORF23	0	4_MACS_peak_9639_lociStitched,4_MACS_peak_9635_lociStitched
C19ORF24	0	4_MACS_peak_9639_lociStitched,4_MACS_peak_9635_lociStitched
C19ORF26	0	4_MACS_peak_9639_lociStitched,4_MACS_peak_9635_lociStitched
C19ORF34	0	1_MACS_peak_9671_lociStitched
C19ORF35	0	3_MACS_peak_9693_lociStitched,2_MACS_peak_9689_lociStitched
C19ORF39	0	2_MACS_peak_9931_lociStitched
C19ORF42	0	2_MACS_peak_10108_lociStitched
C19ORF43	0	2_MACS_peak_9977_lociStitched
C19ORF50	0	5_MACS_peak_10167_lociStitched
C19ORF55	0	5_MACS_peak_10304_lociStitched
C19ORF59	0	1_MACS_peak_9846_lociStitched
C19ORF6	0	5_MACS_peak_9615_lociStitched
C19ORF76	0	4_MACS_peak_10677_lociStitched,2_MACS_peak_10674_lociStitched
C1ORF192	0	1_MACS_peak_1490_lociStitched
C1ORF220	0	3_MACS_peak_1633_lociStitched,1_MACS_peak_1636_lociStitched
C1ORF27	0	1_MACS_peak_1715_lociStitched
C1ORF35	0	4_MACS_peak_2110_lociStitched
