From	To
ARID3B	ZNF775
ARID3B	ZNF791
ARID3B	ZXDA
ARID5A	AIRE
ARID5A	ARF1
ARID5A	ARID3B
ARID5A	ARID5A
ARID5A	ATF3
ARID5A	ATF6
ARID5A	BARX2
ARID5A	BCL6B
ARID5A	BHLHE41
ARID5A	CAMTA2
ARID5A	CHD2
ARID5A	CREB3L2
ARID5A	CTCF
ARID5A	CTCFL
ARID5A	DDIT3
ARID5A	DEAF1
ARID5A	E2F2
ARID5A	ELK3
ARID5A	ETS1
ARID5A	ETV3
ARID5A	FLI1
ARID5A	FOXO3
ARID5A	GFI1
ARID5A	HES1
ARID5A	HES6
ARID5A	HEY1
ARID5A	HEY2
ARID5A	HIVEP2
ARID5A	IKZF3
ARID5A	IRF1
ARID5A	IRF2
ARID5A	IRF4
ARID5A	IRF5
ARID5A	KLF13
ARID5A	KLF16
ARID5A	KLF2
ARID5A	KLF3
ARID5A	KLF6
ARID5A	MAFF
ARID5A	MAZ
ARID5A	MEF2C
ARID5A	MLX
ARID5A	MNT
ARID5A	MXI1
ARID5A	MYBL2
ARID5A	MYC
ARID5A	NFE2L2
ARID5A	NFE2L3
ARID5A	NFIL3
ARID5A	NFKB1
ARID5A	NR3C1
ARID5A	POU2F1
ARID5A	PRDM1
ARID5A	PRDM10
ARID5A	PRDM15
ARID5A	RARA
ARID5A	RARG
ARID5A	RUNX1
ARID5A	RUNX2
ARID5A	SMAD2
ARID5A	SMAD7
ARID5A	SP3
ARID5A	SREBF2
ARID5A	TCF3
ARID5A	TCF4
ARID5A	USF1
ARID5A	VDR
ARID5A	XBP1
ARID5A	ZBED6
ARID5A	ZBTB38
ARID5A	ZBTB7B
ARID5A	ZEB1
ARID5A	ZFP91
ARID5A	ZNF124
ARID5A	ZNF189
ARID5A	ZNF217
ARID5A	ZNF22
ARID5A	ZNF334
ARID5A	ZNF367
ARID5A	ZNF443
ARID5A	ZNF490
ARID5A	ZNF709
ARID5A	ZNF710
ARID5A	ZNF740
ARID5A	ZNF775
ARID5A	ZNF791
ARID5A	ZXDA
ATF3	AIRE
ATF3	ARF1
ATF3	ARID3A
ATF3	ARID3B
ATF3	ARID5A
ATF3	ATF3
ATF3	ATF4
ATF3	ATF6
ATF3	BACH2
ATF3	BARX2
ATF3	BCL6B
ATF3	BHLHE41
ATF3	CAMTA2
ATF3	CHD2
ATF3	CREB3L2
ATF3	CTCF
ATF3	CTCFL
ATF3	DDIT3
ATF3	DEAF1
ATF3	E2F2
ATF3	E2F3
ATF3	ELF2
ATF3	ELK3
ATF3	ETS1
ATF3	ETV3
ATF3	FLI1
ATF3	FOSL2
ATF3	FOXD4L5
ATF3	FOXO3
ATF3	FOXP2
ATF3	GFI1
ATF3	HBP1
ATF3	HES1
ATF3	HES6
ATF3	HEY1
ATF3	HEY2
ATF3	HIVEP2
ATF3	IKZF3
ATF3	IRF1
ATF3	IRF2
ATF3	IRF4
ATF3	IRF5
ATF3	JUN
ATF3	JUND
ATF3	KLF13
ATF3	KLF16
ATF3	KLF2
ATF3	KLF3
ATF3	KLF6
ATF3	KLF7
ATF3	KLF9
ATF3	MAFF
ATF3	MAZ
ATF3	MEF2C
ATF3	MEF2D
ATF3	MLX
ATF3	MNT
ATF3	MXI1
ATF3	MYBL2
ATF3	MYC
ATF3	MYNN
ATF3	NFE2L2
ATF3	NFE2L3
ATF3	NFIL3
ATF3	NFKB1
ATF3	NFKB2
ATF3	NR3C1
ATF3	NRF1
ATF3	PKNOX1
ATF3	POU2F1
ATF3	PRDM1
ATF3	PRDM10
ATF3	PRDM15
ATF3	RARA
ATF3	RARG
ATF3	RUNX1
ATF3	RUNX2
ATF3	SIN3A
ATF3	SMAD2
ATF3	SMAD7
ATF3	SP3
ATF3	SREBF2
ATF3	TBX6
ATF3	TCF3
ATF3	TCF4
ATF3	TFAP4
ATF3	USF1
ATF3	VDR
ATF3	VSX1
ATF3	XBP1
ATF3	ZBED6
ATF3	ZBTB38
ATF3	ZBTB7B
ATF3	ZEB1
ATF3	ZFP91
ATF3	ZNF124
ATF3	ZNF189
ATF3	ZNF212
ATF3	ZNF217
ATF3	ZNF22
ATF3	ZNF334
ATF3	ZNF367
ATF3	ZNF436
ATF3	ZNF443
ATF3	ZNF490
ATF3	ZNF709
ATF3	ZNF710
ATF3	ZNF740
ATF3	ZNF775
ATF3	ZNF791
ATF3	ZXDA
ATF4	AIRE
ATF4	ARF1
ATF4	ARID3B
ATF4	ARID5A
ATF4	ATF3
ATF4	ATF6
ATF4	BACH2
ATF4	BARX2
ATF4	BCL6B
ATF4	BHLHE41
ATF4	CHD2
ATF4	CTCF
ATF4	CTCFL
ATF4	DDIT3
ATF4	E2F2
ATF4	E2F3
ATF4	ETS1
ATF4	ETV3
ATF4	FLI1
ATF4	FOSL2
ATF4	FOXO3
ATF4	FOXP2
ATF4	GFI1
ATF4	HBP1
ATF4	HES1
ATF4	HES6
ATF4	HEY1
ATF4	HEY2
ATF4	HIVEP2
ATF4	IRF1
ATF4	IRF2
ATF4	IRF4
ATF4	IRF5
ATF4	JUN
ATF4	JUND
ATF4	KLF13
ATF4	KLF16
ATF4	KLF2
ATF4	KLF3
ATF4	KLF6
ATF4	KLF7
ATF4	KLF9
ATF4	MAZ
ATF4	MEF2C
ATF4	MEF2D
ATF4	MLX
ATF4	MNT
ATF4	MXI1
ATF4	MYBL2
ATF4	MYC
ATF4	MYNN
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	NFIL3
ATF4	NFKB1
ATF4	NR3C1
ATF4	NRF1
ATF4	PKNOX1
ATF4	POU2F1
ATF4	PRDM1
ATF4	PRDM10
ATF4	PRDM15
ATF4	RARA
ATF4	RARG
ATF4	RUNX1
ATF4	RUNX2
ATF4	SIN3A
ATF4	SMAD2
ATF4	SMAD7
ATF4	SREBF2
ATF4	TBX6
ATF4	TCF3
ATF4	TCF4
ATF4	TFAP4
ATF4	VDR
ATF4	XBP1
ATF4	ZBED6
ATF4	ZBTB38
ATF4	ZBTB7B
ATF4	ZEB1
ATF4	ZFP91
ATF4	ZNF124
ATF4	ZNF189
ATF4	ZNF212
ATF4	ZNF217
ATF4	ZNF22
ATF4	ZNF334
ATF4	ZNF367
ATF4	ZNF443
ATF4	ZNF490
ATF4	ZNF709
ATF4	ZNF710
ATF4	ZNF740
ATF4	ZNF775
ATF4	ZNF791
ATF4	ZXDA
ATF6	ARF1
ATF6	ARID3B
ATF6	ATF6
ATF6	BACH2
ATF6	BARX2
ATF6	BCL6B
ATF6	BHLHE41
ATF6	CREB3L2
ATF6	CTCF
ATF6	CTCFL
ATF6	DEAF1
ATF6	E2F2
ATF6	E2F3
ATF6	ELF2
ATF6	ETV3
ATF6	FLI1
ATF6	FOSL2
ATF6	FOXO3
ATF6	FOXP2
ATF6	HEY2
ATF6	HIVEP2
ATF6	IRF1
ATF6	IRF2
ATF6	JUND
ATF6	KLF13
ATF6	KLF16
ATF6	KLF2
ATF6	MAZ
ATF6	MEF2C
ATF6	MEF2D
ATF6	MNT
ATF6	MXI1
ATF6	MYC
ATF6	NFE2L3
ATF6	NFKB2
ATF6	NR3C1
ATF6	NRF1
ATF6	PRDM1
ATF6	RARA
ATF6	SIN3A
ATF6	SMAD7
ATF6	SREBF2
ATF6	TBX6
ATF6	TCF3
ATF6	VDR
ATF6	VSX1
ATF6	XBP1
ATF6	ZBED6
ATF6	ZBTB38
ATF6	ZBTB7B
ATF6	ZEB1
ATF6	ZNF189
ATF6	ZNF367
ATF6	ZNF490
ATF6	ZNF775
ATF6	ZNF791
ATF6	ZXDA
BACH2	AIRE
BACH2	ARF1
BACH2	ARID3B
BACH2	ARID5A
BACH2	ATF3
BACH2	ATF4
BACH2	BACH2
BACH2	BARX2
BACH2	BCL6B
BACH2	BHLHE41
BACH2	CAMTA2
BACH2	CHD2
BACH2	CREB3L2
BACH2	CTCF
BACH2	CTCFL
BACH2	DDIT3
BACH2	E2F2
BACH2	E2F3
BACH2	ELF2
BACH2	ELK3
BACH2	ETS1
BACH2	ETV3
BACH2	FLI1
BACH2	FOSL2
BACH2	FOXO3
BACH2	FOXP2
BACH2	GFI1
BACH2	HBP1
BACH2	HES1
BACH2	HES6
BACH2	HIVEP2
BACH2	IKZF3
BACH2	IRF1
BACH2	IRF2
BACH2	IRF4
BACH2	JUN
BACH2	KLF13
BACH2	KLF6
BACH2	KLF9
BACH2	MEF2C
BACH2	MEF2D
BACH2	MNT
BACH2	MXI1
BACH2	MYBL2
BACH2	MYC
BACH2	MYNN
BACH2	NFE2L3
BACH2	NFIL3
BACH2	NFKB1
BACH2	NFKB2
BACH2	POU2F1
BACH2	PRDM1
BACH2	PRDM10
BACH2	PRDM15
BACH2	RARA
BACH2	RARG
BACH2	RUNX1
BACH2	SMAD7
BACH2	SP3
BACH2	SREBF2
BACH2	TBX6
BACH2	TCF3
BACH2	TCF4
BACH2	USF1
BACH2	VDR
BACH2	VSX1
BACH2	XBP1
BACH2	ZBED6
BACH2	ZBTB38
BACH2	ZBTB7B
BACH2	ZFP91
BACH2	ZNF124
BACH2	ZNF189
BACH2	ZNF217
BACH2	ZNF22
BACH2	ZNF436
BACH2	ZNF443
BACH2	ZNF490
BACH2	ZNF709
BACH2	ZNF710
BACH2	ZNF740
BACH2	ZNF775
BACH2	ZNF791
BACH2	ZXDA
BARX2	AIRE
BARX2	ARID3B
BARX2	ARID5A
BARX2	ATF6
BARX2	BACH2
BARX2	BARX2
BARX2	BHLHE41
BARX2	CHD2
BARX2	CREB3L2
BARX2	CTCF
BARX2	CTCFL
BARX2	DEAF1
BARX2	E2F2
BARX2	ELK3
BARX2	ETS1
BARX2	FLI1
BARX2	FOXO3
BARX2	FOXP2
BARX2	GFI1
BARX2	HBP1
BARX2	HES1
BARX2	HES6
BARX2	HEY1
BARX2	HEY2
BARX2	HIVEP2
BARX2	IKZF3
BARX2	IRF1
BARX2	IRF2
BARX2	IRF4
BARX2	JUND
BARX2	KLF13
BARX2	KLF2
BARX2	KLF3
BARX2	KLF6
BARX2	MAFF
BARX2	MEF2C
BARX2	MEF2D
BARX2	MNT
BARX2	MXI1
BARX2	MYBL2
BARX2	MYC
BARX2	NFE2L2
BARX2	NFE2L3
BARX2	NFIL3
BARX2	NFKB1
BARX2	NR3C1
BARX2	NRF1
BARX2	POU2F1
BARX2	PRDM1
BARX2	PRDM15
BARX2	RARA
BARX2	RARG
BARX2	RUNX1
BARX2	RUNX2
BARX2	SIN3A
BARX2	SMAD7
BARX2	SP3
BARX2	SREBF2
BARX2	TCF3
BARX2	TCF4
BARX2	VDR
BARX2	XBP1
BARX2	ZBTB38
BARX2	ZBTB7B
BARX2	ZEB1
BARX2	ZFP91
BARX2	ZNF124
BARX2	ZNF189
BARX2	ZNF217
BARX2	ZNF22
BARX2	ZNF334
BARX2	ZNF367
BARX2	ZNF436
BARX2	ZNF443
BARX2	ZNF490
BARX2	ZNF709
BARX2	ZNF710
BARX2	ZNF740
BARX2	ZNF775
BARX2	ZNF791
BARX2	ZXDA
BCL6B	AIRE
BCL6B	ARF1
BCL6B	ARID3A
BCL6B	ARID3B
BCL6B	ARID5A
BCL6B	ATF3
BCL6B	ATF4
BCL6B	ATF6
BCL6B	BACH2
BCL6B	BARX2
BCL6B	BCL6B
BCL6B	BHLHE41
BCL6B	CAMTA2
BCL6B	CHD2
BCL6B	CREB3L2
BCL6B	CTCF
BCL6B	CTCFL
BCL6B	DDIT3
BCL6B	DEAF1
BCL6B	E2F2
BCL6B	E2F3
BCL6B	ELF2
BCL6B	ELK3
BCL6B	ETS1
BCL6B	ETV3
BCL6B	FLI1
BCL6B	FOSL2
BCL6B	FOXD4L5
BCL6B	FOXO3
BCL6B	FOXP2
BCL6B	GFI1
BCL6B	HBP1
BCL6B	HES1
BCL6B	HES6
BCL6B	HEY1
BCL6B	HEY2
BCL6B	HIVEP2
BCL6B	IKZF3
BCL6B	IRF1
BCL6B	IRF2
BCL6B	IRF4
BCL6B	IRF5
BCL6B	JUN
BCL6B	JUND
BCL6B	KLF13
BCL6B	KLF16
BCL6B	KLF2
BCL6B	KLF3
BCL6B	KLF6
BCL6B	KLF7
BCL6B	KLF9
BCL6B	MAFF
BCL6B	MAZ
BCL6B	MEF2C
BCL6B	MEF2D
BCL6B	MLX
BCL6B	MNT
BCL6B	MXI1
BCL6B	MYBL2
BCL6B	MYC
BCL6B	MYNN
BCL6B	NFE2L2
BCL6B	NFE2L3
BCL6B	NFIL3
BCL6B	NFKB1
BCL6B	NFKB2
BCL6B	NR3C1
BCL6B	NRF1
BCL6B	PKNOX1
BCL6B	POU2F1
BCL6B	PRDM1
BCL6B	PRDM10
BCL6B	PRDM15
BCL6B	RARA
BCL6B	RARG
BCL6B	RUNX1
BCL6B	RUNX2
BCL6B	SIN3A
BCL6B	SMAD2
BCL6B	SMAD7
BCL6B	SP3
BCL6B	SREBF2
BCL6B	TBX6
BCL6B	TCF3
BCL6B	TCF4
BCL6B	TFAP4
BCL6B	USF1
BCL6B	VDR
BCL6B	VSX1
BCL6B	XBP1
BCL6B	ZBTB38
BCL6B	ZBTB7B
BCL6B	ZEB1
BCL6B	ZFP91
BCL6B	ZNF124
BCL6B	ZNF189
BCL6B	ZNF212
BCL6B	ZNF217
BCL6B	ZNF22
BCL6B	ZNF334
BCL6B	ZNF367
BCL6B	ZNF436
BCL6B	ZNF443
BCL6B	ZNF490
BCL6B	ZNF709
BCL6B	ZNF710
BCL6B	ZNF740
BCL6B	ZNF775
BCL6B	ZNF791
BCL6B	ZXDA
BHLHE41	AIRE
BHLHE41	ATF3
BHLHE41	ATF4
BHLHE41	BACH2
BHLHE41	BCL6B
BHLHE41	BHLHE41
BHLHE41	CAMTA2
BHLHE41	CREB3L2
BHLHE41	CTCF
BHLHE41	CTCFL
BHLHE41	DDIT3
BHLHE41	DEAF1
BHLHE41	E2F3
BHLHE41	FOXO3
BHLHE41	FOXP2
BHLHE41	GFI1
