From	To
ATF4	ATF4
ATF4	ATF5
ATF4	ATF6
ATF4	BCL6B
ATF4	BHLHE22
ATF4	CAMTA1
ATF4	CAMTA2
ATF4	CHD2
ATF4	CREB3L4
ATF4	CTCFL
ATF4	CUX1
ATF4	DBP
ATF4	E2F1
ATF4	E2F2
ATF4	E2F3
ATF4	E2F4
ATF4	E2F6
ATF4	ELF2
ATF4	ETS1
ATF4	ETV6
ATF4	FEZF1
ATF4	FHL1
ATF4	FIZ1
ATF4	FLI1
ATF4	FOSB
ATF4	FOXH1
ATF4	FOXO3
ATF4	FOXO4
ATF4	FOXR1
ATF4	HDAC1
ATF4	HEY1
ATF4	HSF4
ATF4	ID1
ATF4	IKZF3
ATF4	IRF1
ATF4	IRF2
ATF4	IRF3
ATF4	IRF4
ATF4	JUNB
ATF4	KLF1
ATF4	KLF10
ATF4	KLF13
ATF4	KLF16
ATF4	KLF3
ATF4	KLF6
ATF4	KLF9
ATF4	LTF
ATF4	MAF
ATF4	MAFF
ATF4	MAFG
ATF4	MAZ
ATF4	MEF2D
ATF4	MLX
ATF4	MNX1
ATF4	MYBL2
ATF4	MYC
ATF4	MZF1
ATF4	NFATC2
ATF4	NFE2
ATF4	NFE2L1
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	NFIX
ATF4	NFKB1
ATF4	NR1D1
ATF4	NR3C1
ATF4	PBX2
ATF4	PLAGL1
ATF4	POU2F1
ATF4	PRDM1
ATF4	PRDM5
ATF4	RARA
ATF4	RARG
ATF4	RELB
ATF4	RUNX2
ATF4	RUNX3
ATF4	RXRA
ATF4	SMAD7
ATF4	SNAI3
ATF4	SOX11
ATF4	SP1
ATF4	SREBF1
ATF4	STAT1
ATF4	TBX6
ATF4	TCF3
ATF4	TCF4
ATF4	TCFL5
ATF4	XBP1
ATF4	ZBTB33
ATF4	ZBTB38
ATF4	ZBTB7B
ATF4	ZFP62
ATF4	ZFP91
ATF4	ZNF114
ATF4	ZNF189
ATF4	ZNF217
ATF4	ZNF22
ATF4	ZNF267
ATF4	ZNF296
ATF4	ZNF341
ATF4	ZNF524
ATF4	ZNF580
ATF4	ZNF581
ATF4	ZNF688
