From	To
ARID3B	PAX5
ARID3B	PBX2
ARID3B	POU2F2
ARID3B	PPARD
ARID3B	PRDM1
ARID3B	PRDM10
ARID3B	PRDM14
ARID3B	PRDM5
ARID3B	RARA
ARID3B	REL
ARID3B	RELA
ARID3B	RERE
ARID3B	RFX1
ARID3B	RFX3
ARID3B	RREB1
ARID3B	RUNX1
ARID3B	RXRB
ARID3B	SF1
ARID3B	SIN3A
ARID3B	SMAD3
ARID3B	SMAD7
ARID3B	SP100
ARID3B	TCF12
ARID3B	TFEB
ARID3B	XBP1
ARID3B	ZBTB1
ARID3B	ZBTB20
ARID3B	ZBTB32
ARID3B	ZBTB38
ARID3B	ZBTB7A
ARID3B	ZBTB7B
ARID3B	ZFP62
ARID3B	ZFP91
ARID3B	ZNF143
ARID3B	ZNF217
ARID3B	ZNF283
ARID3B	ZNF574
ARID3B	ZNF689
ARID3B	ZNF76
ARID3B	ZNF775
ARID3B	ZNF860
ATF4	ARF1
ATF4	ARF4
ATF4	ARID3A
ATF4	ARID3B
ATF4	ATF4
ATF4	BACH1
ATF4	BCL11A
ATF4	BCL6B
ATF4	BCLAF1
ATF4	BHLHE41
ATF4	BRCA1
ATF4	CAMTA2
ATF4	CEBPB
ATF4	CEBPG
ATF4	CHD2
ATF4	CREB1
ATF4	CREB3L2
ATF4	CTCF
ATF4	CTCFL
ATF4	CUX1
ATF4	DDIT3
ATF4	ELF1
ATF4	ELK4
ATF4	ERF
ATF4	ESR1
ATF4	ESRRA
ATF4	ESRRG
ATF4	ETS1
ATF4	ETV6
ATF4	FLI1
ATF4	FOSB
ATF4	FOXD4L5
ATF4	FOXN3
ATF4	FOXO3
ATF4	FOXP2
ATF4	FOXR1
ATF4	GZF1
ATF4	HAP1
ATF4	HES7
ATF4	HEY1
ATF4	HEY2
ATF4	HIVEP2
ATF4	IKZF1
ATF4	IKZF3
ATF4	IRF1
ATF4	IRF2
ATF4	IRF3
ATF4	IRF4
ATF4	JUN
ATF4	JUNB
ATF4	JUND
ATF4	KLF10
ATF4	KLF13
ATF4	KLF16
ATF4	KLF2
ATF4	KLF3
ATF4	KLF6
ATF4	KLF7
ATF4	MAF
ATF4	MEF2B
ATF4	MEF2C
ATF4	MEF2D
ATF4	MNT
ATF4	MXD1
