GENE	TF	ENHANCER_LIST
B4GALT3	0	2_MACS_peak_1754_lociStitched,1_MACS_peak_1753_lociStitched
BACH2	1	1_MACS_peak_24881_lociStitched
BAD	0	1_MACS_peak_5014_lociStitched
BAG1	0	1_MACS_peak_28786_lociStitched
BAMBI	0	1_MACS_peak_3326_lociStitched,2_MACS_peak_3324_lociStitched
BAT5	0	1_MACS_peak_24298_lociStitched
BAX	0	1_MACS_peak_14540_lociStitched
BAZ2A	0	3_MACS_peak_6562_lociStitched
BCAS3	0	1_MACS_peak_12394_lociStitched
BCAT1	0	1_MACS_peak_6155_lociStitched
BCL2	0	1_MACS_peak_13393_lociStitched
BCL2L12	0	2_MACS_peak_14572_lociStitched
BCOR	0	1_MACS_peak_30097_lociStitched,1_MACS_peak_30092_lociStitched
BCR	0	2_MACS_peak_18376_lociStitched
BEST2	0	1_MACS_peak_13875_lociStitched
BET1L	0	1_MACS_peak_4346_lociStitched
BFSP2	0	2_MACS_peak_20079_lociStitched
BGLAP	0	2_MACS_peak_1657_lociStitched,1_MACS_peak_1656_lociStitched,1_MACS_peak_1660_lociStitched
BIN2	0	2_MACS_peak_6436_lociStitched
BIRC5	0	1_MACS_peak_12670_lociStitched
BLK	0	1_MACS_peak_27287_lociStitched
BLOC1S3	0	1_MACS_peak_14423_lociStitched
BMF	0	1_MACS_peak_9362_lociStitched,1_MACS_peak_9359_lociStitched,3_MACS_peak_9363_lociStitched
BMI1	0	4_MACS_peak_3244_lociStitched,2_MACS_peak_3248_lociStitched
BMP8B	0	2_MACS_peak_664_lociStitched
BNIPL	0	1_MACS_peak_1503_lociStitched
BOLA1	0	1_MACS_peak_1466_lociStitched,1_MACS_peak_1464_lociStitched,1_MACS_peak_1465_lociStitched
BRD2	0	1_MACS_peak_24330_lociStitched
BRP44	0	1_MACS_peak_1885_lociStitched
BST2	0	1_MACS_peak_14018_lociStitched
BTG2	0	1_MACS_peak_2361_lociStitched
BTLA	0	4_MACS_peak_19841_lociStitched
BTN1A1	0	2_MACS_peak_24174_lociStitched
BTN2A2	0	4_MACS_peak_24156_lociStitched
BTN3A1	0	4_MACS_peak_24156_lociStitched
BTN3A2	0	4_MACS_peak_24156_lociStitched
BUB3	0	3_MACS_peak_4235_lociStitched
BZRAP1	0	1_MACS_peak_12324_lociStitched
C10ORF108	0	2_MACS_peak_2962_lociStitched
C11ORF10	0	1_MACS_peak_4923_lociStitched
C11ORF2	0	2_MACS_peak_5039_lociStitched
C11ORF20	0	1_MACS_peak_5014_lociStitched
C11ORF82	0	3_MACS_peak_5366_lociStitched
C11ORF9	0	1_MACS_peak_4923_lociStitched
C12ORF5	0	1_MACS_peak_5950_lociStitched
C12ORF57	0	3_MACS_peak_5992_lociStitched
C12ORF60	0	1_MACS_peak_6099_lociStitched
C12ORF61	0	1_MACS_peak_6612_lociStitched
C12ORF69	0	1_MACS_peak_6099_lociStitched
C12ORF77	0	1_MACS_peak_6155_lociStitched
C14ORF181	0	1_MACS_peak_8636_lociStitched
C14ORF4	0	1_MACS_peak_8769_lociStitched,3_MACS_peak_8771_lociStitched
C14ORF48	0	3_MACS_peak_8940_lociStitched,3_MACS_peak_8948_lociStitched,3_MACS_peak_8937_lociStitched
C14ORF49	0	1_MACS_peak_8967_lociStitched
C14ORF50	0	1_MACS_peak_8538_lociStitched
C14ORF86	0	3_MACS_peak_8940_lociStitched,3_MACS_peak_8937_lociStitched
C15ORF28	0	1_MACS_peak_9776_lociStitched
C16ORF53	0	2_MACS_peak_10730_lociStitched
C16ORF58	0	1_MACS_peak_10803_lociStitched
C16ORF61	0	1_MACS_peak_11204_lociStitched
