ATF3	0.3565217391304348
BCL6B	0.6826086956521739
CEBPB	0.0782608695652174
CHD2	0.08695652173913043
FOSB	0.05217391304347826
HBP1	0.15217391304347827
IRF2	0.10434782608695652
JUN	0.1
JUNB	0.2565217391304348
JUND	0.3739130434782609
KLF13	0.030434782608695653
KLF2	0.26956521739130435
KLF6	0.06086956521739131
KLF7	0.1391304347826087
KLF9	0.20434782608695654
MEF2A	0.41739130434782606
MYBL2	0.13043478260869565
NFE2L1	0.11304347826086956
NFE2L2	0.1
NFKB2	0.1391304347826087
NR4A2	0.2956521739130435
POU5F1	0.24347826086956523
RFX1	0.2956521739130435
RFX3	0.21739130434782608
SP2	0.19130434782608696
SP3	0.12608695652173912
TBP	0.3782608695652174
VEZF1	0.11304347826086956
ZFP91	0.20434782608695654
ZNF250	0.5347826086956522
ZNF335	0.07391304347826087
ZNF483	0.06956521739130435
ZNF580	0.1391304347826087
ZNF595	0.10434782608695652
ZNF623	0.021739130434782608
ZNF718	0.05652173913043478
