Symbol,Type,Cell
MIAT,up,MM1S
MICAL2,up,MM1S
MICALL1,up,MM1S
MIR1204,up,MM1S
MIR3654,up,MM1S
MKL1,up,MM1S
MKNK2,up,MM1S
MKRN1,up,MM1S
MMP9,up,MM1S
MOAP1,up,MM1S
MOB2,up,MM1S
MPG,up,MM1S
MPST,up,MM1S
MR1,up,MM1S
MRPL14,up,MM1S
MTMR14,up,MM1S
MTRNR2L1,up,MM1S
MTURN,up,MM1S
MVP,up,MM1S
MX1,up,MM1S
MXD4,up,MM1S
MXI1,up,MM1S
MYCL,up,MM1S
MYO1F,up,MM1S
MYOM2,up,MM1S
NAGPA,up,MM1S
NAV2,up,MM1S
NBR1,up,MM1S
NCF2,up,MM1S
NCF4,up,MM1S
NCK2,up,MM1S
NCKAP1L,up,MM1S
NCOR2,up,MM1S
NDUFC1,up,MM1S
NEAT1,up,MM1S
NECAP2,up,MM1S
NEK6,up,MM1S
NEK9,up,MM1S
NFATC1,up,MM1S
NLRP1,up,MM1S
NMRK1,up,MM1S
NPC2,up,MM1S
NR1D1,up,MM1S
NR1D2,up,MM1S
NT5E,up,MM1S
NUAK1,up,MM1S
NUB1,up,MM1S
NUDT4,up,MM1S
NUGGC,up,MM1S
NXPE3,up,MM1S
ORAI2,up,MM1S
ORAI3,up,MM1S
OSBPL2,up,MM1S
OST4,up,MM1S
OTUD5,up,MM1S
OXLD1,up,MM1S
PACS1,up,MM1S
PALD1,up,MM1S
PARP10,up,MM1S
PARP3,up,MM1S
PBXIP1,up,MM1S
PCDH1,up,MM1S
PCMTD2,up,MM1S
PDCD4,up,MM1S
PDE1B,up,MM1S
PDK2,up,MM1S
PEAK1,up,MM1S
PEPD,up,MM1S
PEX6,up,MM1S
PGLS,up,MM1S
PHF21A,up,MM1S
PHLDA1,up,MM1S
PIK3CG,up,MM1S
PIK3IP1,up,MM1S
PIM1,up,MM1S
PINK1,up,MM1S
PIP5KL1,up,MM1S
PITPNC1,up,MM1S
PITX1,up,MM1S
PKDCC,up,MM1S
PLA2G15,up,MM1S
PLD3,up,MM1S
PLEC,up,MM1S
PLEKHB1,up,MM1S
PLEKHM1,up,MM1S
PLEKHM2,up,MM1S
PLEKHO1,up,MM1S
PLK2,up,MM1S
PLXNB2,up,MM1S
PML,up,MM1S
PNPLA2,up,MM1S
PNPLA6,up,MM1S
PNRC1,up,MM1S
POLD4,up,MM1S
POLL,up,MM1S
POLR3GL,up,MM1S
PORCN,up,MM1S
PPM1H,up,MM1S
PPP1R16B,up,MM1S
PPP1R9B,up,MM1S
PRKACB,up,MM1S
PSAP,up,MM1S
PSD4,up,MM1S
PSEN2,up,MM1S
PSKH1,up,MM1S
PVRL1,up,MM1S
PVT1,up,MM1S
PYCARD,up,MM1S
QARS,up,MM1S
R3HDM2,up,MM1S
RAB20,up,MM1S
RAB5B,up,MM1S
RALGDS,up,MM1S
RALGPS2,up,MM1S
RANBP10,up,MM1S
RAPGEF1,up,MM1S
RARA,up,MM1S
RASA1,up,MM1S
RASAL3,up,MM1S
RASSF2,up,MM1S
RASSF4,up,MM1S
RASSF6,up,MM1S
RBCK1,up,MM1S
RBM38,up,MM1S
RENBP,up,MM1S
REPIN1,up,MM1S
RERE,up,MM1S
RFX7,up,MM1S
RGL1,up,MM1S
RGS1,up,MM1S
RHOB,up,MM1S
RHOBTB2,up,MM1S
RHOH,up,MM1S
RLTPR,up,MM1S
RNF146,up,MM1S
RNF19A,up,MM1S
RNF213,up,MM1S
RNF44,up,MM1S
RPL10,up,MM1S
RPL10A,up,MM1S
RPL11,up,MM1S
RPL12,up,MM1S
RPL13,up,MM1S
RPL13A,up,MM1S
RPL13AP5,up,MM1S
RPL14,up,MM1S
RPL18,up,MM1S
RPL18A,up,MM1S
RPL19,up,MM1S
RPL23,up,MM1S
RPL23P8,up,MM1S
RPL24,up,MM1S
RPL27A,up,MM1S
RPL28,up,MM1S
RPL29,up,MM1S
RPL3,up,MM1S
RPL30,up,MM1S
RPL31,up,MM1S
RPL32,up,MM1S
RPL34,up,MM1S
RPL35A,up,MM1S
RPL36,up,MM1S
RPL37,up,MM1S
RPL37A,up,MM1S
RPL4,up,MM1S
RPL6,up,MM1S
RPL7A,up,MM1S
RPL9,up,MM1S
RPLP0,up,MM1S
RPLP1,up,MM1S
RPLP2,up,MM1S
RPS11,up,MM1S
RPS12,up,MM1S
RPS13,up,MM1S
RPS14,up,MM1S
RPS14P3,up,MM1S
RPS15,up,MM1S
RPS15A,up,MM1S
RPS16,up,MM1S
RPS17,up,MM1S
RPS18,up,MM1S
RPS19,up,MM1S
RPS2,up,MM1S
RPS20,up,MM1S
RPS21,up,MM1S
RPS23,up,MM1S
RPS25,up,MM1S
RPS27L,up,MM1S
RPS28,up,MM1S
RPS3,up,MM1S
RPS4X,up,MM1S
RPS5,up,MM1S
RPS6,up,MM1S
RPS6KA1,up,MM1S
RPS7,up,MM1S
RPS8,up,MM1S
RPS9,up,MM1S
RPSA,up,MM1S
RRNAD1,up,MM1S
RXRB,up,MM1S
S1PR2,up,MM1S
SASH3,up,MM1S
SAT2,up,MM1S
SATB1,up,MM1S
SBF1,up,MM1S
SCAMP5,up,MM1S
SCAND1,up,MM1S
SCN3A,up,MM1S
SCNN1B,up,MM1S
SCNN1G,up,MM1S
SCPEP1,up,MM1S
SDC2,up,MM1S
SEC14L1,up,MM1S
SEMA4B,up,MM1S
SEMA4D,up,MM1S
SEPW1,up,MM1S
SERF2,up,MM1S
SERPINI1,up,MM1S
SESN1,up,MM1S
SGK1,up,MM1S
SGPL1,up,MM1S
SGSH,up,MM1S
SH3RF3,up,MM1S
SHISA5,up,MM1S
SIDT2,up,MM1S
SIK3,up,MM1S
SKAP1,up,MM1S
SLC16A3,up,MM1S
SLC25A23,up,MM1S
SLC35E1,up,MM1S
SLC35E2B,up,MM1S
SLC41A3,up,MM1S
SLC43A2,up,MM1S
SLC48A1,up,MM1S
SLC6A6,up,MM1S
SLC7A6,up,MM1S
SLC9A9,up,MM1S
SLFN5,up,MM1S
SMAP2,up,MM1S
SMDT1,up,MM1S
SNCAIP,up,MM1S
SNHG19,up,MM1S
SNHG5,up,MM1S
SNHG6,up,MM1S
SNHG8,up,MM1S
SNN,up,MM1S
SNX18,up,MM1S
SNX20,up,MM1S
SNX30,up,MM1S
SORL1,up,MM1S
SOX4,up,MM1S
SPI1,up,MM1S
SPINK2,up,MM1S
SPPL2B,up,MM1S
SPRED1,up,MM1S
SPSB3,up,MM1S
SSH1,up,MM1S
STAT6,up,MM1S
STK10,up,MM1S
STK11,up,MM1S
STK17A,up,MM1S
SUFU,up,MM1S
SULF2,up,MM1S
SUMF1,up,MM1S
SUMF2,up,MM1S
SUN2,up,MM1S
SURF1,up,MM1S
SUSD3,up,MM1S
SYF2,up,MM1S
SYVN1,up,MM1S
TADA2B,up,MM1S
TADA3,up,MM1S
TAF10,up,MM1S
TAPBPL,up,MM1S
TBC1D17,up,MM1S
TBC1D25,up,MM1S
TBC1D5,up,MM1S
TCTA,up,MM1S
TDRKH,up,MM1S
TECPR1,up,MM1S
TEKT4P2,up,MM1S
TIGIT,up,MM1S
TK2,up,MM1S
TLE3,up,MM1S
TMBIM1,up,MM1S
TMC8,up,MM1S
TMEM127,up,MM1S
TMEM134,up,MM1S
TMEM140,up,MM1S
TMEM229B,up,MM1S
TMEM255A,up,MM1S
TMEM255B,up,MM1S
TMEM42,up,MM1S
TMEM63B,up,MM1S
TNFRSF10B,up,MM1S
TNFRSF14,up,MM1S
TNFSF9,up,MM1S
TNS3,up,MM1S
TOMM7,up,MM1S
TOP1MT,up,MM1S
TOR4A,up,MM1S
TOX2,up,MM1S
TP53I11,up,MM1S
TP53INP1,up,MM1S
TP53TG1,up,MM1S
TPCN1,up,MM1S
TPGS1,up,MM1S
TPP1,up,MM1S
TPRG1L,up,MM1S
TPST2,up,MM1S
TRADD,up,MM1S
TRAF5,up,MM1S
TRAPPC5,up,MM1S
TRAPPC6A,up,MM1S
TRIB2,up,MM1S
TRIM41,up,MM1S
TRPV2,up,MM1S
TSC22D3,up,MM1S
TSC22D4,up,MM1S
TSPAN17,up,MM1S
TSPO,up,MM1S
TSTD1,up,MM1S
TWF2,up,MM1S
TXNIP,up,MM1S
UBA52,up,MM1S
UBALD1,up,MM1S
UBE2L6,up,MM1S
UBXN6,up,MM1S
UCP2,up,MM1S
ULK1,up,MM1S
UNC119,up,MM1S
UNC93B1,up,MM1S
USE1,up,MM1S
USF2,up,MM1S
USP20,up,MM1S
USP53,up,MM1S
VAMP2,up,MM1S
VAV1,up,MM1S
VPS11,up,MM1S
VPS28,up,MM1S
VPS51,up,MM1S
WBP1L,up,MM1S
WDR11,up,MM1S
WDR13,up,MM1S
WDR26,up,MM1S
WDR45,up,MM1S
WDR81,up,MM1S
WDTC1,up,MM1S
WIPI2,up,MM1S
WNT10A,up,MM1S
WNT5B,up,MM1S
XPC,up,MM1S
YPEL3,up,MM1S
YPEL5,up,MM1S
ZBED6CL,up,MM1S
ZBTB18,up,MM1S
ZBTB7B,up,MM1S
ZDHHC14,up,MM1S
ZER1,up,MM1S
ZFAS1,up,MM1S
ZFP36L2,up,MM1S
ZMIZ2,up,MM1S
ZNF189,up,MM1S
ZNF358,up,MM1S
ZNF521,up,MM1S
ZNF580,up,MM1S
ZNF581,up,MM1S
ZNF740,up,MM1S
ZP3,up,MM1S
ZSWIM8,up,MM1S
ABHD12,down,RPMI8226
ACAT2,down,RPMI8226
AFAP1L2,down,RPMI8226
AGTR1,down,RPMI8226
AK2,down,RPMI8226
ALDH1B1,down,RPMI8226
ALKBH2,down,RPMI8226
ANKRD39,down,RPMI8226
ARHGEF3,down,RPMI8226
ATF4,down,RPMI8226
AUNIP,down,RPMI8226
BNIP3,down,RPMI8226
BRIX1,down,RPMI8226
BSPRY,down,RPMI8226
BTG3,down,RPMI8226
BYSL,down,RPMI8226
C12orf45,down,RPMI8226
C12orf75,down,RPMI8226
C19orf24,down,RPMI8226
C20orf27,down,RPMI8226
C8orf59,down,RPMI8226
CAPN2,down,RPMI8226
CAV1,down,RPMI8226
CCDC58,down,RPMI8226
CCDC59,down,RPMI8226
CCND1,down,RPMI8226
CCND2,down,RPMI8226
CDKN1A,down,RPMI8226
CENPV,down,RPMI8226
CEP128,down,RPMI8226
CFD,down,RPMI8226
CHORDC1,down,RPMI8226
CHPT1,down,RPMI8226
CISD3,down,RPMI8226
CKB,down,RPMI8226
COQ3,down,RPMI8226
CRY1,down,RPMI8226
CTU2,down,RPMI8226
CYP51A1,down,RPMI8226
DAPP1,down,RPMI8226
DCUN1D5,down,RPMI8226
DDN,down,RPMI8226
DHCR7,down,RPMI8226
DUSP2,down,RPMI8226
EEF2KMT,down,RPMI8226
EIF4EBP1,down,RPMI8226
ELFN1-AS1,down,RPMI8226
EMG1,down,RPMI8226
ENO1,down,RPMI8226
ESD,down,RPMI8226
ESF1,down,RPMI8226
ESRP1,down,RPMI8226
ETV4,down,RPMI8226
EXOSC1,down,RPMI8226
EXOSC3,down,RPMI8226
EXOSC4,down,RPMI8226
FABP5,down,RPMI8226
FADS1,down,RPMI8226
FAM207A,down,RPMI8226
FAM222A-AS1,down,RPMI8226
FAM35A,down,RPMI8226
FASN,down,RPMI8226
FBXW9,down,RPMI8226
FDFT1,down,RPMI8226
FDX1L,down,RPMI8226
FHL1,down,RPMI8226
FJX1,down,RPMI8226
FKBP4,down,RPMI8226
FMNL2,down,RPMI8226
FNDC3A,down,RPMI8226
GADD45B,down,RPMI8226
GALM,down,RPMI8226
GAR1,down,RPMI8226
GEMIN5,down,RPMI8226
GINS1,down,RPMI8226
GJA1,down,RPMI8226
GLTP,down,RPMI8226
GNL3,down,RPMI8226
GNPNAT1,down,RPMI8226
GOLM1,down,RPMI8226
GPR160,down,RPMI8226
GPT2,down,RPMI8226
HEBP1,down,RPMI8226
HMGCS1,down,RPMI8226
HPDL,down,RPMI8226
HRAS,down,RPMI8226
HS6ST2,down,RPMI8226
HSPB1,down,RPMI8226
HSPE1,down,RPMI8226
ICAM1,down,RPMI8226
ICT1,down,RPMI8226
IDH1,down,RPMI8226
IDI1,down,RPMI8226
IFRD2,down,RPMI8226
IGKC,down,RPMI8226
IGKJ1,down,RPMI8226
IGKV1D-43,down,RPMI8226
IL6R,down,RPMI8226
IMP4,down,RPMI8226
INSIG1,down,RPMI8226
IRF4,down,RPMI8226
ITGB7,down,RPMI8226
JAG2,down,RPMI8226
KCNA3,down,RPMI8226
KISS1R,down,RPMI8226
KRT6B,down,RPMI8226
KRT6C,down,RPMI8226
LBH,down,RPMI8226
LCLAT1,down,RPMI8226
LDHA,down,RPMI8226
LDLR,down,RPMI8226
LHFPL2,down,RPMI8226
LILRB4,down,RPMI8226
LINC00052,down,RPMI8226
LINC00493,down,RPMI8226
LOC100506248,down,RPMI8226
LOC728026,down,RPMI8226
LOC730101,down,RPMI8226
LSM6,down,RPMI8226
LSS,down,RPMI8226
LYAR,down,RPMI8226
MAK16,down,RPMI8226
MEST,down,RPMI8226
METTL5,down,RPMI8226
MFSD2A,down,RPMI8226
MGLL,down,RPMI8226
MIR8071-2,down,RPMI8226
MMD,down,RPMI8226
MRPL13,down,RPMI8226
MRPS18C,down,RPMI8226
MRPS24,down,RPMI8226
MRPS26,down,RPMI8226
MRTO4,down,RPMI8226
MSMO1,down,RPMI8226
MTHFD1L,down,RPMI8226
MTRR,down,RPMI8226
MVD,down,RPMI8226
MVK,down,RPMI8226
MYB,down,RPMI8226
MYC,down,RPMI8226
MYLIP,down,RPMI8226
NDRG1,down,RPMI8226
NFIL3,down,RPMI8226
NKD2,down,RPMI8226
NOL7,down,RPMI8226
NOP16,down,RPMI8226
NOP56,down,RPMI8226
NPM3,down,RPMI8226
NTHL1,down,RPMI8226
NXT1,down,RPMI8226
ODC1,down,RPMI8226
OXTR,down,RPMI8226
P2RX7,down,RPMI8226
PA2G4P4,down,RPMI8226
PDCD2L,down,RPMI8226
PDK3,down,RPMI8226
PDLIM1,down,RPMI8226
PFDN2,down,RPMI8226
PGAM1,down,RPMI8226
PIM2,down,RPMI8226
PINX1,down,RPMI8226
PKP2,down,RPMI8226
PLA2G4A,down,RPMI8226
PLD6,down,RPMI8226
PLS3,down,RPMI8226
POLR3G,down,RPMI8226
PPP3CC,down,RPMI8226
PPP4R1,down,RPMI8226
PRAMEF27,down,RPMI8226
PRDM1,down,RPMI8226
PRKD2,down,RPMI8226
PSAT1,down,RPMI8226
PSEN2,down,RPMI8226
PSMG1,down,RPMI8226
PUS1,down,RPMI8226
PXDN,down,RPMI8226
QPCTL,down,RPMI8226
RAB27A,down,RPMI8226
RAB30-AS1,down,RPMI8226
RAB31,down,RPMI8226
RAC3,down,RPMI8226
RARG,down,RPMI8226
RAVER2,down,RPMI8226
RGS16,down,RPMI8226
RHOB,down,RPMI8226
RNASEH1-AS1,down,RPMI8226
RND3,down,RPMI8226
RPF2,down,RPMI8226
RPL22L1,down,RPMI8226
RPS26,down,RPMI8226
RRAGD,down,RPMI8226
RRP12,down,RPMI8226
RRP9,down,RPMI8226
RSAD1,down,RPMI8226
RTCB,down,RPMI8226
SACS,down,RPMI8226
SCD,down,RPMI8226
SDF2L1,down,RPMI8226
SEMA7A,down,RPMI8226
SEPP1,down,RPMI8226
SFN,down,RPMI8226
SH2B2,down,RPMI8226
SLC1A5,down,RPMI8226
SLC25A33,down,RPMI8226
SLC27A2,down,RPMI8226
SLC39A14,down,RPMI8226
SLC7A5,down,RPMI8226
SLC9A3R2,down,RPMI8226
SLCO4A1,down,RPMI8226
SLIRP,down,RPMI8226
SNAI3,down,RPMI8226
SNHG17,down,RPMI8226
SNORA40,down,RPMI8226
SNORD110,down,RPMI8226
SNORD16,down,RPMI8226
SNORD17,down,RPMI8226
SNORD36A,down,RPMI8226
SNORD48,down,RPMI8226
SNORD56,down,RPMI8226
SNORD96A,down,RPMI8226
SNRPB,down,RPMI8226
SORD,down,RPMI8226
SPR,down,RPMI8226
SQLE,down,RPMI8226
SRM,down,RPMI8226
SSSCA1,down,RPMI8226
STK38L,down,RPMI8226
SUB1,down,RPMI8226
TEAD4,down,RPMI8226
TFAP2C,down,RPMI8226
TFRC,down,RPMI8226
TGFA,down,RPMI8226
THAP4,down,RPMI8226
THBS2,down,RPMI8226
TIMM13,down,RPMI8226
TIMM9,down,RPMI8226
TLR4,down,RPMI8226
TMEM241,down,RPMI8226
TMEM41A,down,RPMI8226
TMEM52,down,RPMI8226
TMEM64,down,RPMI8226
TNFRSF12A,down,RPMI8226
TNFRSF13B,down,RPMI8226
TNFRSF17,down,RPMI8226
TNFRSF25,down,RPMI8226
TNFRSF8,down,RPMI8226
TNIK,down,RPMI8226
TOM1L1,down,RPMI8226
TPD52,down,RPMI8226
TRIB3,down,RPMI8226
TRMT6,down,RPMI8226
TRMT61B,down,RPMI8226
TTLL4,down,RPMI8226
TUBB2B,down,RPMI8226
TXNDC5,down,RPMI8226
U2AF1,down,RPMI8226
UBE2E2,down,RPMI8226
UBE2J1,down,RPMI8226
UQCC3,down,RPMI8226
VARS,down,RPMI8226
WDR4,down,RPMI8226
WDR43,down,RPMI8226
WDR74,down,RPMI8226
YARS,down,RPMI8226
ZNF593,down,RPMI8226
ZNHIT2,down,RPMI8226
ABCA7,up,RPMI8226
ABCC4,up,RPMI8226
ABHD2,up,RPMI8226
ABR,up,RPMI8226
ADCY7,up,RPMI8226
ALDH3B1,up,RPMI8226
ANXA6,up,RPMI8226
APOL2,up,RPMI8226
ARHGAP17,up,RPMI8226
ARHGAP18,up,RPMI8226
ARHGAP6,up,RPMI8226
ARHGEF18,up,RPMI8226
ARL4C,up,RPMI8226
ARL6IP1,up,RPMI8226
ARL6IP5,up,RPMI8226
ASB2,up,RPMI8226
ATP2A3,up,RPMI8226
ATP2B4,up,RPMI8226
ATP6V0E2,up,RPMI8226
AZGP1,up,RPMI8226
BBS2,up,RPMI8226
BCL2L11,up,RPMI8226
BIN2,up,RPMI8226
BLK,up,RPMI8226
BMF,up,RPMI8226
BRD3,up,RPMI8226
BSND,up,RPMI8226
BTG1,up,RPMI8226
BTG2,up,RPMI8226
C3AR1,up,RPMI8226
CABIN1,up,RPMI8226
CALCRL,up,RPMI8226
CAPN1,up,RPMI8226
CBX5,up,RPMI8226
CCDC125,up,RPMI8226
CCDC71L,up,RPMI8226
CCDC88B,up,RPMI8226
CCNE2,up,RPMI8226
CD177,up,RPMI8226
CD180,up,RPMI8226
CD37,up,RPMI8226
CD53,up,RPMI8226
CD59,up,RPMI8226
CD74,up,RPMI8226
CD82,up,RPMI8226
CD86,up,RPMI8226
CD8B,up,RPMI8226
CD99L2,up,RPMI8226
CDCA7,up,RPMI8226
CDH2,up,RPMI8226
CDK14,up,RPMI8226
CDKN1C,up,RPMI8226
CELF2,up,RPMI8226
CEP68,up,RPMI8226
CHD3,up,RPMI8226
CHST15,up,RPMI8226
CKAP2L,up,RPMI8226
CLDN3,up,RPMI8226
CLEC7A,up,RPMI8226
CLU,up,RPMI8226
CNTNAP2,up,RPMI8226
CPED1,up,RPMI8226
CR2,up,RPMI8226
CRAT,up,RPMI8226
CRYBB1,up,RPMI8226
CTNNBIP1,up,RPMI8226
CTSS,up,RPMI8226
CTSZ,up,RPMI8226
CUL4B,up,RPMI8226
CXCL12,up,RPMI8226
CXCR3,up,RPMI8226
CYBB,up,RPMI8226
CYLD,up,RPMI8226
CYP24A1,up,RPMI8226
CYTH4,up,RPMI8226
DAB2IP,up,RPMI8226
DCK,up,RPMI8226
DCP2,up,RPMI8226
DGAT2,up,RPMI8226
DHTKD1,up,RPMI8226
DNAJC4,up,RPMI8226
DOK6,up,RPMI8226
DTX3L,up,RPMI8226
EIF4EBP2,up,RPMI8226
ENO3,up,RPMI8226
ERCC1,up,RPMI8226
EVI2A,up,RPMI8226
EVI2B,up,RPMI8226
F2R,up,RPMI8226
FAM102A,up,RPMI8226
FAM107B,up,RPMI8226
FAM117A,up,RPMI8226
FAM234A,up,RPMI8226
FAM64A,up,RPMI8226
FCER2,up,RPMI8226
FCMR,up,RPMI8226
FN1,up,RPMI8226
FNBP1L,up,RPMI8226
FTH1,up,RPMI8226
GBA,up,RPMI8226
GMIP,up,RPMI8226
GNAI2,up,RPMI8226
GPSM3,up,RPMI8226
GRB7,up,RPMI8226
GRIA4,up,RPMI8226
HBP1,up,RPMI8226
HIST1H1C,up,RPMI8226
HIST1H2AC,up,RPMI8226
HIST1H2BC,up,RPMI8226
HIST1H2BD,up,RPMI8226
HIST1H2BJ,up,RPMI8226
HIST1H2BK,up,RPMI8226
HIST1H3H,up,RPMI8226
HIST1H4H,up,RPMI8226
HIST2H2BE,up,RPMI8226
HIST3H2A,up,RPMI8226
HLA-DRA,up,RPMI8226
ICAM3,up,RPMI8226
ID3,up,RPMI8226
IFI6,up,RPMI8226
IFNGR1,up,RPMI8226
IGHE,up,RPMI8226
IKBKE,up,RPMI8226
IL10RA,up,RPMI8226
INPP5D,up,RPMI8226
INPPL1,up,RPMI8226
IQSEC1,up,RPMI8226
IRF1,up,RPMI8226
ITGB5,up,RPMI8226
JCHAIN,up,RPMI8226
JUNB,up,RPMI8226
KAT2B,up,RPMI8226
KCNH2,up,RPMI8226
KHDRBS3,up,RPMI8226
KHNYN,up,RPMI8226
KIAA1147,up,RPMI8226
KIAA1217,up,RPMI8226
KIAA1551,up,RPMI8226
KLF3,up,RPMI8226
KLHL24,up,RPMI8226
KRCC1,up,RPMI8226
KRT7,up,RPMI8226
KRT86,up,RPMI8226
LAPTM5,up,RPMI8226
LASP1,up,RPMI8226
LAT,up,RPMI8226
LAT2,up,RPMI8226
LEFTY2,up,RPMI8226
LGALS1,up,RPMI8226
LINC00341,up,RPMI8226
LINC00920,up,RPMI8226
LOC100419583,up,RPMI8226
LOC100420587,up,RPMI8226
LPGAT1,up,RPMI8226
LPPR2,up,RPMI8226
LPXN,up,RPMI8226
LRP10,up,RPMI8226
LRRC26,up,RPMI8226
LTB,up,RPMI8226
LTBP4,up,RPMI8226
LY96,up,RPMI8226
MAML2,up,RPMI8226
MAN1B1,up,RPMI8226
MAPKAPK2,up,RPMI8226
MBNL3,up,RPMI8226
MERTK,up,RPMI8226
METTL7A,up,RPMI8226
MFSD1,up,RPMI8226
MICAL2,up,RPMI8226
MILR1,up,RPMI8226
MIR6723,up,RPMI8226
MT1G,up,RPMI8226
MT2A,up,RPMI8226
MTURN,up,RPMI8226
MUC1,up,RPMI8226
MVP,up,RPMI8226
MXD4,up,RPMI8226
MYCN,up,RPMI8226
MYLK,up,RPMI8226
MYO1F,up,RPMI8226
NBR1,up,RPMI8226
NCF2,up,RPMI8226
NCKAP1L,up,RPMI8226
NFIX,up,RPMI8226
NFKB2,up,RPMI8226
NINJ1,up,RPMI8226
NNT,up,RPMI8226
NOTCH2,up,RPMI8226
NPTXR,up,RPMI8226
NRCAM,up,RPMI8226
NRIP1,up,RPMI8226
NT5C2,up,RPMI8226
NUB1,up,RPMI8226
OAS1,up,RPMI8226
OGDH,up,RPMI8226
OLFML2B,up,RPMI8226
OMA1,up,RPMI8226
ORAI3,up,RPMI8226
PACSIN3,up,RPMI8226
PAIP2B,up,RPMI8226
PANX2,up,RPMI8226
PBX3,up,RPMI8226
PBXIP1,up,RPMI8226
PDCD4,up,RPMI8226
PDK2,up,RPMI8226
PHF19,up,RPMI8226
PIEZO2,up,RPMI8226
PITPNM1,up,RPMI8226
PLA2G4D,up,RPMI8226
PLEKHO1,up,RPMI8226
PLEKHO2,up,RPMI8226
PLXND1,up,RPMI8226
PNPLA8,up,RPMI8226
PNRC1,up,RPMI8226
POLD4,up,RPMI8226
PPAP2B,up,RPMI8226
PPM1H,up,RPMI8226
PPP1R18,up,RPMI8226
PRKACB,up,RPMI8226
PRKAR1A,up,RPMI8226
PRKD1,up,RPMI8226
PRSS1,up,RPMI8226
PRSS2,up,RPMI8226
PSAP,up,RPMI8226
RAB5B,up,RPMI8226
RAC2,up,RPMI8226
RASA1,up,RPMI8226
RASL10B,up,RPMI8226
RASSF4,up,RPMI8226
RASSF6,up,RPMI8226
RCSD1,up,RPMI8226
REEP5,up,RPMI8226
RELB,up,RPMI8226
RHOC,up,RPMI8226
RP2,up,RPMI8226
RRBP1,up,RPMI8226
RXRA,up,RPMI8226
S100A4,up,RPMI8226
SALL1,up,RPMI8226
SAMD9,up,RPMI8226
SCAMP5,up,RPMI8226
SCD5,up,RPMI8226
SCNN1B,up,RPMI8226
SDSL,up,RPMI8226
SEMA4B,up,RPMI8226
SERPINB1,up,RPMI8226
SERPINE2,up,RPMI8226
SESN1,up,RPMI8226
SH3BGRL,up,RPMI8226
SH3KBP1,up,RPMI8226
SIPA1L2,up,RPMI8226
SKAP2,up,RPMI8226
SLC43A2,up,RPMI8226
SLC48A1,up,RPMI8226
SLC9A9,up,RPMI8226
SMAP2,up,RPMI8226
SNTB2,up,RPMI8226
SOX13,up,RPMI8226
SPI1,up,RPMI8226
SQSTM1,up,RPMI8226
SRPX,up,RPMI8226
SSBP2,up,RPMI8226
ST3GAL5,up,RPMI8226
STMN3,up,RPMI8226
STS,up,RPMI8226
TCN2,up,RPMI8226
TECPR1,up,RPMI8226
TGFBI,up,RPMI8226
TGOLN2,up,RPMI8226
THEMIS,up,RPMI8226
TIMP1,up,RPMI8226
TK2,up,RPMI8226
TLR6,up,RPMI8226
TLR9,up,RPMI8226
TMEM106B,up,RPMI8226
TMEM134,up,RPMI8226
TMEM210,up,RPMI8226
TMEM55A,up,RPMI8226
TNFAIP2,up,RPMI8226
TNRC18,up,RPMI8226
TNS3,up,RPMI8226
TOR1AIP1,up,RPMI8226
TOX2,up,RPMI8226
TP53INP1,up,RPMI8226
TPCN1,up,RPMI8226
TPP1,up,RPMI8226
TRAF3IP3,up,RPMI8226
TRAPPC6A,up,RPMI8226
TSPAN31,up,RPMI8226
TSPAN7,up,RPMI8226
TUBB4A,up,RPMI8226
TUFT1,up,RPMI8226
TXNIP,up,RPMI8226
UBE2H,up,RPMI8226
USP11,up,RPMI8226
USP20,up,RPMI8226
VPS41,up,RPMI8226
WBSCR27,up,RPMI8226
WIPF1,up,RPMI8226
WNK2,up,RPMI8226
YPEL3,up,RPMI8226
YPEL5,up,RPMI8226
ZBED6CL,up,RPMI8226
ZER1,up,RPMI8226
ZMAT4,up,RPMI8226
ZMIZ2,up,RPMI8226
ZMYND8,up,RPMI8226
AARS,down,H929
ABCB6,down,H929
ABCE1,down,H929
ABCF2,down,H929
ABHD11,down,H929
ABHD14A,down,H929
ABHD17C,down,H929
ABHD3,down,H929
ACACA,down,H929
ACAT2,down,H929
ACOT7,down,H929
ACOT9,down,H929
ACSL4,down,H929
ACTL6A,down,H929
ADAMTS15,down,H929
ADSL,down,H929
ADSS,down,H929
AGK,down,H929
AGPAT5,down,H929
AHCTF1,down,H929
AHCY,down,H929
AHSA1,down,H929
AIMP1,down,H929
AIMP2,down,H929
AK2,down,H929
AK6,down,H929
AKAP1,down,H929
ALDH18A1,down,H929
ALDH1B1,down,H929
ALDH1L2,down,H929
ALDH5A1,down,H929
ALG3,down,H929
ALG5,down,H929
ALG8,down,H929
ALG9,down,H929
ALKBH2,down,H929
ALYREF,down,H929
AMD1,down,H929
AMPD1,down,H929
ANAPC1,down,H929
ANAPC15,down,H929
ANAPC4,down,H929
ANKLE1,down,H929
ANKRD16,down,H929
ANKRD39,down,H929
ANKRD40,down,H929
ANKRD46,down,H929
ANLN,down,H929
ANP32AP1,down,H929
ANP32B,down,H929
ANP32C,down,H929
ANP32E,down,H929
ANXA2,down,H929
ANXA2P2,down,H929
AP3S1,down,H929
APEX1,down,H929
APIP,down,H929
APOBEC3B,down,H929
APOO,down,H929
AQP3,down,H929
ARF4,down,H929
